depth	d18O
42.215	3.358
42.245	3.287
42.275	3.498
42.275	3.49
42.305	3.067
42.305	3.27
42.335	3.463
42.335	3.29
42.355	3.42
42.365	3.828
42.365	3.41
42.375	3.39
42.395	3.227
42.425	3.377
42.435	3.5
42.455	2.797
42.455	3.44
42.465	3.4
42.475	3.3
42.485	3.188
42.485	3.1
42.495	3.3
42.505	3.34
42.515	3.056
42.515	3.26
42.525	3.29
42.535	3.44
42.545	3.197
42.545	3.28
42.555	3.22
42.565	3.195
42.575	2.844
42.575	3.04
42.585	3.22
42.595	3.39
42.615	3.55
42.635	3.264
42.635	2.94
42.645	3.24
42.655	3.34
42.675	3.36
42.685	3.05
42.715	3.14
42.775	3.08
42.785	3.063
42.795	3.09
42.805	3.198
42.805	3.02
42.815	3.114
42.815	3.08
42.825	3.096
42.825	3.22
42.835	3.226
42.835	3.12
42.845	2.915
42.855	3.156
42.855	3.01
42.865	3.208
42.875	2.934
42.875	3.05
42.885	2.955
42.885	3.08
42.895	3.118
42.895	3.22
42.915	3.049
42.925	2.959
42.945	2.919
42.955	2.947
42.965	2.846
42.975	2.857
43.005	2.951
43.015	2.977
43.025	2.888
43.025	2.507
43.035	2.978
43.045	2.837
43.065	2.969
43.075	2.696
43.085	2.798
43.095	2.85
43.105	2.716
43.115	2.679
43.155	2.709
43.175	2.687
43.185	2.618
43.195	2.482
43.215	2.555
43.225	2.838
43.235	2.445
43.245	2.384
43.255	2.638
43.255	2.41
43.265	2.346
43.265	2.4
43.275	2.371
43.275	2.13
43.285	2.498
43.285	2.5
43.305	2.538
43.305	2.44
43.315	3.165
43.315	2.57
43.325	2.708
43.325	2.307
43.325	2.17
43.335	3.041
43.335	2.37
43.345	2.386
43.345	1.78
43.355	2.19
43.365	2.403
43.365	2.39
43.375	2.164
43.375	1.2
43.385	2.236
43.385	2.137
43.395	2.42
43.395	2.46
43.405	2.35
43.415	2.364
43.415	2.41
43.425	2.34
43.435	2.42
43.445	2.45
43.445	2.414
43.445	2.31
43.455	2.33
43.465	2.32
43.475	2.35
43.475	2.289
43.475	2.62
43.485	2.29
43.495	2.16
43.505	2.46
43.505	2.378
43.505	2.42
43.515	2.29
43.525	1.96
43.535	2.25
43.535	2.46
43.545	2.27
43.545	2.328
43.545	2.5
43.555	2.38
43.565	2.34
43.565	2.438
43.565	2.6
43.575	2.17
43.585	2.71
43.585	2.673
43.585	2.91
43.595	2.43
43.595	2.79
43.605	2.72
43.605	3.031
43.615	2.8
43.615	3.47
43.615	2.92
43.625	2.82
43.625	2.16
43.625	2.93
43.635	3.64
43.635	2.556
43.635	2.85
43.645	3.52
43.655	2.69
43.655	3.097
43.655	3.08
43.665	2.96
43.675	2.68
43.695	3.08
43.705	3.45
43.715	3.54
43.725	3.46
43.735	3.35
43.745	3.67
43.755	3.66
43.765	3.32
43.7725	3.77
43.775	4.07
43.7775	3.83
43.795	3.79
43.805	4.15
43.815	4
43.825	3.92
43.835	3.9
43.845	3.87
43.855	4.14
43.865	3.89
43.925	4.11
43.945	3.99
43.955	4.42
43.965	4.17
43.975	4.4
