Depth	d18O
107.49	-0.61
107.5	-0.47
107.51	-0.55
107.54	-0.43
107.55	-0.43
107.56	-0.43
107.57	-0.47
107.58	-0.48
107.59	-0.51
107.6	-0.5
107.61	-0.68
107.62	-0.59
107.63	-0.64
107.64	-0.7
107.65	-0.74
107.66	-0.81
107.67	-0.74
107.69	-0.68
107.7	-0.79
107.71	-0.82
107.72	-0.84
107.73	-0.85
107.74	-0.86
107.75	-0.92
107.76	-0.88
107.77	-0.84
107.78	-0.91
107.79	-0.78
107.8	-0.85
107.81	-0.84
107.82	-0.84
107.83	-0.76
108.05	-0.6
108.08	-0.59
108.11	-0.61
108.14	-0.68
108.17	-0.66
108.2	-0.5
108.23	-0.68
108.26	-0.85
108.29	-0.97
108.32	-1.01
108.35	-0.87
108.38	-0.74
108.41	-0.76
108.44	-0.62
108.47	-0.74
108.5	-0.64
108.53	-0.75
108.56	-0.65
108.59	-0.57
108.62	-0.62
108.65	-0.62
108.68	-0.59
108.71	-0.44
108.74	-0.45
108.77	-0.39
108.8	-0.52
108.83	-0.63
108.86	-0.56
108.89	-0.51
108.92	-0.48
108.95	-0.58
108.98	-0.38
109.01	-0.64
109.04	-0.58
109.07	-0.53
109.1	-0.54
109.13	-0.64
109.16	-0.69
109.19	-0.63
109.22	-0.49
109.25	-0.46
109.28	-0.44
109.31	-0.52
109.34	-0.53
109.37	-0.59
109.4	-0.67
109.46	-0.06
109.49	-0.64
109.52	-0.53
109.55	-0.35
109.58	-0.26
109.61	-0.45
109.64	-0.43
109.67	-0.76
109.7	-0.85
109.73	-0.87
109.76	-0.81
109.79	-0.73
109.82	-0.89
109.85	-0.69
109.88	-0.84
109.91	-0.81
109.94	-0.75
109.97	-0.62
110	-0.7
110.03	-0.6
110.06	-0.58
110.09	-0.59
110.12	-0.5
110.15	-0.57
110.18	-0.64
110.21	-0.71
110.24	-0.57
110.27	-0.54
110.3	-0.48
110.33	-0.43
110.36	-0.5
110.39	-0.51
110.42	-0.55
110.45	-0.58
110.48	-0.62
110.51	-0.63
110.54	-0.62
110.57	-0.65
110.6	-0.73
110.63	-0.73
110.66	-0.74
110.69	-0.65
110.72	-0.6
110.75	-0.61
110.78	-0.57
110.81	-0.7
110.84	-0.75
110.87	-0.77
110.9	-0.76
110.93	-0.71
110.96	-0.61
110.99	-0.59
111.02	-0.63
111.05	-0.5
111.08	-0.45
111.11	-0.49
111.14	-0.47
111.17	-0.53
111.2	-0.53
111.26	-0.68
111.29	-0.64
111.32	-0.65
111.35	-1.01
111.38	-0.7
111.41	-0.72
111.44	-0.69
111.47	-0.74
111.5	-0.77
111.53	-0.76
111.56	-0.8
111.59	-0.82
111.62	-0.76
111.65	-0.76
111.68	-0.8
111.71	-0.82
111.74	-0.83
111.77	-0.73
111.8	-0.69
111.83	-0.73
111.86	-0.75
111.89	-0.67
111.92	-0.73
111.95	-0.78
111.98	-0.79
112.01	-1.16
112.04	-0.85
112.07	-0.8
112.1	-0.83
112.13	-0.9
112.16	-0.4
112.19	-0.39
112.22	-0.37
112.25	-0.47
112.28	-0.4
112.31	-0.4
112.32	-0.4
112.34	-0.47
112.35	-0.45
112.37	-0.55
112.38	-0.64
112.4	-0.85
112.41	-0.63
112.43	-0.7
112.44	-0.77
112.46	-0.83
112.47	-0.83
112.49	-0.77
112.5	-0.62
112.52	-0.54
112.53	-0.4
112.56	-0.32
112.59	-0.47
112.62	-0.54
112.65	-0.54
112.68	-0.73
112.71	-0.48
112.74	-0.55
112.77	-0.53
112.8	-0.35
112.83	-0.33
112.86	-0.3
112.89	-0.25
112.92	-0.23
112.95	-0.29
112.98	-0.26
113.01	-0.28
113.04	-0.47
113.07	-0.25
113.1	-0.22
113.13	-0.29
113.16	-0.26
113.19	-0.11
113.22	-0.28
113.25	-0.35
113.31	-0.45
113.34	-0.7
113.37	-0.83
113.4	-0.92
113.43	-0.81
113.46	-0.65
113.49	-0.73
113.52	-0.69
113.55	-0.66
113.58	-0.73
113.61	-0.46
113.64	-0.41
113.67	-0.47
113.7	-0.44
113.73	-0.41
113.76	-0.45
113.79	-0.32
113.82	-0.29
113.85	-0.31
113.88	-0.36
113.91	-0.44
113.94	-0.37
113.97	-0.46
114	-0.34
114.03	-0.42
114.06	-0.37
114.09	-0.37
114.12	-0.41
114.15	-0.43
114.18	-0.47
114.21	-0.49
114.24	-0.44
114.27	-0.38
114.3	-0.4
114.33	-0.47
114.36	-0.58
114.39	-0.58
114.42	-0.66
114.45	-0.57
114.48	-0.39
114.51	-0.4
114.54	-0.35
114.57	-0.39
114.6	-0.39
114.63	-0.36
114.66	-0.29
114.69	-0.2
114.72	-0.27
114.75	-0.27
114.78	-0.34
114.81	-0.35
114.84	-0.39
114.87	-0.4
114.9	-0.38
114.93	-0.23
114.96	-0.26
114.99	-0.36
115.02	-0.26
115.05	-0.31
115.08	-0.41
115.11	-0.33
115.14	-0.41
115.17	-0.5
115.2	-0.48
115.23	-0.54
115.26	-0.57
115.29	-0.26
115.32	-0.07
115.35	-0.3
115.38	-0.33
115.41	-0.37
115.44	-0.46
115.47	-0.41
115.5	-0.19
115.59	-0.33
115.65	-0.36
115.71	-0.38
115.74	-0.29
115.77	-0.31
115.8	-0.33
115.83	-0.42
115.86	-0.37
115.89	-0.46
115.92	-0.37
115.95	-0.38
115.98	-0.32
116.01	-0.32
116.04	-0.43
116.07	-0.42
116.1	-0.62
116.13	-0.86
116.16	-0.79
116.19	-0.97
116.22	-0.93
116.25	-0.94
116.31	-0.85
116.34	-0.66
116.37	-0.82
116.4	-0.73
116.43	-0.7
116.46	-0.36
116.49	-0.4
116.52	-0.31
116.55	-0.51
116.58	-0.37
116.61	-0.52
116.64	-0.46
116.66	-0.5
116.67	-0.5
116.68	-0.45
116.69	-0.49
116.7	-0.47
116.71	-0.44
116.72	-0.48
116.73	-0.43
116.74	-0.42
116.75	-0.4
116.76	-0.38
116.77	-0.46
116.78	-0.45
116.79	-0.37
116.8	-0.37
116.81	-0.51
116.82	-0.23
116.83	-0.36
116.84	-0.35
116.85	-0.41
116.86	-0.37
116.87	-0.37
116.88	-0.41
116.89	-0.38
116.9	-0.39
116.91	-0.43
116.92	-0.41
116.93	-0.39
116.94	-0.43
116.95	-0.47
116.96	-0.47
116.97	-0.47
116.98	-0.56
116.99	-0.5
117	-0.6
117.01	-0.64
117.02	-0.74
117.03	-0.84
117.04	-0.79
117.05	-0.85
117.06	-0.92
117.065	-0.9
117.07	-0.83
117.075	-0.92
117.08	-0.8
117.085	-0.84
117.09	-0.86
117.095	-0.96
117.1	-0.86
117.105	-0.96
117.11	-0.93
117.115	-1.01
117.12	-0.9
117.125	-0.95
117.13	-0.93
117.135	-0.98
117.14	-0.99
117.145	-0.91
117.15	-0.76
117.155	-0.87
117.16	-0.88
117.165	-0.87
117.17	-0.8
117.175	-0.94
117.18	-0.88
117.185	-0.79
117.19	-0.84
117.195	-0.77
117.2	-0.88
117.205	-1.1
117.21	-1
117.215	-0.77
117.22	-0.6
117.225	-0.72
117.23	-0.71
117.235	-0.75
117.24	-0.81
117.245	-0.78
117.25	-0.88
117.255	-0.89
117.26	-0.8
117.265	-0.8
117.27	-0.8
117.275	-0.71
117.28	-0.85
117.285	-0.75
117.29	-0.7
117.295	-0.75
117.3	-0.63
117.305	-0.69
117.31	-0.63
117.315	-0.61
117.32	-0.63
117.325	-0.64
117.33	-0.64
117.335	-0.63
117.34	-0.57
117.35	-0.57
117.35	-0.6
117.36	-0.47
117.37	-0.44
117.38	-0.48
117.39	-0.49
117.4	-0.42
117.41	-0.48
117.42	-0.45
117.43	-0.41
117.44	-0.45
117.45	-0.49
117.46	-0.54
117.47	-0.76
117.48	-0.53
117.49	-0.56
117.5	-0.51
117.51	-0.54
117.52	-0.52
117.53	-0.46
117.54	-0.51
117.55	-0.43
117.61	-0.4
117.64	-0.41
117.67	-0.46
117.7	-0.39
117.73	-0.41
117.76	-0.43
117.79	-0.42
117.82	-0.41
117.85	-0.43
117.88	-0.42
117.91	-0.39
117.94	-0.33
117.97	-0.37
118	-0.44
118.03	-0.44
118.06	-0.51
118.09	-0.48
118.12	-0.26
118.15	-0.27
118.18	-0.6
118.21	-0.55
118.24	-0.47
118.27	-0.45
118.3	-0.35
118.33	-0.34
118.36	-0.46
118.39	-0.48
118.42	-0.49
118.45	-0.56
118.48	-0.54
118.51	-0.3
118.54	-0.37
118.57	-0.53
118.6	-0.4
118.63	-0.45
118.66	-0.45
118.69	-0.45
118.72	-0.43
118.75	-0.33
118.78	-0.39
118.81	-0.36
118.84	-0.44
118.87	-0.48
118.9	-0.39
118.93	-0.35
118.96	-0.43
118.99	-0.31
119.02	-0.37
119.05	-0.28
119.08	-0.29
119.11	-0.23
119.14	-0.28
119.17	-0.27
119.2	-0.23
119.23	-0.36
119.26	-0.35
119.29	-0.42
119.32	-0.42
119.35	-0.46
119.38	-0.44
119.41	-0.51
119.44	-0.51
119.47	-0.51
119.5	-0.48
119.53	-0.47
119.56	-0.48
119.59	-0.41
119.62	-0.4
119.65	-0.47
119.68	-0.39
119.71	-0.42
119.74	-0.44
119.77	-0.43
119.8	-0.42
119.83	-0.46
119.86	-0.49
119.89	-0.55
119.92	-0.62
119.95	-0.35
119.98	-0.43
120.01	-0.4
120.04	-0.36
120.07	-0.45
120.1	-0.4
120.13	-0.39
120.16	-0.49
120.19	-0.46
120.22	-0.57
120.25	-0.46
120.28	-0.41
120.31	-0.4
120.34	-0.41
120.37	-0.49
120.4	-0.52
120.43	-0.58
120.46	-0.38
120.49	-0.45
120.52	-0.4
120.55	-0.35
120.58	-0.29
120.61	-0.21
120.64	-0.48
120.67	-0.4
120.7	-0.25
120.73	-0.34
120.76	-0.27
120.79	-0.31
120.82	-0.32
120.85	-0.22
120.88	-0.29
120.91	-0.35
120.94	-0.28
120.97	-0.37
121	-0.43
121.03	-0.38
121.06	-0.25
121.09	-0.33
121.12	-0.27
121.15	-0.32
121.18	-0.26
121.21	-0.33
121.33	-0.34
121.36	-0.3
121.39	-0.35
121.42	-0.24
121.45	-0.33
121.48	-0.26
121.51	-0.33
121.54	-0.29
121.57	-0.34
121.6	-0.36
121.63	-0.43
121.66	-0.37
121.69	-0.4
121.72	-0.3
121.75	-0.3
121.78	-0.25
121.81	-0.27
121.84	-0.37
121.87	-0.44
121.9	-0.55
121.93	-0.66
121.96	-0.61
121.99	-0.51
122.02	-0.47
122.05	-0.67
122.11	-0.29
122.14	-0.43
122.17	-0.48
122.2	-0.53
122.23	-0.46
122.26	-0.39
122.29	-0.48
122.32	-0.39
122.35	-0.55
122.38	-0.56
122.41	-0.51
122.44	-0.48
122.47	-0.47
122.5	-0.35
122.53	-0.46
122.56	-0.45
122.59	-0.5
122.62	-0.55
122.65	-0.5
122.68	-0.52
122.71	-0.49
122.74	-0.49
122.77	-0.48
122.8	-0.51
122.83	-0.5
122.86	-0.46
122.89	-0.5
122.92	-0.66
122.95	-0.34
122.98	-0.39
123.01	-0.56
123.04	-0.41
123.07	-0.42
123.1	-0.53
123.13	-0.47
123.16	-0.54
123.19	-0.49
123.22	-0.46
123.25	-0.44
123.28	-0.33
123.31	-0.46
123.34	-0.36
123.37	-0.33
123.4	-0.3
123.43	-0.29
123.46	-0.47
123.49	-0.34
123.52	-0.3
123.58	-0.46
123.61	-0.41
123.64	-0.51
123.67	-0.46
123.7	-0.41
123.73	-0.42
123.76	-0.41
123.79	-0.39
123.82	-0.36
123.85	-0.36
123.88	-0.4
123.91	-0.45
123.94	-0.45
123.97	-0.42
124	-0.45
124.03	-0.4
124.06	-0.4
124.09	-0.43
124.12	-0.45
124.12	-0.54
124.15	-0.44
124.15	-0.41
124.18	-0.42
124.18	-0.38
124.24	-0.46
124.27	-0.44
124.33	-0.42
124.45	-0.33
124.48	-0.33
124.57	-0.43
124.66	-0.42
124.75	-0.33
124.81	-0.47
124.87	-0.5
124.9	-0.41
124.93	-0.37
124.96	-0.26
124.99	-0.32
125.02	-0.28
125.05	-0.26
125.08	-0.25
125.11	-0.27
125.14	-0.29
125.17	-0.28
125.2	-0.26
125.23	-0.38
125.26	-0.26
125.29	-0.35
125.32	-0.3
125.35	-0.41
125.38	-0.33
125.41	-0.3
125.44	-0.24
125.47	-0.25
125.5	-0.19
125.53	-0.16
125.56	-0.14
125.59	-0.2
125.62	-0.41
125.65	-0.35
125.68	-0.31
125.71	-0.49
125.74	-0.44
125.77	-0.32
125.8	-0.36
125.86	-0.4
125.89	-0.33
125.92	-0.29
125.95	-0.4
125.98	-0.46
126.01	-0.31
126.04	-0.42
126.07	-0.28
126.1	-0.36
126.13	-0.35
126.16	-0.13
126.19	-0.37
126.22	-0.27
126.25	-0.34
126.28	-0.38
126.31	-0.35
126.34	-0.44
126.37	-0.4
126.4	-0.37
126.43	-0.25
126.46	-0.25
126.49	-0.28
126.52	-0.3
126.55	-0.31
126.61	-0.35
126.64	-0.31
126.67	-0.24
126.7	-0.36
126.73	-0.23
126.76	-0.2
126.79	-0.23
126.82	-0.27
126.85	-0.2
126.88	-0.35
126.91	-0.33
126.94	-0.26
126.97	-0.28
127.03	-0.25
127.06	-0.21
127.09	-0.29
127.12	-0.35
127.15	-0.35
127.18	-0.54
127.21	-0.46
127.24	-0.44
127.27	-0.31
127.3	-0.34
127.33	-0.31
127.36	-0.28
127.39	-0.36
127.42	-0.26
127.45	-0.41
127.48	-0.36
127.51	-0.33
127.54	-0.45
127.6	-0.23
127.63	-0.14
127.66	-0.09
127.69	-0.18
127.72	-0.22
127.75	-0.27
127.78	-0.37
127.81	-0.35
127.84	-0.4
127.87	-0.28
127.9	-0.29
127.93	-0.25
127.96	-0.24
127.99	-0.21
128.02	-0.25
