depth(m)	initial_age(kiloyear)
107.49	52534
107.5	52535.862
107.51	52537.724
107.54	52543.31
107.55	52545.172
107.56	52547.034
107.57	52548.897
107.58	52550.759
107.59	52552.621
107.6	52554.483
107.61	52556.345
107.62	52558.207
107.63	52560.069
107.64	52561.931
107.65	52563.793
107.66	52565.655
107.67	52567.517
107.69	52571.241
107.7	52573.103
107.71	52574.966
107.72	52576.828
107.73	52578.69
107.74	52580.552
107.75	52582.414
107.76	52584.276
107.77	52586.138
107.78	52588
107.79	52589.172
107.8	52590.345
107.81	52591.517
107.82	52592.69
107.83	52593.862
108.05	52619.655
108.08	52623.172
108.11	52626.69
108.14	52630.207
108.17	52633.724
108.2	52637.241
108.23	52640.759
108.26	52644.276
108.29	52647.793
108.32	52651.31
108.35	52654.828
108.38	52658.824
108.41	52663.059
108.44	52667.294
108.47	52671.529
108.5	52675.765
108.53	52680
108.56	52684.235
108.59	52688.471
108.62	52692.706
108.65	52696.941
108.68	52701.176
108.71	52705.412
108.74	52709.647
108.77	52713.882
108.8	52718.118
108.83	52722.353
108.86	52726.588
108.89	52730.824
108.92	52735.059
108.95	52739.294
108.98	52743.529
109.01	52747.765
109.04	52752
109.07	52756.333
109.1	52760.667
109.13	52765
109.16	52769.333
109.19	52773.667
109.22	52778
109.25	52782.333
109.28	52786.667
109.31	52791
109.34	52795.333
109.37	52799.667
109.4	52804
109.46	52812.667
109.49	52817
109.52	52821.333
109.55	52825.667
109.58	52830
109.61	52834.333
109.64	52838.667
109.67	52843
109.7	52847.333
109.73	52851.667
109.76	52856
109.79	52859.057
109.82	52862.114
109.85	52865.172
109.88	52868.229
109.91	52871.286
109.94	52874.343
109.97	52877.401
110	52880.458
110.03	52883.515
110.06	52886.572
110.09	52889.629
110.12	52892.687
110.15	52895.744
110.18	52898.801
110.21	52901.858
110.24	52904.916
110.27	52907.973
110.3	52911.03
110.33	52914.087
110.36	52917.144
110.39	52920.202
110.42	52923.259
110.45	52926.316
110.48	52929.373
110.51	52932.431
110.54	52935.488
110.57	52938.545
110.6	52941.602
110.63	52944.659
110.66	52947.717
110.69	52950.774
110.72	52953.831
110.75	52956.888
110.78	52959.946
110.81	52963.003
110.84	52966.06
110.87	52969.117
110.9	52972.174
110.93	52975.232
110.96	52978.289
110.99	52981.346
111.02	52984.403
111.05	52987.46
111.08	52990.518
111.11	52993.575
111.14	52996.632
111.17	52999.689
111.2	53002.747
111.26	53008.861
111.29	53011.918
111.32	53014.975
111.35	53018.033
111.38	53021.09
111.41	53024.147
111.44	53027.204
111.47	53030.262
111.5	53033.319
111.53	53036.376
111.56	53039.433
111.59	53042.49
111.62	53045.548
111.65	53048.605
111.68	53051.662
111.71	53054.719
111.74	53057.777
111.77	53060.834
111.8	53063.891
111.83	53066.948
111.86	53070.005
111.89	53073.063
111.92	53076.12
111.95	53079.177
111.98	53082.234
112.01	53085.292
112.04	53088.349
112.07	53091.406
112.1	53094.463
112.13	53097.52
112.16	53100.578
112.19	53103.635
112.22	53106.692
112.25	53109.749
112.28	53112.807
112.31	53115.864
112.32	53116.883
112.34	53118.921
112.35	53119.94
112.37	53121.978
112.38	53122.997
112.4	53125.035
112.41	53126.054
112.43	53128.093
112.44	53129.112
112.46	53131.15
112.47	53132.169
112.49	53134.207
112.5	53135.226
112.52	53137.264
112.53	53138.283
112.56	53141.341
112.59	53144.398
112.62	53147.455
112.65	53150.512
112.68	53153.569
112.71	53156.627
112.74	53159.684
112.77	53162.741
112.8	53165.798
112.83	53168.856
112.86	53171.913
112.89	53174.97
112.92	53178.027
112.95	53181.084
112.98	53184.142
113.01	53187.199
113.04	53190.256
113.07	53193.313
113.1	53196.371
113.13	53199.428
113.16	53202.485
113.19	53205.542
113.22	53208.599
113.25	53211.657
113.31	53217.771
113.34	53220.828
113.37	53223.886
113.4	53226.943
113.43	53230
113.46	53234.16
113.49	53238.32
113.52	53242.48
113.55	53246.639
113.58	53250.799
113.61	53254.959
113.64	53259.119
113.67	53263.279
113.7	53267.439
113.73	53271.599
113.76	53275.758
113.79	53279.918
113.82	53284.078
113.85	53288.238
113.88	53292.398
113.91	53296.558
113.94	53300.717
113.97	53304.877
114	53309.037
114.03	53313.197
114.06	53317.357
114.09	53321.517
114.12	53325.677
114.15	53329.836
114.18	53333.996
114.21	53338.156
114.24	53342.316
114.27	53346.476
114.3	53350.636
114.33	53354.796
114.36	53358.955
114.39	53363.115
114.42	53367.275
114.45	53371.435
114.48	53375.595
114.51	53379.755
114.54	53383.914
114.57	53388.074
114.6	53392.234
114.63	53396.394
114.66	53400.554
114.69	53404.714
114.72	53408.874
114.75	53413.033
114.78	53417.193
114.81	53421.353
114.84	53425.513
114.87	53429.673
114.9	53433.833
114.93	53437.993
114.96	53442.152
114.99	53446.312
115.02	53450.472
115.05	53454.632
115.08	53458.792
115.11	53462.952
115.14	53467.112
115.17	53471.271
115.2	53475.431
115.23	53479.591
115.26	53483.751
115.29	53487.911
115.32	53492.071
115.35	53496.23
115.38	53500.39
115.41	53504.55
115.44	53508.71
115.47	53512.87
115.5	53517.03
115.59	53529.509
115.65	53537.829
115.71	53546.149
115.74	53550.309
115.77	53554.468
115.8	53558.628
115.83	53562.788
115.86	53566.948
115.89	53571.108
115.92	53575.268
115.95	53579.428
115.98	53583.587
116.01	53587.747
116.04	53591.907
116.07	53596.067
116.1	53600.227
116.13	53604.049
116.16	53607.195
116.19	53610.341
116.22	53613.488
116.25	53616.634
116.31	53622.927
116.34	53626.073
116.37	53629.22
116.4	53632.366
116.43	53635.512
116.46	53638.659
116.49	53641.805
116.52	53644.951
116.55	53648
116.58	53651
116.61	53654
116.64	53657
116.66	53659
116.67	53660
116.68	53661
116.69	53662
116.7	53663
116.71	53664
116.72	53665
116.73	53666
116.74	53667
116.75	53668
116.76	53669
116.77	53670
116.78	53671
116.79	53672
116.8	53673
116.81	53674
116.82	53675
116.83	53676
116.84	53677
116.85	53678
116.86	53679
116.87	53680
116.88	53681
116.89	53682
116.9	53683
116.91	53684
116.92	53685
116.93	53686
116.94	53687
116.95	53688
116.96	53689
116.97	53690
116.98	53691
116.99	53692
117	53693
117.01	53694
117.02	53695
117.03	53696
117.04	53697.4
117.05	53698.8
117.06	53700.2
117.065	53700.9
117.07	53701.6
117.075	53702.3
117.08	53703
117.085	53703.7
117.09	53704.4
117.095	53705.1
117.1	53705.8
117.105	53706.5
117.11	53707.2
117.115	53707.9
117.12	53708.6
117.125	53709.3
117.13	53710
117.135	53710.7
117.14	53711.4
