depth(m)	initial_age(kiloyear)
168.44	43117.694
168.48	43122.232
168.52	43126.696
168.56	43131.16
168.6	43135.625
168.64	43140.088
168.68	43144.551
168.72	43149.016
168.76	43153.479
168.8	43157.944
168.84	43162.408
168.88	43166.872
168.92	43171.336
168.96	43175.801
169	43180.264
169.04	43184.727
169.08	43189.192
169.12	43193.656
169.16	43198.12
169.2	43202.584
169.24	43207.049
169.28	43211.512
169.32	43215.977
169.36	43220.44
169.4	43224.903
169.44	43229.368
169.48	43233.832
169.52	43238.296
169.56	43242.76
169.6	43247.225
169.64	43251.688
169.68	43256.151
169.72	43260.616
169.76	43265.079
169.8	43269.544
169.84	43274.008
169.88	43278.472
169.92	43282.936
169.96	43287.401
170	43291.864
170.04	43296.327
170.08	43300.792
170.12	43305.256
170.16	43309.72
170.2	43314.184
170.24	43318.649
170.28	43323.112
170.32	43327.577
170.36	43332.04
170.4	43336.503
170.44	43340.968
170.48	43345.432
170.52	43349.896
170.56	43354.36
170.6	43358.825
170.64	43363.288
170.68	43367.751
170.72	43372.216
170.76	43376.679
170.8	43381.144
170.84	43385.608
170.88	43390.072
170.92	43394.536
170.96	43399.001
171	43403
171.04	43406.999
171.08	43411
171.12	43415
171.16	43419
171.2	43423
171.24	43427.001
171.28	43431
171.32	43435.001
171.36	43439
171.4	43442.999
171.44	43447
171.48	43451
171.52	43455
171.56	43459
171.6	43463.001
171.64	43467
171.68	43470.999
171.72	43475
171.76	43478.999
171.8	43483
171.84	43487
171.88	43491
171.92	43495
171.96	43499.001
172	43503
172.04	43507.244
172.08	43511.735
172.12	43516.224
172.16	43520.714
172.2	43525.204
172.24	43529.695
172.28	43534.184
172.32	43538.675
172.36	43543.163
172.4	43547.652
172.44	43552.143
172.48	43556.633
172.52	43561.122
172.56	43565.612
172.6	43570.103
172.64	43574.592
172.68	43579.081
172.72	43583.571
172.76	43588.06
172.8	43592.551
172.84	43597.041
172.88	43601.531
172.92	43606.02
172.96	43610.511
173	43615
173.04	43619.627
173.08	43624.256
173.12	43628.884
173.16	43633.512
173.2	43638.14
173.24	43642.77
173.28	43647.397
173.32	43652.026
173.36	43656.653
173.4	43661.28
173.44	43665.909
173.48	43670.537
173.52	43675.165
173.56	43679.793
173.6	43684.423
173.64	43689.05
173.68	43693.677
173.72	43698.306
173.76	43702.933
173.8	43707.562
173.84	43712.19
173.88	43716.818
173.92	43721.446
173.96	43726.076
174	43730.702
174.04	43735.329
174.08	43739.959
174.12	43744.587
174.16	43749.215
174.2	43753.843
174.24	43758.472
174.261	43760.901
174.28	43763.099
174.3	43765.413
174.322	43767.96
174.34	43770.041
174.365	43772.935
174.38	43774.669
174.407	43777.793
174.42	43779.298
174.46	43783.927
174.5	43788.554
174.54	43793.181
174.58	43797.81
174.62	43802.438
174.66	43807.066
174.7	43811.694
174.74	43816.323
174.78	43820.95
174.82	43825.58
174.86	43830.207
174.9	43834.834
174.94	43839.463
174.98	43844.091
175.02	43848.719
175.06	43853.347
175.1	43857.976
175.14	43862.603
175.18	43867.23
175.22	43871.86
175.26	43876.486
175.3	43881.116
175.34	43885.744
175.38	43890.372
175.42	43895
175.46	43900.251
175.5	43905.5
175.54	43910.749
175.58	43916
175.62	43921.25
175.66	43926.5
175.7	43931.75
175.74	43937.001
175.78	43942.25
175.82	43947.501
175.86	43952.75
175.9	43957.999
175.94	43963.25
175.98	43968.5
176.02	43973.75
176.06	43979
176.1	43984.251
176.14	43989.5
176.18	43994.749
176.22	44000
176.26	44004.639
176.3	44009.28
176.34	44013.92
176.38	44018.56
176.42	44023.2
176.46	44027.841
176.5	44032.48
176.54	44037.119
176.58	44041.76
176.62	44046.4
176.66	44051.04
176.7	44055.68
176.74	44060.321
176.78	44064.96
176.82	44069.601
176.86	44074.24
176.9	44078.879
176.94	44083.52
176.98	44088.16
177.02	44092.8
177.06	44097.44
177.1	44102.081
177.13	44105.56
177.18	44111.359
177.22	44116
177.26	44120.639
177.3	44125.28
177.34	44129.92
177.38	44134.56
177.42	44139.2
177.46	44143.841
177.5	44148.48
177.54	44153.119
177.58	44157.76
177.62	44162.4
177.66	44167.04
177.7	44171.68
177.74	44176.321
177.78	44180.96
177.82	44185.601
177.86	44190.24
177.9	44194.879
177.94	44199.52
177.98	44204.16
178.02	44208.8
178.06	44213.44
178.1	44218.081
178.14	44222.72
178.18	44227.359
178.22	44232
178.26	44236.639
178.3	44241.28
178.34	44245.92
178.38	44250.56
178.42	44255.2
178.46	44259.841
178.5	44264.48
178.53	44267.96
178.56	44271.44
178.6	44276.081
178.64	44280.72
178.66	44283.04
178.68	44285.359
178.7	44287.68
178.72	44290
178.74	44292.042
178.76	44294.081
178.78	44296.122
178.8	44298.163
178.84	44302.245
178.88	44306.327
178.92	44310.408
178.96	44314.491
179	44318.571
179.04	44322.652
179.08	44326.735
179.12	44330.816
179.16	44334.898
179.2	44338.98
179.24	44343.062
179.28	44347.143
179.32	44351.226
179.36	44355.306
179.4	44359.387
179.44	44363.469
179.48	44367.551
179.52	44371.633
179.56	44375.714
179.6	44379.797
179.64	44383.878
179.68	44387.958
179.72	44392.222
179.76	44396.666
179.8	44401.111
179.84	44405.556
179.88	44410
179.92	44414.444
179.96	44418.89
180	44423.333
180.04	44427.777
180.08	44432.222
180.12	44436.667
180.16	44441.111
180.2	44445.556
180.24	44450.001
180.28	44454.444
180.32	44458.89
180.36	44463.333
180.4	44467.777
180.44	44472.222
180.48	44476.667
180.52	44481.111
180.56	44485.556
180.6	44490.001
180.64	44494.113
180.68	44498.226
180.72	44502.34
180.76	44506.453
180.8	44510.567
180.84	44514.681
180.88	44518.794
180.92	44522.908
180.96	44527.022
181	44531.135
181.04	44535.247
181.08	44539.362
181.12	44543.475
181.16	44547.589
181.19	44550.674
181.24	44555.817
181.28	44559.929
181.32	44564.044
181.36	44568.156
181.39	44571.241
181.44	44576.383
181.48	44580.496
181.52	44584.61
181.56	44588.723
181.6	44592.838
181.64	44596.95
181.652	44598.183
181.68	44601.063
181.72	44605.177
181.753	44608.572
181.76	44609.29
181.8	44613.404
181.84	44617.518
181.862	44619.78
181.88	44621.631
181.92	44625.745
181.96	44629.859
181.973	44631.196
182	44633.972
182.075	44641.684
182.165	44650.939
182.347	44669.656
182.441	44679.322
182.56	44691.56
182.679	44703.798
182.791	44715.316
182.903	44726.833
183.014	44738.249
183.126	44749.767
183.238	44761.285
183.34	44771.773
183.44	44782.624
183.54	44795.741
183.64	44808.861
183.74	44821.982
183.84	44835.099
183.94	44848.218
184.04	44861.335
184.14	44874.455
184.24	44887.576
184.34	44900.693
184.44	44913.812
184.54	44926.929
184.64	44940.05
184.74	44953.17
184.84	44966.287
184.94	44979.406
185.04	44992.523
185.14	45005.644
185.24	45018.764
185.34	45031.881
185.44	45045
185.54	45050.519
185.64	45056.039
185.74	45061.559
185.84	45067.078
185.94	45072.597
186.04	45078.116
186.24	45089.156
186.34	45094.675
186.44	45100.195
186.54	45105.714
186.84	45122.273
186.94	45127.792
187.04	45135.297
187.14	45144.128
187.24	45152.96
187.34	45161.789
187.54	45179.449
187.64	45188.28
187.74	45197.111
187.84	45205.94
187.94	45214.771
188.04	45223.6
188.14	45232.431
188.24	45241.262
188.34	45250.092
188.44	45258.922
188.54	45267.751
188.68	45280.114
188.78	45288.945
188.88	45297.775
188.98	45306.606
189.08	45315.436
189.18	45324.265
189.28	45333.096
189.38	45341.927
189.48	45350.757
189.58	45359.587
189.68	45368.417
189.78	45377.248
189.88	45386.078
189.98	45394.908
190.08	45403.739
190.18	45412.568
190.28	45421.399
190.38	45430.229
190.48	45439.06
190.58	45447.89
190.68	45456.719
190.78	45465.55
190.88	45474.381
190.98	45483.211
191.08	45492.041
191.18	45500.871
191.28	45509.702
191.38	45518
191.48	45525.5
191.58	45533
191.68	45540.499
191.78	45548
191.88	45555.5
191.98	45563
192.08	45570.5
192.18	45577.999
192.28	45585.5
192.38	45593
192.48	45600.5
192.58	45608
192.68	45615.499
192.78	45623.691
192.88	45632.919
192.98	45642.148
193.08	45651.376
193.18	45660.603
193.28	45669.832
193.38	45679.06
193.48	45688.289
193.58	45697.517
193.68	45706.744
193.78	45715.973
193.88	45725.201
193.98	45734.43
194.08	45743.658
194.18	45752.885
194.28	45762.114
194.38	45771.342
194.48	45780.57
194.581	45789.89
194.63	45794.413
194.682	45799.212
194.73	45803.641
194.83	45812.869
194.93	45822.096
195.03	45831.326
195.13	45840.554
195.23	45849.782
195.33	45859.01
195.43	45868.237
195.53	45877.466
195.73	45895.658
195.83	45902.237
195.93	45908.815
196.03	45915.395
196.13	45921.974
196.23	45928.553
196.33	45935.132
196.43	45941.71
196.53	45948.289
196.63	45954.868
196.73	45961.447
196.83	45968.026
196.93	45974.605
196.965	45976.908
197.067	45983.618
197.169	45990.33
197.263	45996.671
197.353	46003.208
197.43	46008.801
197.445	46009.892
197.53	46016.066
197.63	46023.33
197.73	46030.594
197.83	46037.858
197.93	46045.122
198.03	46052.387
198.13	46059.651
198.23	46066.915
198.36	46076.358
198.43	46081.443
198.53	46088.708
198.63	46095.972
198.73	46103.236
198.83	46110.5
198.93	46117.763
199.03	46125.028
199.13	46132.292
199.23	46139.557
199.33	46146.821
199.43	46154.084
199.53	46161.349
199.63	46168.613
199.726	46175.587
199.73	46175.877
199.828	46182.996
199.83	46183.142
199.929	46190.333
199.93	46190.405
200.025	46197.306
200.03	46197.67
200.13	46204.934
200.23	46212.198
200.33	46219.462
200.43	46226.726
200.53	46233.991
200.63	46241.255
200.73	46248.519
200.83	46255.783
200.93	46263.046
201.03	46270.311
201.13	46277.575
201.23	46284.84
201.33	46292.104
201.43	46299.367
201.53	46306.632
201.63	46313.896
201.73	46321.16
201.83	46328.425
201.93	46335.688
202.03	46342.953
202.13	46350.217
202.23	46357.481
202.33	46364.745
202.43	46372.009
202.53	46379.274
202.63	46386.037
202.76	46394.755
202.83	46399.451
202.93	46406.158
203.03	46412.866
203.13	46419.573
203.23	46426.28
203.33	46432.988
203.43	46439.694
203.53	46446.402
203.63	46453.11
203.73	46459.817
203.83	46466.524
203.93	46473.231
204.03	46479.939
204.13	46486.646
204.23	46494.795
204.33	46504.384
204.43	46513.972
204.53	46523.562
204.63	46533.151
204.73	46542.74
204.83	46552.329
204.843	46553.575
204.93	46561.917
204.943	46563.163
205.03	46571.507
205.048	46573.233
205.13	46581.096
205.154	46583.398
205.259	46593.466
205.345	46601.712
205.428	46609.67
205.51	46617.533
205.593	46625.493
205.705	46636.233
205.823	46647.548
205.942	46658.959
206.06	46670.274
206.156	46679.48
206.25	46688.493
206.344	46697.506
206.438	46706.521
206.532	46715.534
206.63	46724.932
206.73	46734.521
206.83	46744.11
206.93	46753.698
207.03	46763.288
207.13	46772.295
207.23	46779.945
207.33	46787.596
207.43	46795.245
207.53	46802.896
207.63	46810.546
207.73	46818.197
207.83	46825.847
207.93	46833.497
208.03	46841.148
208.13	46848.798
208.23	46856.448
208.33	46864.098
208.43	46871.748
208.53	46879.399
208.63	46887.049
208.73	46894.699
208.83	46902.35
208.93	46909.999
209.13	46925.301
209.166	46928.055
209.258	46935.093
209.33	46940.601
209.35	46942.132
209.43	46948.251
209.53	46955.902
209.63	46963.552
209.811	46977.399
209.83	46978.852
209.93	46986.502
209.995	46991.475
210.03	46994.153
210.087	46998.514
210.13	47001.803
210.18	47005.628
210.23	47009.454
210.33	47017.104
210.364	47019.705
210.43	47024.753
210.461	47027.126
210.767	47050.707
210.87	47061.117
211.278	47102.351
211.38	47112.66
211.48	47122.766
211.98	47172.451
212.08	47182.255
212.18	47192.058
