Depth	d18O
105.55	1.35
105.55	1.657
105.59	1.435
105.59	1.755
105.63	1.331
105.63	1.51
105.67	1.281
105.67	1.69
105.72	1.298
105.72	1.603
105.75	1.367
105.79	1.393
105.79	1.702
105.83	1.253
105.87	1.261
105.87	1.505
105.91	1.3
105.91	1.679
105.96	1.584
105.96	1.746
105.99	1.313
105.99	1.718
106.03	1.144
106.03	1.393
106.07	1.621
106.11	1.517
106.15	1.767
106.195	1.709
106.23	1.687
106.27	1.607
106.31	1.738
106.35	1.752
106.39	0.955
106.39	1.747
106.43	1.432
106.47	1.773
106.51	1.228
106.51	1.661
106.55	1.727
106.59	1.698
106.63	1.772
106.67	1.605
106.75	1.261
106.75	1.603
106.79	1.659
106.83	1.624
106.87	1.269
106.87	1.421
106.91	1.364
106.91	1.687
106.95	1.139
106.95	1.533
106.99	1.308
106.99	1.654
107.03	1.561
107.07	1.528
107.11	1.282
107.15	1.491
107.15	1.84
107.23	1.709
107.27	1.818
107.31	1.605
107.35	1.673
107.39	1.559
107.39	1.821
107.43	1.85
107.47	1.467
107.47	1.588
107.51	1.741
107.55	1.753
107.59	1.562
107.63	1.311
107.67	1.297
107.67	1.68
107.71	1.43
107.71	1.598
107.75	1.668
107.79	1.197
107.79	1.714
107.87	1.713
107.91	1.61
107.95	1.434
107.99	1.22
107.99	1.5
108.03	1.511
108.07	1.423
108.11	1.304
108.11	1.583
108.15	1.234
108.15	1.298
108.19	1.421
108.19	1.602
108.215	1.025
108.27	1.363
108.27	1.487
108.31	1.338
108.31	1.486
108.35	1.33
108.35	1.602
108.39	1.191
108.39	1.584
108.43	1.187
108.43	1.434
108.47	1.308
108.47	1.534
108.51	1.246
108.51	1.592
108.55	1.231
108.55	1.405
108.59	1.219
108.59	1.527
108.63	1.325
108.63	1.482
108.67	1.087
108.67	1.613
108.71	1.355
108.71	1.338
108.75	1.462
108.79	1.239
108.79	1.55
108.83	1.213
108.83	1.373
108.87	1.376
108.87	1.589
108.91	1.075
108.91	1.577
108.95	1.275
108.95	1.499
108.99	1.408
108.99	1.595
109.03	1.45
109.03	1.543
109.07	1.307
109.07	1.754
109.11	1.2939
109.11	1.6248
109.15	1.4094
109.15	1.4715
109.19	1.4348
109.19	1.3784
