depth(m)	initial_age(kiloyear)
105.55	35605.154
105.55	35605.154
105.59	35614.077
105.59	35614.077
105.63	35623
105.63	35623
105.67	35631.923
105.67	35631.923
105.72	35643.077
105.72	35643.077
105.75	35649.769
105.79	35658.692
105.79	35658.692
105.83	35667.615
105.87	35676.538
105.87	35676.538
105.91	35685.462
105.91	35685.462
105.96	35696.615
105.96	35696.615
105.99	35703.308
105.99	35703.308
106.03	35712.231
106.03	35712.231
106.07	35721.154
106.11	35730.077
106.15	35739
106.195	35749.038
106.23	35756.846
106.27	35765.769
106.31	35774.692
106.35	35783.615
106.39	35792.538
106.39	35792.538
106.43	35801.462
106.47	35810.385
106.51	35819.308
106.51	35819.308
106.55	35828.231
106.59	35837.154
106.63	35846.077
106.67	35855
106.75	35873.085
106.75	35873.085
106.79	35882.128
106.83	35891.17
106.87	35900.213
106.87	35900.213
106.91	35909.255
106.91	35909.255
106.95	35918.298
106.95	35918.298
106.99	35927.34
106.99	35927.34
107.03	35936.383
107.07	35945.426
107.11	35954.468
107.15	35963.511
107.15	35963.511
107.23	35981.596
107.27	35990.638
107.31	35999.681
107.35	36008.723
107.39	36017.766
107.39	36017.766
107.43	36026.809
107.47	36035.851
107.47	36035.851
107.51	36044.894
107.55	36053.936
107.59	36062.979
107.63	36072.021
107.67	36081.064
107.67	36081.064
107.71	36090.106
107.71	36090.106
107.75	36099.149
107.79	36108.191
107.79	36108.191
107.87	36126.277
107.91	36135.319
107.95	36144.362
107.99	36153.404
107.99	36153.404
108.03	36162.447
108.07	36171.489
108.11	36180.532
108.11	36180.532
108.15	36189.574
108.15	36189.574
108.19	36198.617
108.19	36198.617
108.215	36204.269
108.27	36216.702
108.27	36216.702
108.31	36225.745
108.31	36225.745
108.35	36234.787
108.35	36234.787
108.39	36243.83
108.39	36243.83
108.43	36252.872
108.43	36252.872
108.47	36261.915
108.47	36261.915
108.51	36270.957
108.51	36270.957
108.55	36280
108.55	36280
108.59	36287.451
108.59	36287.451
108.63	36294.902
108.63	36294.902
108.67	36302.353
108.67	36302.353
108.71	36309.804
108.71	36309.804
108.75	36317.255
108.79	36324.706
108.79	36324.706
108.83	36332.157
108.83	36332.157
108.87	36339.608
108.87	36339.608
108.91	36347.059
108.91	36347.059
108.95	36354.51
108.95	36354.51
108.99	36361.961
108.99	36361.961
109.03	36369.412
109.03	36369.412
109.07	36376.863
109.07	36376.863
109.11	36384.314
109.11	36384.314
109.15	36391.765
109.15	36391.765
109.19	36399.216
109.19	36399.216
109.23	36406.667
109.23	36406.667
109.27	36414.118
109.27	36414.118
109.31	36421.569
109.31	36421.569
109.35	36429.02
109.35	36429.02
109.39	36436.471
109.39	36436.471
109.43	36443.922
109.43	36443.922
109.47	36451.373
109.47	36451.373
109.51	36458.824
109.51	36458.824
109.55	36466.275
109.59	36473.725
109.63	36481.176
109.67	36488.627
109.71	36496.078
109.79	36510.98
109.79	36510.98
109.83	36518.431
109.83	36518.431
109.91	36533.333
109.95	36540.784
109.99	36548.235
110.03	36555.686
110.03	36555.686
110.07	36563.137
110.07	36563.137
110.11	36570.588
110.11	36570.588
110.15	36578.039
110.15	36578.039
110.19	36585.49
110.19	36585.49
110.23	36592.941
110.23	36592.941
110.27	36600.392
110.27	36600.392
110.31	36607.843
110.31	36607.843
110.35	36615.294
110.35	36615.294
110.39	36622.745
110.39	36622.745
110.43	36630.196
110.43	36630.196
110.47	36637.647
110.47	36637.647
110.51	36645.098
110.51	36645.098
110.55	36652.549
110.55	36652.549
110.59	36660
110.59	36660
110.63	36666.557
110.63	36666.557
110.67	36673.115
110.67	36673.115
110.71	36679.672
110.71	36679.672
110.75	36686.23
110.75	36686.23
110.79	36692.787
110.79	36692.787
110.83	36699.344
110.83	36699.344
110.87	36705.902
110.87	36705.902
110.91	36712.459
110.91	36712.459
110.95	36719.016
110.95	36719.016
110.99	36725.574
110.99	36725.574
111.03	36732.131
111.03	36732.131
111.07	36738.689
111.07	36738.689
111.11	36745.246
111.15	36751.803
111.15	36751.803
111.19	36758.361
111.19	36758.361
111.23	36764.918
111.23	36764.918
111.265	36770.656
111.265	36770.656
111.31	36778.033
111.31	36778.033
111.35	36784.59
111.35	36784.59
111.39	36791.148
111.39	36791.148
111.43	36797.705
111.43	36797.705
111.47	36804.262
111.47	36804.262
111.51	36810.82
111.51	36810.82
111.55	36817.377
111.55	36817.377
111.59	36823.934
111.59	36823.934
111.63	36830.492
111.63	36830.492
111.67	36837.049
111.71	36843.607
111.71	36843.607
111.75	36850.164
111.75	36850.164
111.79	36856.721
111.79	36856.721
111.83	36863.279
111.83	36863.279
111.87	36869.836
111.87	36869.836
111.91	36876.393
111.91	36876.393
111.95	36882.951
111.95	36882.951
111.99	36889.508
112.03	36896.066
112.07	36902.623
112.07	36902.623
112.11	36909.18
112.11	36909.18
112.15	36915.738
112.15	36915.738
112.19	36922.295
112.19	36922.295
112.23	36928.852
112.23	36928.852
112.27	36935.41
112.27	36935.41
112.35	36948.525
112.35	36948.525
112.39	36955.082
112.39	36955.082
112.43	36961.639
112.43	36961.639
112.47	36968.197
112.47	36968.197
112.51	36974.754
112.51	36974.754
112.55	36981.311
112.55	36981.311
112.59	36987.869
112.59	36987.869
112.63	36994.426
112.67	37000.984
112.67	37000.984
112.71	37007.541
112.75	37014.098
112.79	37020.656
112.79	37020.656
112.83	37027.213
112.87	37033.77
112.87	37033.77
112.91	37040.328
112.95	37046.885
112.99	37053.443
113.03	37060
113.07	37064.805
113.07	37064.805
113.11	37069.61
113.11	37069.61
113.11	37069.61
113.15	37074.416
113.19	37079.221
113.19	37079.221
113.23	37084.026
113.27	37088.831
113.31	37093.636
113.35	37098.442
113.39	37103.247
113.43	37108.052
113.47	37112.857
113.51	37117.662
113.55	37122.468
113.55	37122.468
113.55	37122.468
113.59	37127.273
113.63	37132.078
113.67	37136.883
113.71	37141.688
113.75	37146.494
113.83	37156.104
113.87	37160.909
113.91	37165.714
113.95	37170.519
113.99	37175.325
114.03	37180.13
114.07	37184.935
114.11	37189.74
114.15	37194.545
114.19	37199.351
114.19	37199.351
114.19	37199.351
114.23	37204.156
114.265	37208.36
114.31	37213.766
114.35	37218.571
114.39	37223.377
114.43	37228.182
114.43	37228.182
114.51	37237.792
114.55	37242.597
114.59	37247.403
114.63	37252.208
114.67	37257.013
114.71	37261.818
114.75	37266.623
114.79	37271.429
114.83	37276.234
114.87	37281.039
114.91	37285.844
114.95	37290.649
114.99	37295.455
115.03	37300.26
115.07	37305.065
115.11	37309.87
115.15	37314.675
115.19	37319.481
115.23	37324.286
115.27	37329.091
115.31	37333.896
115.35	37338.701
115.39	37343.506
115.43	37348.312
115.47	37353.117
115.51	37357.922
115.55	37362.727
115.59	37367.532
115.63	37372.338
115.67	37377.143
115.71	37381.948
115.75	37386.753
115.79	37391.558
115.83	37396.364
115.87	37401.169
115.91	37405.974
115.95	37410.779
115.99	37415.584
116.03	37420.39
116.07	37425.195
116.11	37430
116.15	37436.426
116.19	37442.853
116.23	37449.279
116.27	37455.706
116.31	37462.132
116.35	37468.559
116.39	37474.985
116.43	37481.412
116.43	37481.412
116.43	37481.412
116.47	37487.838
116.47	37487.838
116.51	37494.265
116.55	37500.691
116.59	37507.118
116.67	37519.971
116.71	37526.397
116.75	37532.824
116.79	37539.25
116.83	37545.676
116.87	37552.103
116.91	37558.529
116.95	37564.956
116.99	37571.382
117.03	37577.809
117.07	37584.235
117.11	37590.662
117.15	37597.088
117.23	37609.941
117.27	37616.368
117.31	37622.794
117.31	37622.794
117.35	37629.221
117.39	37635.647
117.43	37642.074
117.47	37648.5
117.51	37654.926
117.55	37661.353
117.59	37667.779
117.59	37667.779
117.59	37667.779
117.63	37674.206
117.63	37674.206
117.63	37674.206
117.67	37680.632
117.71	37687.059
117.75	37693.485
117.79	37699.912
117.83	37706.338
117.87	37712.765
117.91	37719.191
117.95	37725.618
117.99	37732.044
117.99	37732.044
117.99	37732.044
118.03	37738.471
118.03	37738.471
118.03	37738.471
118.07	37744.897
118.11	37751.324
118.15	37757.75
118.15	37757.75
118.15	37757.75
118.19	37764.176
118.19	37764.176
118.19	37764.176
118.23	37770.603
118.27	37777.029
118.27	37777.029
118.31	37783.456
118.35	37789.882
118.39	37796.309
118.43	37802.735
118.47	37809.162
118.51	37815.588
118.55	37822.015
118.59	37828.441
118.63	37834.868
118.67	37841.294
118.71	37847.721
118.75	37854.147
118.79	37860.574
118.83	37867
118.87	37870.491
118.87	37870.491
118.87	37870.491
118.91	37873.982
118.91	37873.982
118.91	37873.982
118.95	37877.474
118.99	37880.965
119.03	37884.456
119.07	37887.947
119.11	37891.439
119.15	37894.93
119.19	37898.421
119.23	37901.912
119.27	37905.404
119.31	37908.895
119.35	37912.386
119.39	37915.877
119.43	37919.368
119.47	37922.86
119.495	37925.042
119.495	37925.042
119.495	37925.042
119.55	37929.842
119.59	37933.333
119.63	37936.825
119.67	37940.316
119.71	37943.807
119.75	37947.298
119.79	37950.789
119.83	37954.281
119.87	37957.772
119.91	37961.263
119.95	37964.754
119.99	37968.246
120.03	37971.737
120.03	37971.737
120.03	37971.737
120.07	37975.228
120.11	37978.719
120.15	37982.211
120.19	37985.702
120.23	37989.193
120.27	37992.684
120.31	37996.175
120.35	37999.667
120.39	38003.158
120.43	38006.649
120.47	38010.14
120.51	38013.632
120.55	38017.123
120.59	38020.614
120.63	38024.105
120.67	38027.596
120.67	38027.596
120.71	38031.088
120.75	38034.579
120.79	38038.07
120.83	38041.561
120.87	38045.053
120.91	38048.544
120.91	38048.544
120.91	38048.544
120.95	38052.035
120.99	38055.526
121.03	38059.018
121.07	38062.509
121.11	38066
121.15	38069.491
121.19	38072.982
121.19	38072.982
121.19	38072.982
121.23	38076.474
121.27	38079.965
121.31	38083.456
121.35	38086.947
121.39	38090.439
121.43	38093.93
121.47	38097.421
121.52	38101.785
121.55	38104.404
121.59	38107.895
121.63	38111.386
121.67	38114.877
121.71	38118.368
121.75	38121.86
121.79	38125.351
121.83	38128.842
121.87	38132.333
121.91	38135.825
121.95	38139.316
121.99	38142.807
122.03	38146.298
122.07	38149.789
122.11	38153.281
122.15	38156.772
122.19	38160.263
122.19	38160.263
122.19	38160.263
122.23	38163.754
122.27	38167.246
122.31	38170.737
122.35	38174.228
122.39	38177.719
122.43	38181.211
122.47	38184.702
122.495	38186.884
122.55	38191.684
122.59	38195.175
122.63	38198.667
122.67	38202.158
122.67	38202.158
122.67	38202.158
122.71	38205.649
122.75	38209.14
122.79	38212.632
122.83	38216.123
122.87	38219.614
122.91	38223.105
122.95	38226.596
122.99	38230.088
123.045	38234.888
123.045	38234.888
123.045	38234.888
123.07	38237.07
123.11	38240.561
123.15	38244.053
123.19	38247.544
123.245	38252.344
123.27	38254.526
123.27	38254.526
123.27	38254.526
123.31	38258.018
123.35	38261.509
123.39	38265
123.445	38274.676
123.47	38279.074
123.51	38286.111
123.55	38293.148
123.59	38300.185
123.645	38309.861
123.67	38314.259
123.71	38321.296
123.75	38328.333
123.79	38335.37
123.845	38345.046
123.845	38345.046
123.845	38345.046
123.87	38349.444
123.91	38356.481
123.95	38363.519
123.99	38370.556
124.045	38380.231
124.07	38384.63
124.11	38391.667
124.11	38391.667
124.11	38391.667
124.15	38398.704
124.19	38405.741
124.245	38415.417
124.245	38415.417
124.245	38415.417
124.27	38419.815
124.31	38426.852
124.35	38433.889
124.39	38440.926
124.43	38447.963
124.47	38455
124.51	38462.037
124.55	38469.074
124.55	38469.074
124.59	38476.111
124.63	38483.148
124.67	38490.185
124.71	38497.222
124.75	38504.259
124.79	38511.296
124.83	38518.333
124.87	38525.37
124.91	38532.407
124.95	38539.444
124.99	38546.481
125.03	38553.519
125.07	38560.524
125.11	38567.519
125.149	38574.514
125.189	38581.508
125.229	38588.503
125.269	38595.498
125.308	38602.491
125.348	38609.486
125.388	38616.481
125.428	38623.475
125.467	38630.47
125.467	38630.47
125.467	38630.47
125.507	38637.465
125.547	38644.462
125.547	38644.462
125.547	38644.462
125.587	38650.147
125.61	38653.417
125.627	38655.745
125.65	38659.029
125.667	38661.355
125.69	38664.64
125.707	38666.963
125.74	38671.655
125.747	38672.572
125.77	38675.863
125.787	38678.181
125.81	38681.475
125.85	38687.086
125.89	38692.698
125.94	38699.712
125.97	38703.921
126.01	38709.532
126.05	38715.144
126.1	38722.158
126.14	38727.77
126.17	38731.978
126.21	38737.59
126.25	38743.201
126.29	38748.813
126.315	38752.32
126.37	38760.036
126.41	38765.647
126.45	38771.259
126.49	38776.871
126.54	38783.885
126.54	38783.885
126.58	38789.496
126.61	38793.705
126.61	38793.705
126.61	38793.705
126.65	38799.317
126.69	38804.928
126.73	38810.54
126.78	38817.554
126.78	38817.554
126.78	38817.554
126.81	38821.763
126.85	38827.374
126.89	38832.986
126.94	38840
126.97	38844.209
127.01	38849.82
127.05	38855.432
127.09	38861.043
127.12	38865.252
127.12	38865.252
127.12	38865.252
127.17	38872.266
127.17	38872.266
127.17	38872.266
127.21	38877.878
127.25	38883.489
127.29	38889.101
127.34	38896.115
127.37	38900.324
127.41	38905.935
127.45	38911.547
127.49	38917.158
127.54	38924.173
127.57	38928.381
127.61	38933.993
127.65	38939.604
127.69	38945.216
127.72	38949.424
127.72	38949.424
127.72	38949.424
127.77	38956.439
127.81	38962.05
127.85	38967.662
127.89	38973.273
127.94	38980.288
127.97	38984.496
128.01	38990.107
128.05	38995.719
128.09	39001.331
128.09	39001.331
128.09	39001.331
128.12	39005.54
128.17	39012.554
128.21	39018.167
128.25	39023.777
128.29	39029.387
128.29	39029.387
128.29	39029.387
128.32	39033.599
128.37	39039.159
128.37	39039.159
128.37	39039.159
128.41	39043.318
128.41	39043.318
128.41	39043.318
128.45	39047.476
128.49	39051.636
128.53	39055.794
128.57	39059.954
128.61	39064.112
128.65	39068.269
128.69	39072.429
128.73	39076.588
128.73	39076.588
128.73	39076.588
128.77	39080.747
128.81	39084.905
128.85	39089.065
128.89	39093.223
128.92	39096.342
128.97	39101.541
129.01	39105.698
129.01	39105.698
129.01	39105.698
129.05	39109.858
129.09	39114.017
129.09	39114.017
129.12	39117.136
129.17	39122.335
129.21	39126.494
129.25	39130.652
129.29	39134.81
129.315	39137.41
129.37	39143.129
129.41	39147.169
129.45	39151.111
129.49	39155.055
129.515	39157.519
129.58	39163.926
129.61	39166.883
129.65	39170.825
129.69	39174.769
129.745	39180.19
129.745	39180.19
129.77	39182.655
129.81	39186.598
129.85	39190.541
129.89	39194.483
129.93	39198.425
129.97	39202.369
130.01	39206.311
130.05	39210.255
130.09	39214.198
130.14	39219.126
130.18	39223.068
130.21	39226.027
130.21	39226.027
130.21	39226.027
130.25	39229.969
130.29	39233.911
130.33	39237.855
130.37	39241.798
130.41	39245.741
130.45	39249.684
130.49	39253.628
130.52	39256.584
130.57	39261.514
130.61	39265.455
130.65	39269.397
130.69	39273.341
130.74	39278.271
130.78	39282.213
130.815	39285.663
130.85	39289.114
130.89	39293.056
130.89	39293.056
130.89	39293.056
130.94	39297.984
130.98	39301.927
131.01	39304.883
131.05	39308.827
131.09	39312.77
131.12	39315.727
131.17	39320.656
131.21	39324.6
131.25	39328.542
131.29	39332.484
131.33	39336.428
131.37	39340.37
131.41	39344.313
131.45	39348.256
131.49	39352.2
131.53	39356.142
131.57	39360.086
131.61	39364.028
131.61	39364.028
131.61	39364.028
131.65	39367.97
131.69	39371.914
131.74	39376.843
131.77	39379.799
131.81	39383.742
131.85	39387.686
131.89	39391.628
131.94	39396.557
131.98	39400.5
132.01	39403.456
132.05	39407.4
132.09	39411.358
132.141	39416.368
132.171	39419.371
132.171	39419.371
132.171	39419.371
132.21	39423.172
132.29	39431.056
132.33	39435
132.37	39440.263
132.4	39444.209
132.45	39450.789
132.49	39456.054
132.53	39461.316
132.57	39466.58
132.61	39471.842
132.65	39477.104
132.73	39487.632
132.77	39492.895
132.81	39498.158
132.85	39503.422
132.89	39508.684
132.93	39513.946
132.97	39519.211
133.01	39524.472
133.05	39529.737
133.09	39535
133.13	39539.328
133.17	39543.657
133.21	39547.986
133.25	39552.313
133.29	39556.641
133.33	39560.97
133.37	39565.299
133.41	39569.627
133.45	39573.955
133.475	39576.662
133.53	39582.612
133.61	39591.269
133.65	39595.596
133.69	39599.925
133.73	39604.254
133.77	39608.582
133.81	39612.91
133.85	39617.24
133.89	39621.567
133.93	39625.894
133.93	39625.894
133.97	39630.224
134.01	39634.551
134.05	39638.881
134.09	39643.209
134.13	39647.537
134.17	39651.866
134.21	39656.195
134.25	39660.522
134.29	39664.85
134.33	39669.179
134.37	39673.507
134.41	39677.836
134.45	39682.164
134.49	39686.494
134.53	39690.821
134.53	39690.821
134.57	39695.15
134.61	39699.478
134.65	39703.805
134.69	39708.134
134.69	39708.134
134.69	39708.134
134.73	39712.463
134.77	39716.791
134.77	39716.791
134.81	39721.119
134.85	39725.449
134.89	39729.776
134.93	39734.103
134.97	39738.433
135.01	39742.76
135.05	39747.09
135.09	39751.418
135.13	39755.746
135.17	39760.075
135.17	39760.075
135.17	39760.075
135.25	39768.731
135.29	39773.059
135.33	39777.388
135.37	39781.716
135.41	39786.045
135.45	39790.373
135.49	39794.703
135.52	39797.948
135.56	39802.276
135.62	39808.769
135.685	39815.802
135.72	39819.59
135.77	39825
135.82	39829.055
135.87	39833.108
135.92	39837.162
135.97	39841.216
136.02	39845.27
136.075	39849.73
136.12	39853.378
136.155	39856.216
136.22	39861.486
136.27	39865.541
136.32	39869.595
136.37	39873.649
136.385	39874.864
136.42	39877.703
136.47	39881.757
136.52	39885.811
136.57	39889.866
136.62	39893.919
136.67	39897.973
136.72	39902.027
136.77	39906.081
136.82	39910.136
136.87	39914.189
136.92	39918.243
136.97	39922.297
137.02	39926.351
137.065	39930
137.08	39931.216
137.13	39935.268
137.18	39939.32
137.23	39943.373
137.28	39947.426
137.33	39951.478
137.38	39955.53
137.43	39959.582
137.48	39963.635
137.53	39967.688
137.58	39971.74
137.63	39975.793
137.68	39979.844
137.73	39983.897
137.78	39987.95
137.83	39992.002
137.88	39996.055
137.93	40000.106
137.98	40004.16
138.03	40008.212
138.08	40012.265
138.13	40016.317
138.18	40020.369
138.23	40024.422
138.28	40028.474
138.33	40032.527
138.38	40036.579
138.43	40040.631
138.48	40044.684
138.53	40048.737
138.62	40056.031
138.67	40060.083
138.72	40064.136
138.76	40067.377
138.82	40072.242
138.87	40076.293
138.92	40080.346
138.97	40084.398
139.02	40088.451
139.07	40092.504
139.12	40096.555
139.175	40101.006
139.231	40105.556
139.287	40110.107
139.343	40114.657
139.399	40119.207
139.456	40123.756
139.512	40128.307
139.568	40132.857
139.624	40137.408
139.68	40141.957
139.736	40146.508
139.793	40151.078
139.844	40155.219
139.906	40160.278
139.963	40164.877
140.02	40169.478
140.065	40173.158
140.133	40178.677
140.184	40182.818
140.24	40187.329
140.29	40191.382
140.34	40195.435
140.39	40199.487
140.44	40203.54
140.455	40204.756
140.49	40207.593
140.54	40211.646
140.555	40212.86
140.58	40214.888
140.64	40219.751
140.645	40220.155
140.69	40223.804
140.74	40227.855
140.74	40227.855
140.84	40235.959
140.955	40245.28
141.06	40253.79
141.155	40261.49
141.26	40269.999
141.36	40277.109
141.46	40284.218
141.56	40291.326
141.66	40298.435
141.76	40305.543
141.86	40312.652
141.95	40319.05
142.05	40326.158
142.15	40333.266
142.25	40340.376
142.35	40347.485
142.45	40354.593
142.55	40361.702
142.63	40367.389
142.75	40375.919
142.85	40383.028
142.95	40390.136
143.05	40397.245
143.15	40404.353
143.25	40411.462
143.31	40415.727
143.43	40424.257
143.535	40431.722
143.635	40438.83
143.735	40445.939
143.835	40453.049
143.935	40460.157
144.03	40466.91
144.135	40474.373
144.235	40481.483
144.335	40488.592
144.435	40495.7
144.535	40502.808
144.635	40509.916
144.735	40517.026
144.835	40524.135
144.949	40532.248
145.045	40539.057
145.32	40558.612
145.39	40563.587
145.495	40571.052
145.595	40578.16
145.7	40585.624
145.79	40592.021
145.89	40599.131
145.98	40605.529
146.075	40612.282
146.2	40621.168
146.295	40627.921
146.395	40635.029
146.485	40641.427
146.585	40648.537
146.685	40655.645
146.78	40666.767
146.895	40680.524
146.98	40690.693
147.085	40703.255
147.195	40716.415
147.295	40728.376
