depth(m)	initial_age(kiloyear)
131.22	42062.1
131.26	42063.9
131.32	42066.6
131.38	42069.3
131.44	42071.99
131.5	42074.69
131.56	42077.39
131.62	42080.09
131.68	42082.78
131.74	42085.48
131.8	42088.18
131.86	42090.88
131.92	42093.57
131.98	42096.27
132.04	42098.97
132.1	42101.67
132.16	42104.36
132.22	42107.06
132.28	42109.76
132.34	42112.46
132.4	42115.15
132.46	42117.85
132.52	42120.55
132.58	42123.24
132.64	42125.94
132.7	42128.64
132.76	42131.34
132.82	42134.03
132.88	42136.73
132.94	42139.43
133	42142.13
133.06	42144.82
133.12	42147.52
133.18	42150.22
133.24	42152.92
133.3	42155.61
133.36	42158.31
133.42	42161.01
133.48	42163.71
133.54	42166.4
133.6	42169.1
133.66	42170.95
133.72	42172.36
133.78	42173.78
133.84	42175.2
133.9	42176.62
133.96	42178.03
134.02	42179.45
134.08	42180.87
134.14	42182.29
134.2	42183.71
134.26	42185.12
134.32	42186.54
134.38	42187.96
134.44	42189.38
134.5	42190.79
134.56	42192.21
134.62	42193.63
134.68	42195.05
134.74	42196.47
134.8	42197.88
134.86	42199.3
134.92	42200.72
134.98	42202.14
135.1	42204.97
135.16	42206.39
135.22	42207.81
135.24	42208.28
135.3	42209.7
135.36	42211.12
135.42	42212.53
135.48	42213.95
135.54	42215.37
135.6	42216.79
135.66	42218.2
135.72	42219.62
135.78	42221.04
135.84	42222.46
135.9	42223.88
135.96	42225.29
136.02	42226.71
136.08	42228.13
136.14	42229.55
136.2	42230.96
136.26	42232.38
136.32	42233.8
136.38	42235.22
136.44	42236.64
136.5	42238.05
136.56	42239.47
136.62	42240.89
136.68	42242.31
136.74	42243.72
136.8	42245.14
136.86	42246.56
136.92	42247.98
136.98	42249.4
137.04	42250.81
137.1	42252.23
137.16	42253.65
137.22	42255.07
137.28	42256.48
137.34	42257.9
137.4	42259.32
137.46	42260.74
137.52	42262.16
137.58	42263.57
137.64	42264.99
137.7	42266.41
137.76	42267.83
137.82	42269.24
137.88	42270.66
137.94	42272.08
138	42273.5
138.06	42274.92
138.12	42276.33
138.18	42277.75
138.24	42279.17
138.3	42280.59
138.36	42282
138.42	42283.42
138.48	42284.84
138.54	42286.26
138.6	42287.68
138.66	42289.09
138.72	42290.51
138.78	42291.93
138.84	42293.35
138.9	42294.76
138.96	42296.18
139.02	42297.6
139.14	42300.44
139.2	42301.85
139.26	42303.27
139.32	42304.69
139.38	42306.11
139.44	42307.52
139.5	42308.94
139.56	42310.36
139.62	42311.78
139.68	42313.2
139.74	42314.61
139.8	42316.03
139.86	42317.45
139.92	42318.87
139.98	42320.28
140.04	42321.7
140.1	42323.12
140.16	42324.54
140.22	42325.96
140.27	42327.14
140.32	42328.32
140.36	42329.26
140.42	42330.68
140.48	42332.1
140.54	42333.52
140.6	42334.93
140.66	42336.35
140.72	42337.77
140.78	42339.19
140.84	42340.61
140.9	42342.02
140.96	42343.44
141.02	42344.86
141.08	42346.28
141.14	42347.69
141.2	42349.11
141.26	42350.53
141.32	42351.95
141.38	42353.37
141.44	42354.78
141.5	42356.2
141.56	42357.62
141.62	42359.04
141.68	42360.45
141.74	42361.87
141.8	42363.29
141.86	42364.71
141.92	42366.13
141.98	42367.54
142.04	42368.96
142.1	42370.38
142.16	42371.8
142.22	42373.21
142.28	42374.63
142.34	42376.05
142.4	42377.47
142.46	42378.89
142.52	42380.3
142.58	42381.72
142.64	42383.14
142.7	42384.56
142.76	42385.97
142.82	42387.39
142.88	42388.81
142.94	42390.23
143	42391.65
143.06	42393.06
143.12	42394.48
143.18	42395.9
143.24	42397.32
143.3	42398.73
143.36	42400.15
143.42	42401.57
143.48	42402.99
143.54	42404.41
143.6	42405.82
143.66	42407.24
143.72	42408.66
143.78	42410.08
143.84	42411.49
143.9	42412.91
143.96	42414.33
144.02	42415.75
144.08	42417.17
144.13	42418.35
144.18	42419.53
144.22	42420.47
144.28	42421.89
144.34	42423.31
144.4	42424.73
144.52	42427.56
144.58	42428.98
144.64	42430.4
144.76	42433.23
144.82	42434.65
144.88	42436.07
144.94	42437.49
145	42438.91
145.06	42440.32
145.12	42441.74
145.18	42443.16
145.24	42444.58
145.3	42445.99
145.36	42447.41
145.42	42448.83
145.48	42450.25
145.54	42451.67
145.6	42453.08
145.66	42454.5
145.84	42458.75
145.9	42460.17
145.96	42461.59
146.02	42463.01
146.08	42464.43
146.14	42465.84
146.2	42467.26
146.26	42468.68
146.32	42470.1
146.38	42471.51
146.44	42472.93
146.5	42474.35
146.56	42475.77
146.62	42477.19
146.68	42478.6
146.74	42480.02
146.8	42481.44
146.86	42482.86
146.92	42484.27
146.98	42485.69
147.04	42487.11
147.1	42488.53
147.16	42489.95
147.22	42491.36
147.28	42492.78
147.34	42494.2
147.4	42495.62
147.46	42497.03
147.52	42498.45
147.58	42499.87
147.64	42501.29
147.7	42502.71
147.76	42504.12
147.82	42505.54
147.88	42506.96
147.94	42508.38
148	42509.79
148.06	42511.21
148.12	42512.63
148.18	42514.05
148.24	42515.47
148.3	42516.88
148.36	42518.3
148.42	42519.72
148.48	42521.14
148.54	42522.55
148.6	42523.97
148.66	42525.39
148.72	42526.81
148.78	42528.23
148.84	42529.64
148.9	42531.06
149.02	42533.9
149.08	42535.31
149.14	42536.73
149.2	42538.15
149.26	42539.57
149.34	42541.46
149.42	42543.35
149.48	42544.77
149.54	42546.18
149.6	42547.6
149.66	42549.02
149.72	42550.44
149.78	42551.85
149.84	42553.27
149.9	42554.69
149.96	42556.11
150.02	42557.53
150.08	42558.94
150.14	42560.36
150.2	42561.78
150.26	42563.2
150.32	42564.61
150.38	42566.03
150.44	42567.45
150.5	42568.87
150.56	42570.29
150.62	42571.7
150.68	42573.12
150.74	42574.54
150.8	42575.96
150.86	42577.37
150.92	42578.79
150.98	42580.21
151.04	42581.63
151.1	42583.05
151.16	42584.46
151.22	42585.88
151.28	42587.3
151.34	42588.72
151.4	42590.13
151.46	42591.55
151.52	42592.97
151.58	42594.39
151.64	42595.81
151.7	42597.22
151.76	42598.64
151.82	42600.06
151.88	42601.48
151.94	42602.89
152.06	42605.73
152.12	42607.15
152.18	42608.57
152.24	42609.98
152.3	42611.4
152.36	42612.82
152.42	42614.24
152.48	42615.65
152.54	42617.07
152.6	42618.49
152.66	42619.91
152.72	42621.33
152.78	42622.74
152.84	42624.16
152.9	42625.58
152.96	42627
153.02	42628.41
153.08	42629.83
153.14	42631.25
153.2	42632.67
153.26	42634.09
153.32	42635.5
153.38	42636.92
153.44	42638.34
153.5	42639.76
153.56	42641.17
153.62	42642.59
153.68	42644.01
153.74	42645.43
153.8	42646.85
153.86	42648.26
153.92	42649.68
153.98	42651.1
154.04	42652.52
154.1	42653.93
154.16	42655.35
154.28	42658.19
154.34	42659.61
154.4	42661.02
154.46	42662.44
154.52	42663.86
154.58	42665.28
154.64	42666.69
154.7	42668.11
154.76	42669.53
154.82	42670.95
154.88	42672.37
154.94	42673.78
155	42675.2
155.06	42676.62
155.12	42678.04
155.18	42679.45
155.24	42680.87
155.3	42682.29
155.36	42683.71
155.42	42685.13
155.48	42686.54
155.54	42687.96
155.6	42689.38
155.66	42690.8
155.72	42692.21
155.78	42693.63
155.84	42695.05
155.9	42696.47
155.96	42697.89
156.02	42699.3
156.08	42700.72
156.14	42702.14
156.2	42703.56
156.26	42704.97
156.32	42706.39
156.38	42707.81
156.44	42709.23
156.5	42710.65
156.56	42712.06
156.62	42713.48
156.68	42714.9
156.74	42716.32
156.8	42717.73
156.86	42719.15
156.92	42720.57
156.98	42721.99
157.04	42723.41
157.1	42724.82
157.16	42726.24
157.22	42727.66
157.28	42729.08
157.34	42730.49
157.4	42731.91
157.46	42733.33
157.52	42734.75
157.58	42736.17
157.64	42737.58
157.7	42739
157.76	42740.42
157.82	42741.84
157.88	42743.25
157.94	42744.67
158	42746.09
158.06	42747.51
158.12	42748.93
158.18	42750.34
158.24	42751.76
158.3	42753.18
158.36	42754.6
158.42	42756.01
158.48	42757.43
158.54	42758.85
158.6	42760.27
158.66	42761.69
158.72	42763.1
158.84	42765.94
158.9	42767.36
158.96	42768.77
159.02	42770.19
159.08	42771.61
159.14	42773.03
159.2	42774.45
159.26	42775.86
159.32	42777.28
159.38	42778.7
159.44	42780.12
159.5	42781.53
159.56	42782.95
159.62	42784.37
159.68	42785.79
159.74	42787.21
159.8	42788.62
159.86	42790.04
159.92	42791.46
159.98	42792.88
160.04	42794.29
160.1	42795.71
160.16	42797.13
160.22	42798.55
160.28	42799.97
160.34	42801.38
160.4	42802.8
160.46	42804.22
160.52	42805.64
160.58	42807.05
160.64	43050.21
160.7	43051.49
160.76	43052.77
160.82	43054.05
160.88	43055.32
160.94	43056.6
161	43057.88
161.06	43059.16
161.12	43060.43
161.18	43061.71
161.24	43062.99
161.3	43064.27
161.36	43065.54
161.42	43066.82
161.48	43068.1
161.54	43069.38
161.6	43070.65
161.66	43071.93
161.72	43073.21
161.78	43074.49
161.84	43075.76
161.9	43077.04
161.96	43078.32
162.02	43079.6
162.08	43080.87
162.14	43082.15
162.2	43083.43
162.26	43084.71
162.32	43085.98
162.38	43087.26
162.44	43088.54
162.5	43089.82
162.56	43091.09
162.62	43092.37
162.68	43093.65
162.74	43094.93
162.8	43096.2
162.86	43097.48
162.92	43098.76
162.98	43100.04
163.04	43101.31
163.1	43102.59
163.16	43103.87
163.22	43105.15
163.28	43106.42
163.34	43107.7
163.4	43108.98
163.46	43110.26
163.52	43111.53
163.58	43112.81
163.64	43114.09
163.7	43115.37
163.76	43116.64
163.82	43117.92
163.88	43119.2
163.94	43120.48
164	43121.75
164.01	43121.97
164.07	43123.24
164.13	43124.52
164.19	43125.8
164.31	43128.35
164.37	43129.63
164.43	43130.91
164.49	43132.19
164.55	43133.46
164.61	43134.74
164.67	43136.02
164.73	43137.3
164.79	43138.57
164.85	43139.85
164.91	43141.13
164.97	43142.41
165.03	43143.68
165.09	43144.96
165.15	43146.24
165.21	43147.52
165.27	43148.79
165.33	43150.07
165.39	43151.35
165.45	43152.63
165.51	43153.9
165.57	43155.18
165.63	43156.46
165.69	43157.74
165.75	43159.01
165.81	43160.29
165.87	43161.57
165.93	43162.85
165.99	43164.12
166.05	43165.4
166.11	43166.68
166.15	43167.53
166.21	43168.81
166.27	43170.09
166.33	43171.36
166.39	43172.64
166.45	43173.92
166.51	43175.2
166.57	43176.47
166.63	43177.75
166.69	43179.03
166.75	43180.31
166.81	43181.58
166.87	43182.86
166.93	43184.14
166.99	43185.42
167.05	43186.69
167.11	43187.97
167.17	43189.25
167.23	43190.53
167.29	43191.8
167.35	43193.08
167.41	43194.36
167.47	43195.64
167.53	43196.91
167.59	43198.19
167.65	43199.47
167.71	43200.75
167.77	43202.02
167.95	43205.86
168.01	43207.13
168.07	43208.41
168.13	43209.69
168.19	43210.97
168.25	43212.24
168.31	43213.52
168.37	43214.8
168.43	43216.08
168.49	43217.35
168.55	43218.63
168.61	43219.91
168.67	43221.19
168.73	43222.46
168.79	43223.74
168.85	43225.02
168.91	43226.3
168.97	43227.57
169.04	43229.06
169.1	43230.34
169.15	43231.41
169.21	43232.68
169.27	43233.96
169.33	43235.24
169.39	43236.52
169.45	43237.79
169.51	43239.07
169.57	43240.35
169.63	43241.63
169.69	43242.9
169.75	43244.18
169.81	43245.46
169.87	43246.74
169.93	43248.01
169.99	43249.29
170.05	43250.57
170.11	43251.85
170.17	43253.12
170.23	43254.4
170.29	43255.68
170.41	43258.23
170.47	43259.51
170.53	43260.79
170.59	43262.07
170.65	43263.34
170.71	43264.62
170.77	43265.9
170.83	43267.18
170.89	43268.45
170.95	43269.73
171.01	43271.01
171.07	43272.29
171.13	43273.56
171.25	43276.12
171.31	43277.4
171.37	43278.67
171.43	43279.95
171.49	43281.23
171.55	43282.51
171.61	43283.78
171.67	43285.06
171.73	43286.34
171.79	43287.62
171.85	43288.89
171.91	43290.17
171.97	43291.45
172.03	43292.73
172.09	43294
172.15	43295.28
172.21	43296.56
172.27	43297.84
172.33	43299.11
172.39	43300.39
172.45	43301.67
172.51	43302.95
172.57	43304.22
172.6	43304.86
172.66	43306.14
172.72	43307.42
172.78	43308.69
172.84	43309.97
172.9	43311.25
172.96	43312.53
173.02	43313.8
173.08	43315.08
173.14	43316.36
173.2	43317.64
173.26	43318.91
173.32	43320.19
173.44	43322.75
173.5	43324.02
173.56	43325.3
173.62	43326.58
173.68	43327.86
173.74	43329.13
173.8	43330.41
173.86	43331.69
173.92	43332.97
173.98	43334.24
174.04	43335.52
174.1	43336.8
174.16	43338.08
174.22	43339.35
174.28	43340.63
174.34	43341.91
174.4	43343.19
174.46	43344.46
174.52	43345.74
174.58	43347.02
174.64	43348.3
