depth	d18O
1.033050672	3.097938144
1.036525336	3.350515464
1.04	3.412371134
1.043185109	3.360824742
1.046659772	3.391752577
1.050134436	3.484536082
1.0536091	3.489690722
1.057083764	3.190721649
1.060558428	3.536082474
1.064322647	3.484536082
1.070692865	3.541237113
1.074167528	3.422680412
1.077642192	3.536082474
1.081116856	3.443298969
1.08401241	3.469072165
1.087487073	3.24742268
1.091251293	3.603092784
1.094146846	3.5
1.09820062	3.551546392
1.101675284	3.798969072
1.105149948	3.597938144
1.108335057	3.592783505
1.111520165	3.62371134
1.125708376	3.458762887
1.132078594	3.273195876
1.135553257	3.268041237
1.139027921	3.293814433
1.14221303	3.474226804
1.145687694	3.24742268
1.149451913	3.340206186
1.152637022	3.113402062
1.156111686	3.31443299
1.162771458	3.24742268
1.166246122	3.128865979
1.169431231	3.195876289
1.176380558	3.097938144
1.17811789	3.056701031
1.179855222	2.958762887
1.18188211	3.005154639
1.183329886	3.082474227
1.186514995	2.835051546
1.188252327	3.020618557
1.189989659	3.139175258
1.192885212	2.840206186
1.193753878	3.030927835
1.194912099	2.891752577
1.19549121	3.067010309
1.198386763	2.912371134
1.199544984	2.809278351
1.200703206	2.963917526
1.202440538	2.902061856
1.203888314	2.726804124
1.205046536	2.737113402
1.206494312	2.829896907
1.207942089	2.87628866
1.209389866	2.551546392
1.210837642	2.773195876
1.211995863	2.742268041
1.21344364	2.840206186
1.214601861	2.670103093
1.216049638	2.711340206
1.21778697	2.75257732
1.219234747	2.783505155
1.220392968	2.757731959
1.221551189	2.731958763
1.222998966	2.75257732
1.224446743	2.690721649
1.225604964	2.644329897
1.22705274	2.726804124
1.228500517	2.773195876
1.229658738	2.716494845
1.23139607	2.742268041
1.232843847	2.608247423
1.233712513	2.613402062
1.236608066	2.716494845
1.239503619	2.618556701
1.242109617	2.56185567
1.245005171	2.675257732
1.247611169	2.675257732
1.250506722	2.644329897
1.25311272	2.618556701
1.256008273	2.68556701
1.258903826	2.62371134
1.261220269	2.716494845
1.264115822	2.592783505
1.267011375	2.597938144
1.272512927	2.603092784
1.27540848	2.664948454
1.278014478	2.690721649
1.280620476	2.582474227
1.283805584	2.603092784
1.28901758	2.768041237
1.291623578	2.567010309
1.294808687	2.680412371
1.297414685	2.613402062
1.300020683	2.628865979
1.30262668	2.783505155
1.305811789	2.592783505
1.308417787	2.690721649
