Depth	d18O
162.47	1.81
162.57	1.5
162.67	1.15
162.77	1.43
162.77	1.46
162.87	2.06
162.92	1.65
162.97	1.79
163.07	1.5
163.07	1.23
163.09	1.67
163.19	1.82
163.27	1.77
163.27	1.76
163.29	1.77
163.37	1.9
163.39	1.43
163.42	1.97
163.49	1.46
163.57	1.98
163.59	1.42
163.67	1.88
163.69	1.96
163.79	2.15
163.82	1.69
163.89	2.04
163.99	2.04
164.09	1.92
164.19	1.84
164.29	2.03
164.32	1.93
164.39	2.05
164.49	1.85
164.59	1.82
164.69	1.92
164.79	1.63
164.89	1.88
164.99	1.8
165.09	1.45
165.19	1.17
165.29	1.41
165.32	1.98
165.39	1.54
165.49	1.59
165.59	1.61
165.69	1.95
165.79	1.68
165.82	1.67
165.89	1.54
165.99	1.53
166.09	1.41
166.19	1.86
166.32	1.53
166.49	1.71
166.59	2.03
166.69	1.54
166.74	1.76
166.79	1.33
166.89	1.56
166.99	1.8
167.09	1.69
167.18	1.54
167.18	1.54
167.18	1.54
167.18	1.54
167.19	1.89
167.29	1.55
167.39	1.74
167.49	1.67
167.59	1.6
167.68	1.48
167.69	1.81
167.79	1.6
167.89	1.47
167.99	1.79
168.09	1.67
168.18	1.77
168.29	1.37
168.29	1.28
168.39	2.06
168.49	1.83
168.59	1.88
168.69	1.19
168.79	1.49
168.83	1.81
168.89	1.45
168.93	1.43
168.99	1.5
169.09	1.81
169.13	1.67
169.18	1.74
169.19	1.99
169.23	1.66
169.29	1.68
169.33	1.77
169.33	1.93
169.38	2.13
169.38	1.83
169.38	1.67
169.43	1.29
169.49	1.69
169.53	1.52
169.53	1.61
169.59	1.73
169.63	1.92
169.69	1.6
169.69	1.72
169.73	1.93
169.83	1.99
169.93	1.84
170.03	1.74
170.13	1.79
170.18	1.92
170.2	2.14
170.23	1.87
170.33	1.68
170.43	1.61
170.53	1.63
170.63	1.5
170.68	1.8
170.73	1.64
170.73	1.84
170.83	1.6
170.93	1.74
171.03	1.93
171.13	2.04
171.18	1.77
171.23	1.73
171.33	1.9
171.43	1.76
171.53	1.75
171.53	1.99
171.63	1.86
171.68	1.62
171.73	1.69
171.83	1.71
171.93	1.72
171.93	1.8
172.03	1.95
172.13	1.63
172.18	1.61
172.23	1.8
172.23	1.91
172.33	1.69
172.43	1.9
172.53	1.63
172.63	2
172.68	1.85
172.73	1.8
172.83	1.59
172.93	1.87
173.03	2.01
173.13	1.83
173.18	1.86
173.23	1.89
173.33	2.33
173.43	1.97
173.53	2.4
173.63	1.97
173.67	1.71
173.68	1.9
173.73	1.84
173.77	1.74
173.83	2.01
173.87	1.88
173.93	1.71
173.97	1.75
173.97	1.52
173.98	1.44
173.98	1.55
174.03	1.75
174.07	1.79
174.12	1.67
174.27	1.39
174.37	1.61
174.47	2.05
174.57	1.61
174.62	1.59
174.67	1.64
174.77	2.03
174.87	2.19
174.87	1.74
174.97	2.03
175.07	1.72
175.12	1.67
175.27	2.06
175.37	1.76
175.47	1.17
175.57	1.38
175.62	1.62
175.67	2.05
175.77	2.09
175.87	1.84
175.87	1.87
175.97	1.76
176.07	1.79
176.12	1.86
176.17	1.9
176.27	1.66
176.37	1.94
176.57	1.44
176.62	1.58
176.67	1.47
176.77	1.81
176.87	2.06
176.97	2.08
177.07	2.1
177.12	1.87
177.17	1.98
177.27	1.97
177.37	1.96
177.47	1.91
177.57	1.65
177.62	1.61
177.64	1.61
177.77	1.76
177.87	2.29
177.97	1.65
178.07	1.74
178.12	1.46
178.17	1.75
178.27	2.03
178.37	1.96
178.47	2.28
178.57	2.12
178.62	1.48
178.77	1.98
178.87	2.06
178.97	1.95
179.07	1.35
179.12	1.62
179.12	1.62
179.17	1.47
179.2	1.45
179.27	1.69
179.37	1.52
179.47	1.29
