Depth	d18O
219.32	1.42
219.37	1.3
219.42	1.21
219.47	1.24
219.52	1.21
219.52	1.21
219.57	1.43
219.62	1.3
219.67	1.55
219.72	1.27
219.77	1.14
219.82	1.22
219.87	1.4
219.92	1.28
219.97	1.56
219.98	1.5
220.02	1.35
220.023	1.35
220.07	1.43
220.12	1.39
220.17	1.5
220.22	1.42
220.27	1.57
220.32	1.6
220.37	1.51
220.42	1.6
220.47	1.35
220.52	1.22
220.523	1.22
220.57	1.32
220.62	1.57
220.67	1.59
220.72	1.31
220.77	1.65
220.82	1.46
220.87	1.53
220.92	1.46
220.97	1.38
221.02	1.35
221.023	1.35
221.07	1.5
221.12	1.11
221.17	1.28
221.22	1.18
221.27	1.25
221.32	1.19
221.37	1.43
221.42	1.54
221.47	1.5
221.52	1.19
221.523	1.19
221.57	1.42
221.62	1.38
221.67	1.54
221.72	1.34
221.77	1.44
221.82	1.42
221.87	1.64
221.95	1.89
222	1.74
222.01	1.59
222.05	1.59
222.16	1.47
222.22	1.36
222.27	1.73
222.32	1.38
222.37	1.63
222.42	1.62
222.47	1.57
222.52	1.73
222.58	1.56
222.64	1.72
222.64	1.72
222.69	1.57
222.74	1.31
222.79	1.21
222.84	1.42
222.91	1.26
222.97	1.84
223.02	1.44
223.07	1.6
223.12	1.59
223.121	1.59
223.17	1.61
223.22	1.43
223.27	1.57
223.32	1.63
223.38	1.88
223.42	1.7
223.47	1.73
223.52	1.65
223.57	1.6
223.62	1.7
223.621	1.7
223.67	1.64
223.72	1.62
223.77	1.89
223.82	1.46
223.87	1.63
223.92	1.72
223.97	1.67
223.98	1.82
224.02	1.8
224.07	1.76
224.12	1.63
224.121	1.63
224.17	1.67
224.22	1.48
224.27	1.46
224.32	1.63
224.37	1.6
224.42	1.71
224.47	1.71
224.52	1.52
224.57	1.64
224.62	1.61
224.67	1.65
224.671	1.65
224.72	1.52
224.77	1.45
224.82	1.69
224.88	1.57
224.93	1.65
224.96	1.74
224.98	1.9
225.03	1.52
225.08	1.56
225.13	1.63
225.131	1.63
225.18	1.62
225.23	1.61
225.28	1.69
225.33	1.65
225.38	1.7
225.43	1.72
225.48	1.76
225.53	1.66
225.63	1.44
225.68	1.43
225.73	1.54
225.78	1.55
225.83	1.72
225.88	1.71
225.881	1.5
225.93	1.68
225.98	1.85
226.03	1.61
226.05	1.53
226.1	1.74
226.1	1.74
226.15	1.77
226.151	1.52
226.2	1.54
226.21	1.5
226.25	1.31
226.26	1.7
226.3	1.37
226.31	1.65
226.35	1.78
226.36	1.74
226.41	1.61
226.46	1.59
226.461	1.58
226.51	1.87
226.56	1.74
226.61	1.72
226.66	1.73
226.71	1.74
226.76	1.72
226.81	1.74
226.86	1.46
226.91	1.43
226.96	1.64
226.961	1.64
227.01	1.61
227.06	1.48
227.11	1.48
227.16	1.66
227.21	1.61
227.26	1.56
227.31	1.59
227.36	1.65
227.41	1.53
227.46	1.59
227.461	1.59
227.51	1.3
227.56	1.53
227.61	1.72
227.66	1.69
227.7	1.63
227.75	1.63
227.8	1.55
227.85	1.74
227.9	1.58
227.95	1.69
227.951	1.69
228	1.66
228.05	1.58
228.1	1.68
228.15	1.6
228.2	1.83
228.25	1.87
228.3	1.85
228.35	1.57
228.4	1.7
228.45	1.79
228.451	1.79
228.5	1.78
228.55	1.54
228.6	1.55
228.65	1.78
228.7	1.5
228.75	1.69
228.8	1.79
228.85	1.65
228.9	1.34
228.95	1.54
228.951	1.54
229	1.37
229.1	1.74
229.2	1.89
229.2	1.89
229.25	1.88
229.3	1.91
229.35	1.8
229.4	1.58
229.45	1.69
229.451	1.69
229.5	1.77
229.55	1.6
229.6	1.96
229.65	1.74
229.7	1.67
229.7	1.67
229.75	1.77
229.8	1.76
229.85	1.73
229.9	1.7
229.95	1.64
229.951	1.64
230	1.73
230.05	1.89
230.15	1.83
230.2	1.73
230.21	1.73
230.25	1.66
230.35	1.54
230.4	1.54
230.45	1.65
230.451	1.65
230.5	1.79
230.55	1.86
230.6	1.57
230.65	1.63
230.66	1.59
230.661	1.54
230.7	1.59
230.7	1.59
230.71	1.42
230.76	1.69
230.8	1.64
230.81	1.58
230.85	1.65
230.86	1.89
230.91	1.87
230.911	1.87
230.96	1.86
231.01	1.87
231.06	1.71
231.11	1.71
231.16	1.78
231.161	1.78
231.21	1.68
231.26	1.59
231.3	1.62
231.31	1.64
231.41	1.66
231.411	1.66
231.46	1.68
231.51	1.74
231.56	1.64
231.61	1.68
231.66	1.56
231.661	1.56
231.71	1.45
231.74	1.4
231.79	1.44
231.84	1.57
231.89	1.41
231.891	1.41
231.94	1.63
231.99	1.56
232.04	1.49
232.09	1.51
232.14	1.84
232.19	1.66
232.24	1.78
232.29	1.6
232.34	1.68
232.39	1.55
232.391	1.55
232.44	1.58
232.49	1.44
232.54	1.51
232.59	1.69
232.64	1.64
232.641	1.64
232.69	1.53
232.74	1.52
232.79	1.4
232.84	1.43
232.89	1.48
232.891	1.48
232.94	1.51
232.99	1.55
233.04	1.65
233.09	1.57
233.14	1.64
233.19	1.81
233.24	1.68
233.29	1.54
233.34	1.68
233.39	1.55
233.44	1.77
233.49	1.6
233.491	1.6
233.54	1.76
233.59	1.83
233.64	1.75
233.69	1.73
233.691	1.88
233.74	1.54
233.741	1.54
233.79	1.69
233.84	1.57
233.89	1.54
233.94	1.79
233.99	1.74
233.991	1.74
234.04	1.79
234.09	1.63
234.14	1.75
234.19	1.58
234.24	1.73
234.241	1.73
234.29	1.75
234.34	1.84
234.39	1.77
234.44	1.86
234.49	1.94
234.491	1.94
234.54	1.83
234.59	1.89
234.64	1.76
234.69	1.69
234.691	1.69
234.74	1.62
234.79	1.87
234.84	1.89
234.89	1.77
234.94	1.86
234.941	1.86
234.96	1.77
234.99	1.78
235.04	1.62
235.09	1.65
235.14	1.67
235.19	1.84
235.191	1.84
235.24	1.85
235.29	1.81
235.39	1.69
235.44	1.66
235.441	1.66
235.49	1.89
235.54	1.81
235.56	1.87
235.59	1.82
235.61	1.93
235.611	1.93
235.64	1.88
235.66	1.77
235.69	1.71
235.691	1.71
235.71	1.8
235.74	1.61
235.76	1.78
235.81	1.9
235.86	1.83
235.861	1.83
235.91	1.76
235.96	1.52
236.01	1.65
236.06	1.87
236.11	1.66
236.111	1.67
236.16	1.76
236.21	1.93
236.26	1.76
236.31	1.72
236.36	1.7
236.361	1.7
236.38	1.8
236.41	1.64
236.46	1.55
236.51	1.67
236.56	1.6
236.61	1.85
236.611	1.85
236.66	1.89
236.71	1.75
236.76	1.72
236.81	1.74
236.86	1.78
236.861	1.74
236.91	1.77
236.96	2.01
237.01	1.81
237.06	2.04
237.11	1.83
237.111	2.04
237.16	1.76
237.21	2.05
237.26	1.96
237.31	1.9
237.36	1.88
237.361	1.9
237.41	1.71
237.46	1.82
237.51	1.85
237.56	1.98
237.61	1.95
237.611	1.98
237.66	2.04
237.71	1.91
237.76	1.92
237.81	2.14
237.86	2.02
237.91	1.85
237.96	2.09
238.01	1.9
238.06	1.87
238.11	1.74
238.111	1.87
238.16	1.83
238.21	2.06
238.26	2.01
238.31	1.83
238.36	1.88
238.361	1.88
238.41	1.91
238.46	1.86
238.51	1.95
238.61	1.73
238.66	1.89
238.71	1.77
238.76	1.94
238.81	2.03
238.86	1.88
238.861	1.88
238.91	2.05
238.96	2.03
239.01	1.81
239.06	1.89
239.11	1.95
239.111	1.95
239.16	2
239.21	1.98
239.26	1.86
239.31	1.83
239.36	1.8
239.41	1.94
239.51	1.97
239.56	1.8
239.61	1.9
239.611	1.9
239.66	1.79
239.76	1.48
239.81	1.46
239.86	1.63
239.861	1.63
239.91	1.56
239.96	1.41
240.01	1.39
240.06	1.44
240.11	1.45
240.111	1.45
240.16	1.36
240.21	1.39
240.26	1.18
240.31	1.2
240.36	1.04
240.361	1.18
240.362	1.19
240.363	1.19
240.41	1.31
240.46	1.34
240.51	1.26
240.56	1.1
240.61	1.22
240.66	1.15
240.661	1.15
240.71	1.23
240.76	1.21
240.81	0.98
240.86	1.13
240.91	1.01
240.911	1.01
240.96	1.11
241.01	1.37
241.06	1.19
241.061	1.19
241.062	1.23
241.11	1.28
241.112	1.11
241.16	1.17
241.162	1.49
241.163	1.49
241.213	1.48
241.214	1.22
241.262	1.31
241.263	1.21
241.31	1.2
241.311	1.2
241.36	1.44
241.37	1.44
241.371	1.22
241.41	1.1
241.46	1.07
241.51	1.3
241.56	1.25
241.561	1.25
241.62	1.21
241.63	1.2
241.66	1.38
241.71	1.25
241.76	1.02
241.82	1.38
241.821	1.38
241.86	1.2
241.91	1.11
241.911	1.11
241.96	1.22
242.01	1.13
242.06	1.04
242.12	0.8
242.21	0.9
243.32	0.3
243.56	0.76
243.91	0.14
244.05	0.93
244.09	0.89
244.41	0.76
244.46	0.84
244.56	0.85
245.06	0.69
245.26	0.78
245.41	0.91
245.55	0.85
245.86	0.74
246.43	0.86
246.51	1.04
246.63	0.91
246.93	0.98
247.21	0.94
247.67	1.04
247.671	0.86
247.91	0.94
247.911	0.83
248.17	0.88
248.24	0.93
248.41	0.83
248.66	0.91
249.15	0.97
250.24	0.95
251.241	0.69
251.74	0.91
251.741	0.79
252.24	0.87
252.241	0.94
252.9	0.96
253.24	0.97
254.74	0.95
255.24	0.98
256.16	1.01
256.39	1.12
257.16	0.93
258.161	1.19
258.66	0.89
259.16	0.94
259.67	0.92
