depth(m)	initial_age(kiloyear)
291.497	53875.36
291.507	53875.875
291.517	53876.39
291.526	53876.853
291.536	53877.368
291.546	53877.882
291.555	53878.346
291.568	53879.015
291.585	53879.89
291.602	53880.765
291.618	53881.588
291.635	53882.463
291.651	53883.287
291.668	53884.162
291.685	53885.037
291.701	53885.86
291.718	53886.735
291.734	53887.559
291.751	53888.434
291.768	53889.309
291.784	53890.132
291.801	53891.007
291.818	53891.882
291.834	53892.706
291.851	53893.581
291.867	53894.404
291.884	53895.279
291.901	53896.154
291.917	53896.978
291.934	53897.853
291.951	53898.728
291.967	53899.551
291.984	53900.426
292	53901.25
292.017	53902.125
292.034	53903
292.05	53903.824
292.067	53904.699
292.083	53905.522
292.1	53906.397
292.117	53907.272
292.133	53908.096
292.15	53908.971
292.167	53909.846
292.183	53910.669
292.2	53911.544
292.216	53912.368
292.233	53913.243
292.25	53914.118
292.266	53914.941
292.283	53915.816
292.299	53916.64
292.316	53917.515
292.333	53918.39
292.349	53919.213
292.366	53920.088
292.383	53920.963
292.399	53921.787
292.416	53922.662
292.432	53923.485
292.449	53924.36
292.466	53925.235
292.482	53926.059
292.499	53926.934
292.516	53927.809
292.532	53928.632
292.549	53929.507
292.565	53930.331
292.582	53931.206
292.599	53932.081
292.615	53932.904
292.632	53933.779
292.648	53934.603
292.665	53935.478
292.682	53936.353
292.695	53937.022
292.705	53937.537
292.715	53938.051
292.725	53938.566
292.735	53939.081
292.745	53939.596
292.755	53940.11
292.765	53940.625
292.775	53941.14
292.785	53941.654
292.795	53942.169
292.805	53942.684
292.815	53943.199
292.825	53943.713
292.835	53944.228
292.845	53944.743
292.855	53945.26
292.865	53945.78
292.875	53946.3
292.885	53946.819
292.895	53947.339
292.905	53947.859
292.915	53948.379
292.925	53948.899
292.935	53949.418
292.945	53949.938
292.955	53950.458
292.965	53950.978
292.975	53951.498
292.985	53952.017
292.995	53952.537
293.003	53952.953
293.009	53953.265
293.017	53953.681
293.025	53954.097
293.035	53954.616
293.045	53955.136
293.055	53955.656
293.065	53956.176
293.075	53956.696
293.085	53957.215
293.095	53957.735
293.105	53958.255
293.115	53958.775
293.125	53959.295
293.135	53959.814
293.145	53960.334
293.155	53960.854
293.165	53961.374
293.175	53961.894
293.185	53962.413
293.195	53962.933
293.205	53963.453
293.215	53963.973
293.225	53964.493
293.235	53965.012
293.245	53965.532
293.255	53966.052
293.265	53966.572
293.275	53967.092
293.285	53967.611
293.295	53968.131
293.305	53968.651
293.315	53969.171
293.325	53969.691
293.335	53970.21
293.345	53970.73
293.355	53971.25
293.365	53971.77
293.375	53972.29
293.385	53972.809
293.395	53973.329
293.405	53973.849
293.415	53974.369
293.425	53974.889
293.435	53975.408
293.445	53975.928
293.455	53976.448
293.465	53976.968
293.475	53977.488
293.485	53978.007
293.495	53978.527
293.505	53979.047
293.515	53979.567
293.525	53980.087
293.535	53980.606
293.545	53981.126
293.555	53981.646
293.565	53982.166
293.575	53982.686
293.585	53983.205
293.595	53983.725
293.605	53984.245
293.615	53984.765
293.625	53985.285
293.635	53985.804
