Time(kyr)	d18O(permille)	Stderror(permille)
20459.877	2.47	0.22
20462.829	2.5	0.22
20465.781	2.65	0.22
20468.733	2.8	0.22
20471.685	2.52	0.22
20474.637	2.27	0.22
20477.722	2.54	0.22
20481.337	2.56	0.22
20484.952	2.47	0.22
20488.567	2.11	0.22
20492.182	2.62	0.22
20495.796	2.44	0.22
20499.411	2.51	0.22
20503.026	2.48	0.22
20506.641	2.5	0.22
20510.256	2.39	0.22
20513.871	2.52	0.22
20517.486	2.42	0.22
20521.101	2.29	0.22
20524.716	2.39	0.22
20528.331	2.69	0.22
20531.945	2.52	0.22
20535.56	2.54	0.22
20539.175	2.38	0.22
20542.79	2.44	0.22
20546.405	2.34	0.22
20550.02	2.59	0.22
20553.635	2.57	0.22
20557.25	2.59	0.22
20560.431	2.73	0.22
20564.48	2.65	0.22
20568.094	2.84	0.22
20571.709	2.64	0.22
20575.324	2.68	0.22
20578.939	2.47	0.22
20582.554	2.74	0.22
20587	2.75	0.22
20592	2.6	0.22
20597	2.53	0.22
20602	2.59	0.22
20607	2.59	0.22
20612	2.51	0.22
20617	2.73	0.22
20622	2.57	0.22
20626.999	2.48	0.22
20631.999	2.6	0.22
20636.999	2.59	0.22
20641.999	2.67	0.22
20646.999	2.6	0.22
20651.999	2.51	0.22
20656.999	2.88	0.22
20661.999	2.53	0.22
20666.999	2.52	0.22
20672.61	2.52	0.22
20678.374	2.69	0.22
20684.138	2.5	0.22
20689.902	2.59	0.22
20695.666	2.39	0.22
20701.43	2.46	0.22
20707.193	2.51	0.22
20712.957	2.39	0.22
20718.721	2.34	0.22
20724.485	2.7	0.22
20730.249	2.57	0.22
20736.013	2.48	0.22
20741.777	2.72	0.22
20747.541	2.52	0.22
20752.28	2.72	0.22
20755.481	2.64	0.22
20758.682	2.52	0.22
20761.883	2.63	0.22
20765.085	2.5	0.22
20768.286	2.45	0.22
20771.487	2.46	0.22
20774.688	2.35	0.22
20777.89	2.38	0.22
20781.091	2.41	0.22
20784.292	2.26	0.22
20787.494	2.08	0.22
20790.695	2.13	0.22
20793.896	2.49	0.22
20797.097	2.14	0.22
20800.299	2.07	0.22
20803.5	2.32	0.22
20806.701	2.41	0.22
20809.903	2.1	0.22
20813.104	2.15	0.22
20816.305	2.32	0.22
20819.506	2.33	0.22
20822.324	2.44	0.22
20825.909	2.33	0.22
20829.11	2.43	0.22
20832.312	2.62	0.22
20835.513	2.43	0.22
20838.714	2.16	0.22
20841.915	2.32	0.22
20845.117	2.36	0.22
20848.318	2.41	0.22
20851.519	2.29	0.22
20854.72	2.43	0.22
20858.161	2.35	0.22
20861.761	2.3	0.22
20865.361	2.31	0.22
20868.961	2.23	0.22
20872.561	2.06	0.22
20876.161	2.24	0.22
20879.761	2.31	0.22
20883.361	2.35	0.22
20886.961	2.15	0.22
20890.561	2.37	0.22
20894.161	2.32	0.22
20897.761	2.27	0.22
20901.361	2.44	0.22
20904.961	2.43	0.22
20908.561	2.07	0.22
20912.161	2.5	0.22
20915.761	2.36	0.22
20919.361	2.15	0.22
20922.961	2.18	0.22
20926.561	2.42	0.22
20930.161	2.37	0.22
20933.761	2.36	0.22
20937.361	2.39	0.22
20940.961	2.36	0.22
20944.561	2.44	0.22
20948.161	2.52	0.22
20951.761	2.14	0.22
20955.361	2.42	0.22
20958.961	2.5683	0.22
20962.561	2.5303	0.22
20965.517	2.3423	0.22
20968.044	2.5903	0.22
20970.572	2.3933	0.22
20973.099	2.5483	0.22
20975.626	2.3743	0.22
20978.153	2.5973	0.22
20980.68	2.6023	0.22
20983.207	2.7247	0.22
20985.734	2.7423	0.22
20987.958	2.7703	0.22
20990.788	2.7157	0.22
20993.316	2.7423	0.22
20995.843	2.7053	0.22
20998.37	2.7207	0.22
21000.897	2.5377	0.22
21003.424	2.4627	0.22
21005.951	2.582	0.22
21008.478	2.4027	0.22
21011.005	2.5317	0.22
21013.533	2.5117	0.22
21016.06	2.6107	0.22
21018.587	2.5017	0.22
21021.114	2.6283	0.22
21023.641	2.5997	0.22
21026.168	2.6477	0.22
21028.695	2.5327	0.22
21031.222	2.5837	0.22
21033.75	2.6277	0.22
21036.277	2.718	0.22
21038.804	2.6867	0.22
21041.331	2.6187	0.22
21043.858	2.4947	0.22
21046.385	2.584	0.22
21048.912	2.56	0.22
21051.439	2.403	0.22
21053.966	2.356	0.22
21056.494	2.7487	0.22
21060.332	2.7067	0.22
21064.499	2.521	0.22
21068.666	2.6807	0.22
21072.833	2.7897	0.22
21076.999	2.3837	0.22
21081.166	2.5357	0.22
21085.333	2.5307	0.22
21089.5	2.4937	0.22
21093.666	2.5107	0.22
21097.833	2.5147	0.22
21102	2.5757	0.22
21106.167	2.5138	0.22
21109.326	2.3968	0.22
21112.234	2.4548	0.22
21115.141	2.3078	0.22
21118.049	2.3758	0.22
21120.957	2.6395	0.22
21123.864	2.4118	0.22
21126.772	2.2658	0.22
21129.68	2.1048	0.22
21132.587	1.9348	0.22
21135.495	2.0889	0.22
21138.402	2.1268	0.22
21141.31	2.1798	0.22
21144.218	2.4595	0.22
21147.125	2.6111	0.22
21150.033	2.5827	0.22
21152.941	2.3111	0.22
21155.848	2.8031	0.22
21158.756	2.7011	0.22
21161.664	2.672	0.22
21167.13	2.3967	0.22
21170.386	2.5153	0.22
21173.294	2.5869	0.22
21176.202	2.6439	0.22
21179.109	2.3808	0.22
21182.017	2.5981	0.22
21184.925	2.6394	0.22
21187.832	2.7741	0.22
21190.74	2.8046	0.22
21193.648	2.6811	0.22
21196.555	2.9502	0.22
21199.463	2.8013	0.22
21202.37	2.6705	0.22
21205.278	2.5673	0.22
21208.186	2.5466	0.22
21211.093	2.8737	0.22
21214.001	2.6091	0.22
21217.751	2.6951	0.22
21221.501	2.8362	0.22
21225.251	2.7051	0.22
21229.001	2.7239	0.22
21232.751	2.6627	0.22
21236.501	2.4203	0.22
21240.251	2.5297	0.22
21244.001	2.5861	0.22
21247.751	2.6378	0.22
21251.501	2.5716	0.22
21255.251	2.2482	0.22
21259.001	2.3377	0.22
21262.751	2.5301	0.22
21266.501	2.1892	0.22
21270.251	2.1544	0.22
21274.001	2.3697	0.22
21277.751	2.1839	0.22
21281.501	2.2093	0.22
21285.251	2.2941	0.22
21292.751	1.9878	0.22
21296.501	1.937	0.22
21300.251	2.0144	0.22
21304.001	2.2008	0.22
21307.751	2.3749	0.22
21311.501	2.187	0.22
21315.251	1.9118	0.22
21319.001	2.4291	0.22
21322.751	2.4198	0.22
21329.126	2.5216	0.22
21332.072	2.5391	0.22
21337.965	2.4211	0.22
21340.912	2.4524	0.22
21343.858	2.3368	0.22
21349.751	2.3703	0.22
21352.697	2.6293	0.22
21355.644	2.4451	0.22
21358.59	2.4774	0.22
21361.536	2.222	0.22
21364.483	2.4141	0.22
21367.076	2.4321	0.22
21370.376	2.4319	0.22
21373.322	2.5601	0.22
21376.268	2.4171	0.22
21379.215	2.4711	0.22
21382.161	2.4825	0.22
21385.108	2.8141	0.22
21388.054	2.4893	0.22
21393.947	2.3876	0.22
21399.84	2.426	0.22
21402.786	2.6625	0.22
21408.679	2.8444	0.22
21411.625	2.7048	0.22
21414.572	2.7483	0.22
21417.518	2.7339	0.22
21420.464	2.6243	0.22
21423.411	2.6169	0.22
21426.3	2.8287	0.22
21429.175	2.7161	0.22
21432.05	2.5866	0.22
21437.8	2.4576	0.22
21440.675	2.5631	0.22
21446.425	2.6445	0.22
21449.3	2.6281	0.22
21452.175	2.5962	0.22
21455.05	2.7072	0.22
21457.925	2.5431	0.22
21460.8	2.557	0.22
21463.675	2.5929	0.22
21466.55	2.505	0.22
21469.425	2.4543	0.22
21472.3	2.6094	0.22
21475.175	2.4077	0.22
21478.05	2.4907	0.22
21480.925	2.4239	0.22
21483.8	2.5996	0.22
21486.675	2.6037	0.22
21489.55	2.6065	0.22
21492.425	2.5687	0.22
21494.918	2.7044	0.22
21499.714	2.5659	0.22
21504.509	2.3061	0.22
21506.907	2.5979	0.22
21509.305	2.4433	0.22
21511.702	2.2625	0.22
21514.1	2.2908	0.22
21516.498	2.2848	0.22
21518.895	2.313	0.22
21521.293	2.3258	0.22
21523.691	2.3459	0.22
21526.089	2.2851	0.22
21528.486	2.2459	0.22
21530.884	2.2871	0.22
21532.994	2.3105	0.22
21535.68	2.297	0.22
21538.077	2.449	0.22
21540.475	2.286	0.22
21542.873	2.1929	0.22
21545.27	2.6839	0.22
21547.668	2.129	0.22
21550.066	2.4949	0.22
21552.464	2.6619	0.22
21554.861	2.3496	0.22
21557.259	2.4229	0.22
21559.657	2.4729	0.22
21562.055	2.5584	0.22
21564.452	2.3435	0.22
21566.85	2.3507	0.22
21569.248	2.2987	0.22
21571.645	2.6319	0.22
21574.043	2.3179	0.22
21576.441	2.5048	0.22
21578.839	2.4169	0.22
21581.236	2.4365	0.22
21583.634	2.4279	0.22
21586.032	2.5713	0.22
21588.43	2.5949	0.22
21590.827	2.505	0.22
21593.225	2.354	0.22
21595.623	2.4639	0.22
21598.02	2.5199	0.22
21600.418	2.4989	0.22
21602.816	2.6425	0.22
21605.214	2.6479	0.22
21607.611	2.6479	0.22
21610.009	2.2941	0.22
21612.407	2.0239	0.22
21614.805	2.3879	0.22
21617.202	2.3274	0.22
21618.161	2.19	0.22
21620.559	2.21	0.22
21622.957	2.29	0.22
21625.355	2.42	0.22
21627.752	2.41	0.22
21630.15	2.22	0.22
21632.548	2.4	0.22
21634.945	2.36	0.22
21637.343	2.03	0.22
21639.741	2.35	0.22
21642.139	2.11	0.22
21644.536	2.15	0.22
21646.934	2.15	0.22
21649.332	2.15	0.22
21651.73	2.24	0.22
21654.127	2.29	0.22
21656.525	2.31	0.22
21661.32	2.32	0.22
21663.718	2.02	0.22
21666.116	2.18	0.22
21668.514	2.3	0.22
21670.911	2.09	0.22
21673.309	2.15	0.22
21675.707	2.05	0.22
21678.105	2.01	0.22
21680.502	1.96	0.22
21682.708	2.15	0.22
21685.298	1.99	0.22
21687.695	2.14	0.22
21690.093	2.15	0.22
21692.491	1.98	0.22
21694.889	2.37	0.22
21697.286	2.35	0.22
21699.684	2.27	0.22
21702.082	2.44	0.22
21704.713	2.19	0.22
21708.28	2.15	0.22
21711.847	2.01	0.22
21715.413	2.15	0.22
21718.98	1.97	0.22
21722.547	2.06	0.22
21726.114	2.5	0.22
21729.68	2	0.22
21733.247	2.01	0.22
21736.814	2.33	0.22
21740.38	2.18	0.22
21743.947	2.02	0.22
21747.514	2.1	0.22
21751.08	2.12	0.22
21754.647	2	0.22
21758.214	2.07	0.22
21761.781	2.35	0.22
21765.347	2.19	0.22
21768.914	2.18	0.22
21779.614	2.26	0.22
21783.181	2.34	0.22
21786.747	2.21	0.22
21790.314	2.28	0.22
21793.881	2.18	0.22
21797.448	2.38	0.22
21801.014	2.63	0.22
21804.581	2.35	0.22
21808.148	2.53	0.22
21811.644	2.27	0.22
21814.858	2.27	0.22
21818.072	2.33	0.22
21821.287	2.24	0.22
21824.501	2.1	0.22
21827.715	2.12	0.22
21830.929	2.29	0.22
21834.144	2.17	0.22
21840.572	2.3	0.22
21843.786	2.23	0.22
21847.001	2.3	0.22
21850.215	2.21	0.22
21853.429	2.37	0.22
21856.643	2.21	0.22
21859.858	2.11	0.22
21863.072	2.44	0.22
21866.286	2.31	0.22
21869.5	2.43	0.22
21872.715	2.25	0.22
21875.929	2.1	0.22
21878.886	2.22	0.22
21882.357	2.36	0.22
21885.572	2.33	0.22
21888.786	2.5	0.22
21892	2.57	0.22
21894.794	2.51	0.22
21897.588	2.55	0.22
21900.382	2.49	0.22
21903.176	2.5	0.22
21905.971	2.39	0.22
21908.765	2.73	0.22
21911.559	2.41	0.22
21914.353	2.66	0.22
21917.147	2.51	0.22
21919.941	2.59	0.22
21922.735	2.46	0.22
21925.529	2.47	0.22
21928.324	2.49	0.22
21931.118	2.43	0.22
21933.912	2.57	0.22
21936.706	2.49	0.22
21939.5	2.4	0.22
21942.294	2.31	0.22
21945.088	2.47	0.22
21947.882	2.55	0.22
21950.676	2.3	0.22
21953.471	2.43	0.22
21956.265	2.38	0.22
21959.059	2.7	0.22
21961.853	2.76	0.22
21964.647	2.71	0.22
21967.441	2.64	0.22
21969.982	2.64	0.22
21972.458	2.72	0.22
21974.935	2.72	0.22
21977.412	2.56	0.22
21979.889	2.54	0.22
21982.366	2.53	0.22
21984.843	2.44	0.22
21987.32	2.32	0.22
21989.797	2.49	0.22
21992.273	2.43	0.22
21994.75	2.41	0.22
21997.227	2.5	0.22
21999.704	2.35	0.22
22002.181	2.41	0.22
22004.658	2.48	0.22
22007.135	2.37	0.22
22009.612	2.43	0.22
22012.088	2.44	0.22
22014.565	2.58	0.22
22017.042	2.54	0.22
22019.519	2.22	0.22
22021.996	2.35	0.22
22024.473	2.2	0.22
22026.95	2.31	0.22
22029.427	2.24	0.22
22031.903	2.37	0.22
22034.38	2.36	0.22
22036.857	2.17	0.22
22039.136	2.52	0.22
22041.811	2.47	0.22
22044.288	2.65	0.22
22046.765	2.23	0.22
22049.242	2.52	0.22
22051.718	2.6	0.22
22054.195	2.5	0.22
22056.672	2.47	0.22
22059.149	2.44	0.22
22061.626	2.46	0.22
22064.103	2.38	0.22
22066.58	2.46	0.22
22069.057	2.44	0.22
22071.533	2.34	0.22
22074.01	2.51	0.22
22076.385	2.49	0.22
22078.691	2.46	0.22
22080.997	2.42	0.22
22083.303	2.51	0.22
22087.915	2.57	0.22
22090.221	2.36	0.22
22092.527	2.41	0.22
22094.833	2.29	0.22
22097.139	2.41	0.22
22099.445	2.49	0.22
22101.751	2.27	0.22
22104.056	2.29	0.22
22106.362	2.17	0.22
22108.668	2.47	0.22
22110.974	2.41	0.22
22113.28	2.14	0.22
22115.586	2.42	0.22
22117.892	2.16	0.22
22120.198	2.14	0.22
22122.504	2	0.22
22124.81	2.05	0.22
22127.116	2.02	0.22
22129.422	1.99	0.22
22131.728	2.07	0.22
22134.034	2.22	0.22
22136.34	2.1	0.22
22138.646	2.33	0.22
22140.952	2.28	0.22
22143.258	2.47	0.22
22145.564	2.01	0.22
22147.87	2.25	0.22
22150.176	2.76	0.22
22152.482	2.74	0.22
22154.788	2.67	0.22
22157.094	2.88	0.22
22159.4	2.94	0.22
22161.706	2.72	0.22
22164.012	2.54	0.22
22166.318	2.57	0.22
22168.624	2.45	0.22
22170.93	2.52	0.22
22182.411	2.37	0.22
22184.47	2.43	0.22
22186.529	2.48	0.22
22188.587	2.43	0.22
22190.646	2.5	0.22
22192.705	2.31	0.22
22194.764	2.58	0.22
22196.823	2.56	0.22
22198.882	2.34	0.22
22200.941	2.44	0.22
22203	2.46	0.22
22205.058	2.44	0.22
22208.353	2.5278	0.22
22210.411	2.4879	0.22
22212.47	2.5292	0.22
22214.529	2.4689	0.22
22216.588	2.3599	0.22
22218.647	2.4116	0.22
22220.706	2.5412	0.22
22222.765	2.4689	0.22
22224.824	2.5909	0.22
22226.882	2.6128	0.22
22231	2.7697	0.22
22233.059	2.7389	0.22
22235.118	2.6326	0.22
22237.177	2.7731	0.22
22239.236	2.6509	0.22
22241.295	2.6676	0.22
22243.353	2.6775	0.22
22245.412	2.7998	0.22
22247.471	2.6916	0.22
22249.53	2.6081	0.22
22251.589	2.8009	0.22
22253.648	2.7215	0.22
22255.707	2.6084	0.22
22257.766	2.5465	0.22
22259.824	2.5153	0.22
22261.883	2.6288	0.22
22263.942	2.7241	0.22
22266.001	2.5612	0.22
22267.865	2.6223	0.22
22269.728	2.7589	0.22
22271.592	2.7762	0.22
22273.306	2.7392	0.22
22275.319	2.6486	0.22
22277.183	2.6689	0.22
22279.046	2.8259	0.22
22280.91	2.6292	0.22
22282.774	2.587	0.22
22284.637	2.4696	0.22
22286.501	2.6609	0.22
22288.364	2.6913	0.22
22290.228	2.6369	0.22
22292.092	2.5094	0.22
22293.955	2.5737	0.22
22295.819	2.4909	0.22
22297.682	2.5333	0.22
22299.546	2.6383	0.22
22301.41	2.6498	0.22
22303.273	2.702	0.22
22305.137	2.519	0.22
22307.001	2.5428	0.22
22308.864	2.3196	0.22
22310.728	2.7193	0.22
22312.591	2.6248	0.22
22314.455	2.8687	0.22
22316.319	2.5495	0.22
22318.182	2.6179	0.22
22320.046	2.8179	0.22
22321.909	2.6695	0.22
22323.773	2.5798	0.22
22325.637	2.5781	0.22
22327.5	2.4073	0.22
22331.227	2.4255	0.22
22334.955	2.6894	0.22
22336.818	2.4972	0.22
22338.682	2.6501	0.22
22340.546	2.5538	0.22
22344.273	2.4884	0.22
22346.136	2.5814	0.22
22348	2.9634	0.22
22350.62	2.7551	0.22
22353.24	2.6235	0.22
22355.861	2.6834	0.22
22358.481	2.8022	0.22
22361.101	2.5036	0.22
22363.721	2.4923	0.22
22366.342	2.5354	0.22
22368.962	2.3413	0.22
22371.582	2.5704	0.22
22374.202	2.2092	0.22
22379.443	2.3073	0.22
22382.063	2.4943	0.22
22384.683	2.4886	0.22
22387.303	2.406	0.22
22389.923	2.4821	0.22
22392.544	2.2741	0.22
22395.164	2.4447	0.22
22397.784	2.5828	0.22
22400.195	2.3516	0.22
22403.025	2.2636	0.22
22405.645	2.4172	0.22
22408.265	2.3836	0.22
22410.885	2.5874	0.22
22413.505	2.1188	0.22
22416.126	2.5889	0.22
22418.746	2.4141	0.22
22421.366	2.3868	0.22
22423.986	2.5497	0.22
22426.606	2.7361	0.22
22429.227	2.6813	0.22
22431.847	2.7809	0.22
22434.467	2.7269	0.22
22437.087	2.727	0.22
22439.708	2.6054	0.22
22442.328	2.5251	0.22
22444.948	2.7547	0.22
22447.568	2.6828	0.22
22450.188	2.6057	0.22
22452.809	2.6598	0.22
22455.429	2.5572	0.22
22458.029	2.7649	0.22
22460.598	2.6632	0.22
22463.168	2.6548	0.22
22465.737	2.8715	0.22
22468.307	2.674	0.22
22470.876	2.7907	0.22
22473.445	2.7587	0.22
22476.015	2.5519	0.22
