Depth	d18O
56.13	-1.819
56.23	-1.665
56.33	-1.66
56.43	-1.875
56.53	-1.868
56.68	-1.431
56.78	-1.51
56.88	-1.457
56.98	-1.442
57.08	-1.472
57.18	-1.891
57.28	-1.879
57.38	-1.697
57.48	-1.762
57.58	-1.748
57.68	-1.708
57.78	-1.909
57.88	-2.132
57.98	-1.971
58.08	-1.719
58.18	-1.603
58.28	-1.811
58.38	-1.629
58.48	-1.996
58.58	-1.595
58.68	-1.611
58.79	-1.348
58.88	-2.095
58.98	-1.769
59.08	-1.434
59.18	-1.518
59.28	-1.492
59.38	-1.621
59.48	-1.675
59.58	-1.48
59.68	-1.377
59.79	-1.556
59.88	-1.383
59.98	-1.501
60.08	-1.896
60.18	-2.066
60.28	-1.808
60.38	-1.662
60.48	-1.717
60.58	-1.838
60.68	-1.974
60.78	-2.023
60.88	-1.624
60.98	-1.945
61.08	-1.865
61.18	-1.784
61.28	-1.303
61.38	-1.612
61.48	-1.511
61.58	-1.775
61.68	-1.778
61.78	-1.615
61.95	-1.877
62.05	-1.874
62.15	-1.695
62.25	-1.687
62.32	-2.01
62.42	-2.108
62.53	-2.159
62.62	-1.964
62.72	-2.066
62.82	-1.977
62.92	-2.233
63.02	-2.471
63.12	-2.018
63.22	-1.704
63.32	-2.002
63.42	-2.034
63.53	-2.043
63.62	-2.159
63.72	-1.757
63.82	-1.828
63.92	-1.764
64.02	-1.745
64.12	-1.69
64.22	-1.823
64.33	-2.16
64.42	-1.83
64.53	-1.764
64.62	-1.617
64.74	-1.586
64.83	-1.556
64.92	-1.665
65.02	-1.88
65.12	-1.873
65.19	-1.84
65.32	-1.876
65.42	-1.777
65.51	-1.955
65.61	-2.037
65.71	-2.225
65.81	-2.061
65.91	-1.705
66.01	-1.548
66.11	-1.425
66.21	-1.638
66.31	-1.558
66.41	-1.372
66.49	-1.808
66.61	-1.694
66.71	-1.835
66.81	-1.912
66.91	-1.808
67.01	-2.098
67.11	-2.18
67.21	-2.473
67.31	-1.976
67.41	-1.887
67.51	-1.772
67.61	-1.714
67.71	-1.692
67.81	-1.788
67.91	-1.744
68.01	-1.581
68.11	-2.045
68.21	-1.933
68.36	-1.735
68.46	-1.329
68.56	-1.534
68.66	-1.429
68.76	-0.979
68.86	-1.444
68.96	-1.282
69.06	-1.087
69.16	-1.103
69.26	-1.033
69.36	-1.476
69.46	-1.597
69.56	-1.499
69.66	-1.218
69.76	-1.021
69.86	-1.273
69.96	-1.459
70.06	-1.334
70.16	-1.428
70.26	-1.332
70.36	-1.293
70.46	-1.382
70.56	-1.366
70.66	-0.919
70.76	-1.267
70.86	-1.057
70.96	-1.014
71.06	-1.24
71.16	-1.035
71.26	-0.973
71.36	-1.226
71.46	-1.138
71.56	-1.692
71.66	-1.788
71.76	-1.781
71.86	-1.926
71.96	-1.423
72.06	-1.666
72.16	-1.634
72.26	-1.788
72.36	-1.886
72.46	-1.806
72.56	-1.698
72.66	-1.559
72.76	-1.535
72.86	-1.345
72.96	-1.619
73.06	-1.507
73.16	-1.595
73.26	-1.746
73.36	-1.668
73.46	-1.844
73.56	-1.851
73.66	-2.158
73.76	-1.791
73.86	-1.533
73.96	-1.675
74.06	-1.603
74.17	-1.27
74.26	-1.362
74.36	-1.907
74.46	-2.035
74.56	-1.852
74.66	-1.681
74.76	-1.53
74.86	-1.555
74.96	-1.46
75.06	-1.815
75.16	-1.482
75.26	-1.775
75.36	-1.727
75.46	-1.21
75.56	-1.91
75.66	-1.915
75.76	-1.887
75.86	-1.824
75.96	-1.754
76.06	-1.53
76.1	-1.619
76.2	-1.728
76.3	-2.028
76.4	-1.992
76.5	-1.886
76.6	-1.858
76.8	-1.841
76.9	-1.855
77	-1.732
77.1	-1.566
77.2	-1.384
77.3	-1.557
77.4	-1.476
77.5	-1.685
77.6	-1.46
77.7	-1.313
77.8	-1.388
77.9	-1.907
78	-2.031
78.1	-1.926
78.2	-2.267
78.3	-2.165
78.4	-2.129
78.5	-1.846
78.6	-1.751
78.7	-1.897
78.8	-1.941
78.9	-1.754
79	-1.82
79.1	-1.829
79.2	-1.674
79.3	-1.691
79.4	-1.85
79.5	-1.706
79.6	-1.662
79.7	-1.66
79.8	-1.632
79.9	-1.479
80	-1.696
80.1	-1.725
80.2	-1.811
80.3	-1.392
80.4	-1.547
80.5	-1.349
80.6	-1.375
80.7	-1.523
80.8	-1.771
80.9	-2.029
81	-1.883
81.09	-1.908
81.2	-1.817
81.3	-2.094
81.4	-1.805
81.5	-1.979
81.6	-1.891
81.7	-1.726
81.9	-1.935
82	-2.08
82.1	-2.089
82.2	-1.854
82.3	-1.79
82.4	-1.768
82.5	-1.916
82.6	-1.97
82.7	-2.068
82.8	-2.007
82.9	-1.813
83	-2.058
83.1	-2.047
83.2	-2.399
83.3	-1.993
83.4	-1.96
83.5	-1.872
83.6	-1.809
83.7	-1.939
83.8	-1.899
83.9	-1.935
84	-1.806
84.1	-1.804
84.2	-1.551
84.3	-1.516
84.4	-1.68
84.5	-1.369
84.6	-1.341
84.7	-1.082
84.8	-1.105
84.9	-1.251
85	-1.419
85.2	-1.289
85.3	-1.228
85.4	-1.412
85.5	-1.196
85.6	-1.382
85.7	-1.183
85.8	-1.121
85.9	-1.707
86	-1.509
86.1	-1.612
86.2	-1.539
86.3	-1.369
86.4	-1.496
86.5	-1.853
86.6	-1.791
86.7	-1.522
86.8	-1.429
86.9	-1.983
87	-1.957
87.1	-1.779
87.2	-1.867
87.3	-1.942
87.4	-1.687
87.5	-1.76
87.6	-1.808
87.7	-1.977
87.8	-1.845
87.9	-1.786
88	-1.164
88.1	-2.017
88.2	-1.874
88.3	-1.549
88.4	-1.839
88.5	-1.778
88.6	-1.716
88.7	-1.756
88.8	-1.529
88.9	-1.92
89	-1.824
89.1	-1.741
89.13	-1.724
89.23	-1.463
89.33	-1.676
89.43	-1.843
89.53	-2.364
89.63	-1.968
89.73	-1.963
89.83	-1.795
89.93	-2.17
90.03	-2.056
90.13	-2.202
90.23	-2.436
90.33	-2.07
90.43	-2.095
90.53	-2.069
90.63	-2.517
90.73	-2.179
90.83	-2.405
90.93	-2.177
91.03	-2.178
91.13	-2.124
91.23	-1.996
91.33	-1.906
91.43	-2.003
91.53	-2.049
91.63	-2.036
91.73	-1.815
91.83	-2.081
91.93	-2.399
92.03	-2.241
92.13	-2.155
92.23	-2.501
92.33	-2.296
92.43	-2.301
92.53	-2.247
92.63	-2.084
92.73	-2.086
92.83	-1.884
92.93	-1.831
93.03	-1.874
93.13	-1.731
93.23	-1.66
93.33	-1.856
93.43	-1.976
93.53	-1.874
93.63	-1.83
93.73	-1.868
93.83	-1.748
93.93	-1.7
94.03	-1.848
94.13	-1.955
94.23	-1.984
94.33	-2.145
94.43	-2.273
94.53	-1.971
94.63	-2.088
94.73	-2.094
94.83	-1.927
94.93	-1.873
95.03	-1.954
95.13	-2.051
95.23	-2.097
95.33	-2.005
95.43	-2.046
95.53	-1.97
95.63	-1.725
95.73	-1.716
95.83	-1.964
95.93	-1.822
96.03	-1.744
96.13	-1.954
96.23	-1.74
96.33	-1.724
96.43	-1.901
96.53	-1.625
96.63	-1.892
96.73	-1.818
96.83	-1.79
96.93	-1.763
97.03	-1.757
97.13	-1.663
97.23	-1.911
97.33	-2.31
97.43	-2.375
97.53	-1.614
97.63	-2.233
97.73	-2.16
97.83	-1.909
97.93	-1.905
98.01	-1.742
98.03	-2.055
98.06	-1.775
98.11	-1.749
98.13	-2.024
98.16	-1.859
98.21	-1.817
98.23	-1.996
98.26	-1.715
98.31	-1.59
98.33	-1.918
98.36	-1.699
98.41	-1.717
98.43	-2.013
98.46	-1.74
98.51	-1.734
98.53	-1.884
98.56	-1.612
98.6	-1.495
98.63	-1.876
98.66	-1.801
98.71	-1.686
98.73	-1.89
98.76	-1.583
98.81	-1.636
98.83	-1.876
98.86	-1.873
98.91	-1.56
98.93	-1.899
98.96	-1.525
99.01	-1.645
99.03	-1.874
99.06	-1.697
99.11	-1.681
99.12	-2.29
99.13	-2.075
99.17	-2.215
99.22	-2.287
99.23	-2.195
99.27	-2.413
99.32	-2.099
99.33	-1.782
99.35	-2.036
99.37	-2.012
99.42	-2.018
99.45	-2.008
99.47	-1.84
99.52	-1.478
99.55	-1.641
99.57	-1.571
99.61	-1.701
99.65	-1.716
99.67	-1.54
99.72	-1.778
99.75	-2.029
99.77	-1.955
99.82	-1.928
99.85	-2.173
99.87	-2.003
99.92	-1.793
99.95	-1.85
99.97	-1.73
100.02	-1.565
100.05	-1.825
100.15	-1.965
100.25	-1.774
100.35	-1.633
100.45	-1.637
100.55	-1.588
100.65	-1.997
100.75	-1.769
100.85	-1.648
100.95	-1.571
101.05	-1.829
101.15	-1.836
101.25	-1.955
101.35	-1.881
101.45	-1.575
101.55	-1.623
101.65	-1.316
101.75	-1.594
101.85	-1.708
101.95	-1.572
102.05	-1.517
102.15	-1.677
102.25	-1.45
102.35	-1.249
102.45	-1.88
102.65	-1.957
102.75	-1.684
102.85	-1.915
102.95	-1.565
103.05	-1.703
103.15	-1.414
103.25	-1.719
103.35	-1.76
103.42	-2.211
103.52	-1.829
103.62	-1.719
103.72	-1.561
103.82	-1.572
103.92	-1.529
104.02	-1.303
104.12	-1.573
104.22	-1.562
104.32	-1.553
104.42	-1.15
104.52	-1.148
104.62	-1.246
104.72	-1.916
104.82	-1.866
104.92	-1.722
105.02	-1.979
105.12	-1.754
105.22	-1.585
105.32	-1.461
105.42	-1.519
105.52	-1.466
105.67	-1.757
105.77	-1.594
105.87	-1.509
105.97	-1.415
106.07	-1.353
106.17	-1.513
106.27	-1.806
106.37	-1.927
106.47	-1.569
106.57	-1.665
106.67	-1.401
106.77	-1.929
106.87	-1.769
106.97	-1.832
107.07	-1.743
107.17	-1.559
107.27	-1.706
107.37	-1.712
107.47	-1.643
107.57	-1.518
107.67	-1.467
107.77	-1.238
107.87	-1.375
107.97	-1.402
108.07	-1.568
108.17	-1.262
108.27	-1.287
108.37	-1.156
108.47	-1.826
108.57	-1.434
108.67	-1.542
108.77	-1.649
108.87	-1.962
108.97	-1.79
109.07	-1.665
109.17	-1.696
