depth(m)	initial_age(kiloyear)
56.13	50063.6
56.23	50072.5
56.33	50081.4
56.43	50090.3
56.53	50099.2
56.68	50112.5
56.78	50121.4
56.88	50130.3
56.98	50139.2
57.08	50148.1
57.18	50157
57.28	50165.9
57.38	50174.8
57.48	50183.7
57.58	50192.6
57.68	50201.5
57.78	50210.4
57.88	50219.3
57.98	50228.2
58.08	50237.1
58.18	50246
58.28	50254.9
58.38	50263.8
58.48	50271.6
58.58	50277
58.68	50282.3
58.79	50288.2
58.88	50293
58.98	50298.4
59.08	50303.8
59.18	50309.1
59.28	50314.5
59.38	50319.8
59.48	50325.2
59.58	50330.5
59.68	50335.9
59.79	50341.8
59.88	50346.6
59.98	50352
60.08	50357.3
60.18	50362.7
60.28	50368
60.38	50373.4
60.48	50378.4
60.58	50383.2
60.68	50388
60.78	50392.9
60.88	50397.7
60.98	50402.5
61.08	50407.3
61.18	50412.1
61.28	50417
61.38	50421.8
61.48	50426.6
61.58	50431.4
61.68	50436.3
61.78	50441.1
61.95	50449.3
62.05	50454.1
62.15	50458.9
62.25	50463.8
62.32	50467.1
62.42	50472
62.53	50477.3
62.62	50481.6
62.72	50487
62.82	50493.5
62.92	50500
63.02	50506.6
63.12	50513.1
63.22	50519.6
63.32	50526.2
63.42	50532.7
63.53	50539.9
63.62	50545.8
63.72	50552.3
63.82	50558.9
63.92	50565.4
64.02	50571.9
64.12	50578.5
64.22	50585
64.33	50592.2
64.42	50598.1
64.53	50605.3
64.62	50611.2
64.74	50618.7
64.83	50624.9
64.92	50630.8
65.02	50637.3
65.12	50643.9
65.19	50648.4
65.32	50656.9
65.42	50663.5
65.51	50669.3
65.61	50675.3
65.71	50681.3
65.81	50687.2
65.91	50693.2
66.01	50699.1
66.11	50705
66.21	50711
66.31	50716.9
66.41	50722.8
66.49	50727.6
66.61	50734.7
66.71	50740.7
66.81	50746.6
66.91	50752.5
67.01	50758.5
67.11	50764.4
67.21	50773.7
67.31	50783.3
67.41	50792.9
67.51	50802.5
67.61	50812.1
67.71	50821.7
67.81	50831.3
67.91	50841
68.01	50850.6
68.11	50860.2
68.21	50869
68.36	50880.8
68.46	50888.8
68.56	50896.7
68.66	50904.6
68.76	50912.5
68.86	50920.4
68.96	50928.3
69.06	50936.3
69.16	50944.2
69.26	50952.1
69.36	50960
69.46	50967.1
69.56	50974.2
69.66	50981.3
69.76	50988.5
69.86	50995.6
69.96	51002.7
70.06	51009.8
70.16	51016.9
70.26	51024
70.36	51031.2
70.46	51038.3
70.56	51045.4
70.66	51052.5
70.76	51059.6
70.86	51066.7
70.96	51073.9
71.06	51081
71.16	51088.1
71.26	51095.2
71.36	51102.3
71.46	51109.4
71.56	51116.6
71.66	51123.7
71.76	51130.8
71.86	51137.9
71.96	51145
72.06	51151.6
72.16	51156.9
72.26	51162.2
72.36	51167.5
72.46	51172.8
72.56	51178
72.66	51183.3
72.76	51188.6
72.86	51193.9
72.96	51199.2
73.06	51204.5
73.16	51209.8
73.26	51215.1
73.36	51220.4
73.46	51225.7
73.56	51231
73.66	51236.2
73.76	51241.5
73.86	51246.8
73.96	51253.8
74.06	51263.3
74.17	51273.8
74.26	51282.4
74.36	51291.9
74.46	51301.4
74.56	51311
74.66	51320.5
74.76	51330
74.86	51339.5
74.96	51349
75.06	51354.8
75.16	51360.1
75.26	51365.4
75.36	51370.7
75.46	51376
75.56	51381.3
75.66	51386.6
75.76	51391.9
75.86	51397.2
75.96	51402.5
76.06	51407.8
76.1	51410
76.2	51415.3
76.3	51420.6
76.4	51425.9
76.5	51431.2
76.6	51436.5
76.8	51448.1
76.9	51456
77	51463.8
77.1	51471.6
77.2	51479.5
77.3	51487.3
77.4	51495.1
77.5	51503
77.6	51510.8
77.7	51518.7
77.8	51526.5
77.9	51534.3
78	51542.2
78.1	51550
78.2	51558.3
78.3	51566.6
78.4	51575
78.5	51583.3
78.6	51591.6
78.7	51599.9
78.8	51608.2
78.9	51616.5
79	51624.9
79.1	51633.2
79.2	51641.5
79.3	51649.8
79.4	51658.1
79.5	51666.4
79.6	51674.8
79.7	51683.1
79.8	51691.4
79.9	51699.7
80	51708
80.1	51716.3
80.2	51724.7
80.3	51733
80.4	51741.3
80.5	51749.6
80.6	51757.9
80.7	51766.2
80.8	51774.6
80.9	51782.9
81	51791.2
81.09	51798.7
81.2	51807.8
81.3	51816.1
81.4	51824.5
81.5	51832.8
81.6	51841.1
81.7	51849.4
81.9	51866
82	51874.4
82.1	51882.7
82.2	51891
82.3	51899.3
82.4	51907.6
82.5	51915.9
82.6	51924.3
82.7	51932.6
82.8	51940.9
82.9	51949.2
83	51957.5
83.1	51965.8
83.2	51972.6
83.3	51977.9
83.4	51983.1
83.5	51988.4
83.6	51993.6
83.7	51998.9
83.8	52004.1
83.9	52009.4
84	52014.6
84.1	52019.9
84.2	52025.1
84.3	52030.4
84.4	52035.6
84.5	52040.9
84.6	52046.1
84.7	52051.4
84.8	52056.6
84.9	52061.9
85	52067.1
85.2	52077.6
85.3	52082.9
85.4	52088.1
85.5	52093.4
85.6	52098.6
85.7	52103.8
85.8	52109.1
85.9	52114.3
86	52119.6
86.1	52124.8
86.2	52130.1
86.3	52135.3
86.4	52140.6
86.5	52145.8
86.6	52151.1
86.7	52156.3
86.8	52161.6
86.9	52166.8
87	52172.1
87.1	52177.3
87.2	52182.6
87.3	52187.8
87.4	52193.1
87.5	52198.3
87.6	52203.6
87.7	52208.8
87.8	52214.1
87.9	52219.3
88	52224.6
88.1	52229.8
88.2	52235.1
88.3	52240.3
88.4	52245.6
88.5	52250.8
88.6	52256.1
88.7	52261.3
88.8	52266.6
88.9	52271.8
89	52277.1
89.1	52282.3
89.13	52283.9
89.23	52289.1
89.33	52294.4
89.43	52299.6
89.53	52304.9
89.63	52310.1
89.73	52315.4
89.83	52320.6
89.93	52325.9
90.03	52331.1
90.13	52336.4
90.23	52341.6
90.33	52346.9
90.43	52352.1
90.53	52357.4
90.63	52363.4
