depth(m)	initial_age(kiloyear)
103.8807	52355.04
103.9103	52359.53
103.94	52364.3
103.97	52368.84
104	52373.38
104.03	52377.91
104.06	52382.45
104.09	52386.98
104.12	52391.52
104.15	52396.06
104.18	52400.59
104.21	52405.13
104.24	52409.66
104.27	52414.2
104.3	52418.74
104.33	52423.27
104.36	52427.81
104.39	52432.35
104.42	52436.88
104.45	52441.42
104.48	52445.95
104.51	52450.49
104.54	52455.03
104.57	52459.56
104.6	52464.01
104.625	52467.67
104.655	52472.07
104.685	52476.47
104.715	52480.87
104.745	52485.26
104.775	52489.66
104.805	52494.06
104.835	52498.46
104.865	52502.85
104.895	52507.25
104.925	52511.65
104.955	52516.05
104.985	52520.45
105.015	52524.84
105.045	52529.24
105.075	52533.64
105.105	52538.04
105.135	52542.44
105.165	52546.83
105.195	52551.23
105.225	52555.63
105.255	52560.03
105.285	52564.42
105.315	52568.82
105.345	52573.22
105.375	52577.62
105.405	52582.02
105.435	52586.41
105.465	52590.81
105.495	52595.21
105.525	52599.61
105.555	52604.01
105.585	52608.4
105.615	52612.8
105.645	52617.2
105.675	52621.6
105.705	52625.99
105.735	52630.39
105.765	52634.79
105.795	52639.19
105.825	52643.59
105.855	52647.98
105.885	52652.38
105.915	52656.78
105.945	52661.18
105.975	52665.58
106.035	52674.37
106.065	52678.77
106.095	52683.17
106.125	52687.56
106.155	52691.96
106.185	52696.36
106.215	52700.76
106.275	52709.55
106.305	52713.95
106.365	52722.75
106.395	52727.15
106.425	52731.54
106.455	52735.94
106.485	52740.34
106.515	52744.69
106.545	52749.01
106.575	52753.32
106.605	52757.63
106.635	52761.94
106.665	52766.25
106.695	52770.57
106.725	52774.88
106.755	52779.19
106.785	52783.5
106.815	52787.82
106.845	52792.13
106.875	52796.44
106.905	52800.75
107.1333	52833.56
107.1719	52839.12
107.2107	52845.43
107.245	52852.75
107.275	52859.15
107.395	52884.73
107.425	52891.13
107.455	52897.52
107.4758	52901.95
107.485	52903.92
107.5016	52907.47
107.5275	52912.98
107.5534	52918.5
107.845	52975.43
107.875	52979.41
107.905	52983.38
107.935	52987.35
107.965	52991.33
107.995	52995.3
108.025	52999.28
108.055	53003.25
108.09	53007.89
108.115	53011.2
108.145	53015.18
108.175	53019.15
108.205	53023.12
108.235	53027.1
108.265	53031.07
108.295	53035.05
108.325	53039.02
108.355	53043
108.385	53045.97
108.415	53048.74
108.445	53051.51
108.475	53054.28
108.505	53057.05
108.535	53059.83
108.565	53062.6
108.595	53065.37
108.625	53068.14
108.655	53070.91
108.685	53073.68
108.715	53076.45
108.745	53079.22
108.775	53082
108.805	53084.77
108.835	53087.54
108.865	53090.31
108.895	53093.08
108.925	53095.85
108.955	53098.62
108.985	53101.4
109.015	53104.17
109.075	53114.73
109.105	53121.81
109.135	53128.89
109.165	53135.96
109.195	53143.04
109.225	53150.12
109.255	53157.2
109.285	53164.27
109.375	53185.5
109.435	53199.66
109.465	53206.74
109.495	53213.81
109.525	53220.89
109.555	53227.97
109.585	53235.04
109.615	53242.12
109.645	53249.2
109.675	53256.28
109.705	53263.35
109.735	53270.43
109.765	53276.87
