Depth	d18O
158.88	0.13
158.91	0.02
158.94	0.04
158.965	0.02
158.97	-0.03
158.995	-0.09
159	-0.06
159.025	0.2
159.055	0.18
159.085	0.25
159.115	-0.09
159.145	0.23
159.175	0.1
159.205	0.03
159.235	-0.08
159.295	-0.19
159.375	0.2
159.435	-0.06
159.495	0.23
159.535	-0.04
159.585	-0.1
159.685	0.21
159.745	-0.04
159.775	0.14
159.835	0.17
159.895	0.29
159.9125	-0.1
159.925	0.01
159.945	0.08
159.975	0.04
160.005	-0.07
160.065	-0.15
160.095	-0.05
160.125	0.12
160.155	-0.05
160.185	-0.09
160.215	-0.05
160.245	0.02
160.275	-0.1
160.305	0.17
160.365	0.01
160.395	0.17
160.425	0.02
160.455	-0.12
160.485	0
160.515	-0.02
160.575	0.32
160.605	0.13
160.815	-0.08
160.875	-0.09
160.905	0.02
160.965	-0.19
160.995	-0.09
161.025	-0.18
161.055	-0.16
161.085	0.21
161.145	0.07
161.175	0.27
161.205	0.11
161.235	0.09
161.265	0.08
161.775	0.29
161.805	0.3
161.865	0.18
161.895	0.18
161.925	0.19
161.955	0.26
161.985	0.15
162.015	0.27
162.045	0.16
162.075	0.14
162.105	0.21
162.135	0.14
162.165	0.2
162.195	0.19
162.225	0.16
162.255	0.18
162.285	0.17
162.315	0.26
162.345	0.22
162.375	0.2
162.405	0.2
162.435	0.15
162.465	0.14
162.495	0.26
162.525	0.12
162.555	0.22
162.585	0.2
162.615	0.2
162.645	0.1
162.675	0.17
162.705	0.29
162.735	0.2
162.765	0.11
162.795	0.06
162.825	0.1
162.855	0.17
162.885	0.13
162.915	0.24
162.945	0.24
162.975	0.21
163.005	0.09
163.035	0.28
163.065	0.22
163.095	0.24
163.125	0.14
163.155	0.17
163.185	0.22
163.215	0.2
163.245	0.13
163.275	0.15
163.305	0.12
163.335	0.27
163.365	0.21
163.395	0.28
163.425	0.23
163.455	0.19
163.485	0.24
163.515	0.23
163.575	0.05
163.605	0.27
163.635	0.2
163.665	0.53
163.695	0.28
163.725	0.38
163.755	0.3
163.785	0.36
163.815	0.3
163.845	0.26
163.875	0.34
163.905	0.28
163.935	0.19
163.965	0.12
163.995	0.14
164.025	0.23
164.055	0.16
164.085	0.23
164.115	0.26
164.145	0.29
164.175	0.23
164.205	0.25
164.235	0.17
164.255	0.33
164.265	0.15
164.285	0.19
164.295	0.13
164.309	0.07
164.315	0.1
164.3198	0.27
164.345	-0.09
164.375	0.24
164.435	-0.14
164.465	-0.16
164.495	0.13
164.525	-0.23
164.575	-0.01
164.635	0.27
164.705	0.32
164.735	-0.19
164.795	0.07
164.875	0.16
164.935	-0.11
164.975	0.06
165.035	0.25
165.065	0.3
165.125	0.11
165.185	0.26
165.235	0.22
165.305	0.06
165.385	0.06
165.425	0.27
165.455	-0.07
165.485	0.24
165.515	0.18
165.545	0.19
165.575	0.42
165.745	0.5
165.785	-0.12
165.915	0.52
166.015	0.61
166.055	0.22
166.085	0.33
166.115	0.1
166.145	0.45
166.195	0.63
166.255	0.41
166.315	0.58
166.355	0.43
166.385	0.6
166.435	0.54
166.495	0.51
166.535	0.43
166.595	0.56
166.655	0.57
166.705	0.08
166.765	0.53
166.825	0.29
166.865	0.25
166.945	0.46
167.125	0.53
167.245	0.58
167.305	0.59
167.365	0.65
167.485	0.55
167.575	0.78
167.635	0.52
167.695	0.57
167.775	0.64
167.845	0.33
167.885	0.65
167.945	0.49
167.975	0.4
168.035	0.32
168.035	0.58
168.065	0.39
168.095	0.6
168.145	0.5
168.155	0.53
168.185	0.49
168.185	0.12
168.215	0.46
168.215	0.43
168.245	0.69
168.245	0.03
168.295	0.45
168.305	0.49
168.335	0.5
168.335	0.44
168.365	0.35
168.395	0.33
168.395	0.46
168.425	-0.12
168.455	0.14
168.455	0.45
168.485	0.33
168.515	0.24
168.575	0.35
168.605	0.07
168.635	0.08
168.665	0.44
168.695	0.2
168.725	0.3
168.755	0.31
168.785	0.27
168.815	-0.08
168.845	0.51
168.875	0.35
168.935	0.85
168.965	0.66
168.995	0.48
169.085	0.49
169.115	0.6
169.175	0.5
169.205	0.54
169.235	0.4
169.265	0.43
169.325	0.49
169.375	0.51
169.415	0.62
169.445	0.67
169.535	0.55
169.565	0.45
169.595	0.51
169.625	0.48
169.685	0.46
170.075	0.26
170.105	0.29
170.195	0.35
170.225	0.27
170.4042	0.47
170.405	0.41
170.4349	0.51
170.465	0.6
170.4672	0.26
170.495	0.45
170.4999	0.28
170.525	0.48
170.555	0.29
170.585	0.45
170.615	0.52
170.645	0.54
170.675	0.36
170.705	0.46
170.735	0.35
170.765	0.47
170.795	0.33
170.825	0.37
170.855	0.35
170.885	0.32
170.915	0.57
170.945	0.49
170.975	0.49
171.005	0.45
171.035	0.27
171.065	0.52
171.095	0.52
171.125	0.6
171.155	0.43
171.185	0.55
171.215	0.53
171.245	0.58
171.275	0.59
171.305	0.56
171.335	0.46
171.365	0.45
171.395	0.53
171.425	0.51
171.455	0.46
171.485	0.48
171.515	0.37
171.545	0.58
171.575	0.7
171.605	0.66
171.635	0.36
171.665	0.47
171.695	0.55
171.725	0.59
171.755	0.57
171.785	0.27
171.845	0.43
171.875	0.23
171.935	0.39
171.965	0.28
172.025	0.59
172.055	0.38
172.115	0.58
172.145	0.56
172.175	0.62
172.205	0.57
172.235	0.72
172.295	0.57
172.325	0.59
172.355	0.64
172.385	0.62
172.415	0.43
172.445	0.52
172.475	0.65
172.525	0.7
172.555	0.66
172.585	0.55
172.615	0.73
172.645	0.14
172.675	0.68
172.705	0.66
172.735	0.64
172.765	0.66
172.795	0.55
172.825	0.72
172.855	0.76
172.885	0.63
172.915	0.62
172.945	0.63
172.975	0.63
173.005	0.72
173.035	0.71
173.065	0.69
173.095	0.56
173.125	0.55
173.155	0.57
173.185	0.57
173.215	0.61
173.245	0.53
173.275	0.65
173.305	0.66
173.335	0.62
173.345	0.47
173.365	0.55
173.375	0.48
173.385	0.51
173.405	0.51
173.415	0.48
173.435	0.55
173.445	0.63
173.455	0.43
173.465	0.28
173.475	-0.15
173.485	0.52
173.495	0.56
173.505	0.47
173.515	0.42
173.525	0.44
173.535	0.47
173.545	0.62
173.555	0.4
173.575	0.3
173.585	0.31
173.595	-0.38
173.605	-0.27
173.615	0.71
173.625	0.44
173.635	0.44
173.655	0.58
173.665	0.42
173.675	0.35
173.685	0.29
173.695	0.32
173.705	0.53
173.715	-0.08
173.725	-0.41
173.735	0.33
173.745	0.5
173.765	0.6
173.775	0.46
173.785	-0.35
173.795	0.59
173.805	0.63
173.815	0.54
173.825	0.27
173.835	0.63
173.845	0.56
173.855	0.55
173.865	0.35
173.875	0.8
173.885	0.1
173.895	0.46
173.905	0.6
173.915	0.66
173.925	0.7
173.935	0.42
173.975	0.6
174.005	0.64
174.035	0.67
174.065	0.62
174.125	0.69
174.155	0.6
174.185	0.67
174.215	0.59
174.245	0.59
174.275	0.55
174.365	0.62
174.395	0.63
174.425	0.58
174.455	0.46
174.485	0.65
174.515	0.3
174.545	0.65
174.575	0.62
174.605	0.77
174.635	0.71
174.665	0.69
174.695	0.68
174.725	0.47
174.755	0.72
174.785	0.67
174.815	0.75
174.845	0.56
174.875	0.4
174.9	0.53
174.9199	0.7
174.9398	0.62
174.9598	0.56
174.985	0.35
174.9996	0.58
175.015	0.47
175.045	0.51
175.075	0.49
175.105	0.43
175.135	0.44
175.165	0.33
175.195	0.46
175.225	0.27
175.255	0.51
175.315	0.35
175.345	0.46
175.375	0.53
175.405	0.45
175.435	0.41
175.465	0.45
175.495	0.35
175.525	0.37
175.555	0.49
175.585	0.53
175.615	0.62
175.645	0.41
175.675	0.53
175.705	0.59
175.765	0.46
175.805	0.61
175.825	0.27
175.855	0.56
175.885	0.42
175.915	0.48
175.945	0.56
175.975	0.31
176.005	0.26
176.035	0.36
176.065	0.4
176.095	0.54
176.125	0.4
176.155	0.58
176.185	0.41
176.215	0.51
176.245	0.44
176.275	0.45
176.305	0.64
176.335	0.46
176.365	0.59
176.395	0.52
176.425	0.57
176.455	0.63
176.485	0.47
176.515	0.49
176.545	0.64
176.575	0.55
176.605	0.59
176.635	0.49
176.665	0.53
176.695	0.61
176.755	0.53
176.785	0.61
176.815	0.5
176.845	0.46
176.875	0.3
176.905	0.73
176.935	0.54
176.965	0.49
176.995	0.48
177.025	0.57
177.055	0.36
177.085	0.46
177.115	0.27
177.145	0.42
177.175	0.48
177.205	0.34
177.235	0.46
177.265	0.31
177.295	0.5
177.325	0.66
177.355	0.47
177.385	0.46
177.415	0.56
177.445	0.56
177.475	0.52
177.505	0.58
177.535	0.52
177.565	0.38
177.595	0.42
177.625	0.51
177.655	0.43
177.685	0.27
177.715	0.19
177.745	0.48
177.775	0.42
177.805	0.5
177.835	0.49
177.865	0.34
177.895	0.55
177.925	0.5
177.955	0.45
177.985	0.5
178.015	0.58
178.045	0.58
178.075	0.45
178.105	0.46
