depth(m)	initial_age(kiloyear)
158.88	57539.47
158.91	57542.12
158.94	57544.78
158.965	57546.99
158.97	57547.43
158.995	57549.65
159	57550.09
159.025	57552.3
159.055	57554.96
159.085	57557.61
159.115	57560.27
159.145	57562.92
159.175	57565.58
159.205	57568.23
159.235	57570.88
159.295	57576.19
159.375	57583.27
159.435	57588.58
159.495	57593.89
159.535	57597.43
159.585	57601.86
159.685	57610.71
159.745	57616.02
159.775	57618.67
159.835	57624
159.895	57629.33
159.9125	57630.84
159.925	57632
159.945	57633.78
159.975	57636.44
160.005	57639.11
160.065	57644.44
160.095	57647.11
160.125	57649.78
160.155	57652.44
160.185	57655.11
160.215	57657.78
160.245	57660.44
160.275	57663.11
160.305	57665.78
160.365	57671.11
160.395	57673.78
160.425	57676.44
160.455	57679.11
160.485	57681.78
160.515	57684.44
160.575	57689.78
160.605	57692.44
160.815	57711.11
160.875	57716.44
160.905	57719.11
160.965	57724.4
160.995	57726.79
161.025	57729.18
161.055	57731.57
161.085	57733.96
161.145	57738.75
161.175	57741.14
161.205	57743.53
161.235	57745.92
161.265	57748.31
161.775	57788.97
161.805	57791.36
161.865	57796.14
161.895	57798.53
161.925	57800.92
161.955	57803.31
161.985	57805.71
162.015	57808.1
162.045	57810.49
162.075	57812.88
162.105	57815.27
162.135	57817.66
162.165	57820.05
162.195	57822.45
162.225	57824.84
162.255	57827.23
162.285	57829.62
162.315	57832.01
162.345	57834.4
162.375	57836.79
162.405	57839.19
162.435	57841.58
162.465	57843.97
162.495	57846.36
162.525	57848.75
162.555	57851.14
162.585	57853.53
162.615	57855.93
162.645	57858.32
162.675	57860.71
162.705	57863.1
162.735	57865.49
162.765	57867.88
162.795	57870.27
162.825	57872.67
162.855	57875.06
162.885	57877.45
162.915	57879.84
162.945	57882.23
162.975	57884.62
163.005	57887.01
163.035	57889.41
163.065	57891.8
163.095	57894.19
163.125	57896.58
163.155	57898.97
163.185	57901.36
163.215	57903.75
163.245	57906.15
163.275	57908.54
163.305	57910.93
163.335	57913.32
163.365	57915.71
163.395	57918.1
163.425	57920.49
163.455	57922.89
163.485	57925.28
163.515	57927.67
163.575	57932.45
163.605	57934.84
163.635	57937.23
163.665	57939.63
163.695	57942.02
163.725	57944.41
163.755	57946.8
163.785	57949.19
163.815	57951.58
163.845	57953.97
163.875	57956.37
163.905	57958.76
163.935	57961.15
163.965	57963.54
163.995	57965.93
164.025	57968.32
164.055	57970.71
164.085	57973.11
164.115	57975.5
164.145	57977.89
164.175	57980.28
164.205	57982.67
164.235	57985.06
164.255	57986.66
164.265	57987.45
164.285	57989.05
164.295	57989.84
164.309	57990.96
164.315	57991.44
164.3198	57991.84
164.345	57993.83
164.375	57996.22
164.435	58001
164.465	58003.57
164.495	58006.98
164.525	58010.39
164.575	58016.08
164.635	58022.91
164.705	58030.87
164.735	58034.28
164.795	58041.11
164.875	58050.21
164.935	58057.04
164.975	58061.59
165.035	58068.41
165.065	58071.83
165.125	58078.65
165.185	58085.48
165.235	58091.17
165.305	58099.13
165.385	58108.23
165.425	58112.78
165.455	58116.2
165.485	58119.61
165.515	58123.02
165.545	58126.44
165.575	58129.85
165.745	58149.19
165.785	58153.74
165.915	58168.53
166.015	58179.91
166.055	58184.46
166.085	58187.87
166.115	58191.28
166.145	58194.7
166.195	58200.39
166.255	58207.21
166.315	58214.04
166.355	58218.59
166.385	58222
166.435	58227.69
166.495	58234.52
166.535	58239.07
166.595	58245.89
166.655	58252.72
166.705	58258.41
166.765	58265.23
166.825	58272.06
166.865	58276.61
166.945	58285.71
167.125	58306.19
167.245	58319.84
167.305	58326.67
167.365	58333.49
167.485	58347.15
167.575	58357.39
167.635	58364.21
167.695	58371.04
167.775	58380.14
167.845	58388.1
167.885	58392.65
167.945	58399.48
167.975	58402.89
168.035	58409.72
168.035	58409.72
168.065	58413.13
168.095	58416.55
168.145	58422.23
168.155	58423.37
168.185	58426.78
168.185	58426.78
168.215	58430.2
168.215	58430.2
168.245	58433.61
168.245	58433.61
168.295	58439.3
168.305	58440.44
168.335	58443.85
168.335	58443.85
168.365	58447.26
168.395	58450.68
168.395	58450.68
168.425	58454.09
168.455	58457.5
168.455	58457.5
168.485	58460.91
168.515	58464.33
168.575	58471.15
168.605	58474.57
168.635	58478.03
168.665	58481.48
168.695	58484.93
168.725	58488.38
168.755	58491.83
168.785	58495.28
168.815	58498.74
168.845	58502.19
168.875	58505.64
168.935	58512.54
168.965	58515.99
168.995	58519.45
169.085	58529.8
169.115	58533.25
169.175	58540.16
169.205	58543.61
169.235	58547.06
169.265	58550.51
169.325	58557.41
169.375	58563.17
169.415	58567.77
169.445	58571.22
169.535	58581.72
169.565	58586.06
169.595	58590.39
169.625	58594.72
169.685	58603.39
170.075	58659.72
170.105	58664.06
170.195	58677.06
170.225	58681.39
170.4042	58707.25
170.405	58707.39
170.4349	58711.72
170.465	58716.06
170.4672	58716.35
170.495	58720.39
170.4999	58721.11
170.525	58724.72
170.555	58729.06
170.585	58733.39
170.615	58737.72
170.645	58742.06
170.675	58746.39
170.705	58750.68
170.735	58754.73
170.765	58758.78
170.795	58762.83
170.825	58766.88
170.855	58770.94
170.885	58774.99
170.915	58779.04
170.945	58783.09
170.975	58787.14
171.005	58791.2
171.035	58795.25
171.065	58799.3
171.095	58803.35
171.125	58807.4
171.155	58811.45
171.185	58815.51
171.215	58819.56
171.245	58823.61
171.275	58827.66
171.305	58831.71
171.335	58835.77
171.365	58839.82
171.395	58843.87
