depth(m)	initial_age(kiloyear)
203.015	63204.84
203.035	63208.27
203.075	63215.13
203.105	63220.28
203.135	63225.42
203.165	63230.57
203.195	63235.71
203.225	63241.06
203.255	63247.41
203.285	63253.77
203.315	63260.12
203.345	63266.47
203.375	63272.82
203.415	63281.3
203.435	63285.53
203.465	63291.88
203.495	63298.24
203.525	63304.59
203.555	63310.94
203.585	63317.29
203.615	63323.65
203.635	63327.88
203.675	63336.35
203.705	63342.71
203.735	63349.13
203.775	63358.15
203.795	63362.66
203.825	63369.42
203.855	63376.18
203.885	63382.95
203.915	63389.71
203.945	63396.47
204.005	63410
204.035	63416.76
204.065	63423.53
204.095	63430.29
204.125	63437.05
204.155	63443.82
204.185	63450.58
204.215	63457.35
204.245	63464.11
204.275	63470.87
204.305	63477.64
204.335	63484.4
204.375	63493.42
204.395	63497.93
204.425	63504.69
204.455	63511.45
204.545	63531.75
204.575	63538.51
204.615	63547.53
204.635	63552.04
204.665	63558.8
204.695	63565.56
204.725	63572.33
204.755	63579.09
204.785	63585.85
204.805	63590.36
204.855	63601.64
204.875	63606.15
204.975	63628.69
205.005	63635.45
205.025	63639.96
205.085	63653.49
205.125	63662.51
205.145	63667.02
205.175	63673.78
205.205	63680.55
205.245	63689.56
205.265	63694.07
205.295	63700.84
205.325	63707.6
205.365	63716.62
205.385	63721.07
205.415	63727.5
205.445	63733.94
205.475	63740.37
205.505	63746.8
205.535	63753.23
205.555	63757.52
205.595	63766.09
205.615	63770.38
205.655	63778.96
205.685	63785.39
205.715	63791.82
205.755	63800.4
205.775	63804.69
205.815	63813.26
205.875	63826.12
205.895	63830.41
205.925	63836.84
205.955	63843.28
205.985	63849.71
206.015	63856.14
206.055	63864.72
206.075	63869
206.105	63875.44
206.135	63881.87
206.175	63890.44
206.195	63894.73
206.225	63901.16
206.255	63907.59
206.285	63914.03
206.345	63926.89
206.375	63933.32
206.415	63941.9
206.465	63952.62
206.505	63961.19
206.535	63967.62
206.555	63971.91
206.595	63980.49
206.615	63984.78
206.635	63989.06
206.675	63997.64
206.705	64004.04
206.735	64010.29
206.765	64016.54
206.795	64022.79
206.815	64026.96
206.855	64035.29
206.895	64043.62
206.915	64047.79
206.945	64054.04
206.975	64060.29
207.035	64072.79
207.065	64079.04
207.095	64085.29
207.135	64093.62
207.155	64097.79
207.195	64106
207.225	64112
207.245	64116
207.275	64122
207.315	64130
207.415	64150
207.485	64164
207.545	64176
207.575	64182
207.605	64188
207.635	64194
207.675	64202
207.725	64212
207.755	64218
207.915	64250
207.945	64256
207.965	64260
208.055	64278
208.085	64284
208.115	64290
208.155	64298
208.175	64302
208.205	64307.83
208.275	64319.38
208.295	64322.68
208.325	64327.64
208.395	64339.19
