Depth	d18O
232.01	-0.472
232.05	-0.59
232.09	-0.332
232.13	-0.674
232.17	-0.564
232.21	-0.337
232.25	-0.479
232.29	-0.33
232.33	-0.503
232.37	-0.412
232.41	-0.398
232.45	-0.534
232.49	-0.572
232.53	-0.469
232.57	-0.498
232.625	-0.372
232.65	-0.473
232.69	-0.443
232.73	-0.425
232.77	-0.281
232.81	-0.356
232.85	-0.173
232.89	-0.277
232.93	-0.434
232.97	-0.444
233.01	-0.437
233.05	-0.414
233.09	-0.32
233.13	-0.32
233.17	-0.327
233.215	-0.549
233.25	-0.534
233.29	-0.215
233.33	-0.615
233.37	-0.409
233.41	-0.665
233.45	-0.482
233.49	-0.807
233.53	-0.433
233.57	-0.822
233.595	-0.598
233.65	-0.484
233.69	-0.445
233.73	-0.439
233.77	-0.512
233.81	-0.322
233.85	-0.61
233.89	-0.618
233.93	-0.631
233.97	-0.366
234.01	-0.544
234.05	-0.317
234.075	-0.318
234.13	-0.386
234.17	-0.534
234.21	-0.667
234.25	-0.652
234.29	-0.405
234.33	-0.457
234.35	-0.544
234.39	-0.483
234.43	-0.538
234.47	-0.588
234.51	-0.519
234.55	-0.621
234.59	-0.405
234.63	-0.602
234.67	-0.458
234.71	-0.343
234.75	-0.611
234.79	-0.59
234.83	-0.454
234.87	-0.399
234.91	-0.416
234.95	-0.463
234.99	-0.45
235.03	-0.594
235.07	-0.477
235.11	-0.52
235.15	-0.635
235.19	-0.53
235.23	-0.683
235.27	-0.687
235.31	-0.709
235.35	-0.711
235.39	-0.482
235.43	-0.759
235.47	-0.68
235.51	-1.064
235.55	-0.971
235.59	-0.763
235.63	-0.926
235.67	-0.582
235.71	-0.426
235.75	-0.624
235.79	-0.6
235.83	-0.569
235.87	-0.555
235.91	-0.795
235.95	-0.608
235.99	-0.454
236.03	-0.506
236.07	-0.522
236.11	-0.596
236.15	-0.545
236.19	-0.485
236.23	-0.541
236.27	-0.664
236.31	-0.483
236.35	-0.452
236.39	-0.678
236.43	-0.55
236.47	-0.489
236.51	-0.434
236.55	-0.473
236.59	-0.651
236.63	-0.563
236.67	-0.785
236.71	-0.588
236.75	-0.587
236.79	-0.477
236.83	-0.671
236.87	-0.563
236.91	-0.949
236.935	-0.597
236.99	-0.702
237.03	-0.765
237.07	-0.564
237.11	-0.72
237.15	-0.716
237.19	-0.68
237.23	-0.579
237.27	-0.582
237.31	-0.838
237.35	-0.65
237.39	-0.67
237.43	-0.674
237.47	-0.857
237.51	-0.664
237.55	-0.794
237.59	-0.868
237.63	-0.609
237.67	-0.673
237.71	-0.626
237.75	-0.648
237.79	-0.743
237.83	-0.707
237.87	-0.706
237.91	-0.664
237.95	-0.737
237.99	-0.643
238.03	-0.639
