depth(m)	initial_age(kiloyear)
232.01	47984.05
232.05	47993.8
232.09	48003.55
232.13	48013.3
232.17	48022.67
232.21	48031.45
232.25	48040.3
232.29	48049.08
232.33	48057.92
232.37	48066.7
232.41	48076.29
232.45	48086.23
232.49	48096.18
232.53	48106.2
232.57	48116.15
232.625	48129.91
232.65	48136.12
232.69	48146.15
232.73	48156.09
232.77	48166.03
232.81	48176.06
232.85	48186.01
232.89	48196.03
232.93	48205.98
232.97	48216.01
233.01	48225.61
233.05	48235.13
233.09	48244.73
233.13	48254.25
233.17	48263.77
233.215	48278.81
233.25	48290.45
233.29	48303.88
233.33	48317.22
233.37	48330.57
233.41	48343.91
233.45	48357.34
233.49	48368.81
233.53	48380.86
233.57	48393.05
233.595	48400.67
233.65	48417.43
233.69	48429.62
233.73	48441.81
233.77	48454
233.81	48466.19
233.85	48478
233.89	48487.18
233.93	48495.54
233.97	48504
234.01	48512.36
234.05	48520.73
234.075	48526
234.13	48549.44
234.17	48566.43
234.21	48583.41
234.25	48597.26
234.29	48610.18
234.33	48623.1
234.35	48629.38
234.39	48642.3
234.43	48655.23
234.47	48667.96
234.51	48680.89
234.55	48695.28
234.59	48711.35
234.63	48727.41
234.67	48746.05
234.71	48767.65
234.75	48789.25
234.79	48810.85
234.83	48832.45
234.87	48854.05
234.91	48875.65
234.95	48901.31
234.99	48926.97
235.03	48952.44
235.07	48978.1
235.11	49003.77
235.15	49029.43
235.19	49055.09
235.23	49080.56
235.27	49106.22
235.31	49131.88
235.35	49157.54
235.39	49183.2
235.43	49208.68
235.47	49234.34
235.51	49260
235.55	49267.05
235.59	49274.09
235.63	49281.09
235.67	49288.14
235.71	49295.18
235.75	49302.23
235.79	49309.27
235.83	49316.27
235.87	49323.32
235.91	49330.36
235.95	49337.41
235.99	49344.46
236.03	49351.45
236.07	49358.5
236.11	49365.55
236.15	49372.59
236.19	49379.64
236.23	49386.64
236.27	49393.68
236.31	49400.73
236.35	49407.78
236.39	49414.82
236.43	49421.82
236.47	49428.86
236.51	49435.91
236.55	49442.96
236.59	49450
236.63	49457
236.67	49471.3
236.71	49485.6
236.75	49499.9
236.79	49514.2
236.83	49528.4
236.87	49542.7
236.91	49557
236.935	49562.15
236.99	49573.67
237.03	49581.95
237.07	49590.34
237.11	49598.62
237.15	49606.9
237.19	49615.29
237.23	49623.57
237.27	49631.85
237.31	49640.24
237.35	49648.52
237.39	49656.91
237.43	49665.19
237.47	49672.94
237.51	49680.04
237.55	49687.05
237.59	49694.16
237.63	49701.26
237.67	49708.37
237.71	49715.47
237.75	49722.58
237.79	49729.68
237.83	49736.79
237.87	49743.9
237.91	49751
237.95	49758.11
237.99	49765.21
238.03	49772.32
