depth(m)	initial_age(kiloyear)
117.02	37576.2
117.02	37576.2
117.06	37582.63
117.1	37589.06
117.14	37595.48
117.18	37601.91
117.22	37608.33
117.26	37614.76
117.3	37621.19
117.34	37627.61
117.38	37634.04
117.42	37640.47
117.46	37646.89
117.5	37653.32
117.54	37659.75
117.58	37666.17
117.62	37672.6
117.66	37679.03
117.7	37685.45
117.74	37691.88
117.78	37698.31
117.82	37704.73
117.86	37711.16
117.9	37717.58
117.94	37724.01
117.98	37730.44
118.02	37736.86
118.06	37743.29
118.1	37749.72
118.14	37756.14
118.18	37762.57
118.22	37769
118.26	37775.42
118.3	37781.85
118.34	37788.28
118.38	37794.7
118.42	37801.13
118.46	37807.56
118.5	37813.98
118.54	37820.41
118.58	37826.83
118.62	37833.26
118.66	37839.69
118.7	37846.11
118.74	37852.54
118.78	37858.97
118.82	37865.39
118.86	37869.62
118.9	37873.11
118.94	37876.6
118.98	37880.09
119.02	37883.58
119.06	37887.07
119.1	37890.57
119.14	37894.06
119.18	37897.55
119.22	37901.04
119.26	37904.53
119.3	37908.02
119.34	37911.51
119.38	37915
119.42	37918.5
119.46	37921.99
119.49	37924.61
119.54	37928.97
119.58	37932.46
119.62	37935.95
119.66	37939.44
119.7	37942.93
119.74	37946.43
119.78	37949.92
119.82	37953.41
119.86	37956.9
119.9	37960.39
119.94	37963.88
119.98	37967.37
120.02	37970.86
120.06	37974.36
120.1	37977.85
120.14	37981.34
120.18	37984.83
120.22	37988.32
120.26	37991.81
120.3	37995.3
120.34	37998.79
120.38	38002.29
120.42	38005.78
120.46	38009.27
120.5	38012.76
120.54	38016.25
120.58	38019.74
120.62	38023.23
120.66	38026.72
120.7	38030.21
120.74	38033.71
120.78	38037.2
120.82	38040.69
120.86	38044.18
120.9	38047.67
120.94	38051.16
120.98	38054.65
121.02	38058.14
121.06	38061.64
121.1	38065.13
121.14	38068.62
121.18	38072.11
121.22	38075.6
121.26	38079.09
121.3	38082.58
121.34	38086.07
121.38	38089.57
121.42	38093.06
121.46	38096.55
121.5	38100.04
121.54	38103.53
121.58	38107.02
121.62	38110.51
121.66	38114
121.7	38117.5
121.74	38120.99
121.78	38124.48
121.82	38127.97
121.86	38131.46
121.9	38134.95
121.94	38138.44
121.98	38141.93
122.02	38145.43
122.06	38148.92
122.1	38152.41
122.14	38155.9
122.18	38159.39
122.22	38162.88
122.26	38166.37
122.3	38169.86
122.34	38173.36
122.38	38176.85
122.42	38180.34
122.46	38183.83
122.49	38186.45
122.54	38190.81
122.58	38194.3
122.62	38197.79
122.66	38201.29
122.7	38204.78
122.74	38208.27
122.78	38211.76
122.82	38215.25
122.86	38218.74
122.9	38222.23
122.94	38225.72
122.98	38229.21
123.02	38232.71
123.06	38236.2
123.1	38239.69
123.14	38243.18
123.18	38246.67
123.22	38250.16
123.26	38253.65
123.3	38257.14
123.34	38260.64
123.38	38264.13
123.42	38270.28
123.46	38277.31
123.5	38284.35
123.54	38291.39
123.58	38298.43
123.62	38305.46
123.66	38312.5
123.7	38319.54
123.74	38326.57
123.78	38333.61
123.82	38340.65
123.86	38347.69
123.9	38354.72
123.94	38361.76
123.98	38368.8
124.02	38375.83
124.06	38382.87
124.1	38389.91
124.14	38396.94
124.18	38403.98
124.22	38411.02
124.26	38418.06
124.3	38425.09
124.34	38432.13
124.38	38439.17
124.42	38446.2
124.46	38453.24
124.5	38460.28
124.54	38467.31
124.58	38474.35
124.62	38481.39
124.66	38488.43
124.7	38495.46
124.74	38502.5
124.78	38509.54
124.82	38516.57
124.86	38523.61
124.9	38530.65
124.94	38537.69
124.98	38544.72
125.02	38551.76
125.06	38558.8
125.1	38565.83
125.14	38572.87
125.18	38579.91
125.22	38586.94
125.26	38593.98
125.3	38601.02
125.34	38608.06
125.38	38615.09
125.42	38622.13
125.46	38629.17
125.5	38636.2
125.54	38643.24
125.58	38649.21
125.62	38654.82
125.66	38660.43
125.7	38666.04
125.74	38671.65
125.78	38677.27
125.8	38680.07
125.84	38685.68
125.88	38691.29
125.92	38696.91
125.96	38702.52
126	38708.13
126.04	38713.74
126.08	38719.35
126.12	38724.96
126.16	38730.58
126.2	38736.19
126.24	38741.8
126.28	38747.41
126.31	38751.62
126.36	38758.63
126.4	38764.24
126.44	38769.86
126.48	38775.47
126.52	38781.08
126.56	38786.69
126.6	38792.3
126.64	38797.91
126.68	38803.53
126.72	38809.14
126.76	38814.75
126.8	38820.36
126.84	38825.97
126.88	38831.58
126.92	38837.19
126.96	38842.81
127	38848.42
127.04	38854.03
127.08	38859.64
127.12	38865.25
127.16	38870.86
127.2	38876.47
127.24	38882.09
127.28	38887.7
127.32	38893.31
127.36	38898.92
127.4	38904.53
127.44	38910.14
127.48	38915.76
127.52	38921.37
127.56	38926.98
127.6	38932.59
127.64	38938.2
127.68	38943.81
127.72	38949.42
127.76	38955.04
127.8	38960.65
127.84	38966.26
127.88	38971.87
127.92	38977.48
127.96	38983.09
128	38988.71
128.04	38994.32
128.08	38999.93
128.12	39005.54
128.16	39011.15
128.2	39016.76
128.24	39022.38
128.28	39027.99
128.32	39033.6
128.36	39038.12
128.4	39042.28
128.44	39046.44
128.48	39050.6
128.52	39054.75
128.56	39058.91
128.6	39063.07
128.64	39067.23
128.68	39071.39
128.72	39075.55
128.76	39079.71
128.8	39083.87
128.84	39088.02
128.88	39092.18
128.92	39096.34
128.96	39100.5
129	39104.66
129.04	39108.82
129.08	39112.98
129.12	39117.14
129.16	39121.29
129.2	39125.45
129.24	39129.61
129.28	39133.77
129.31	39136.89
129.36	39142.09
129.4	39146.18
129.44	39150.13
129.48	39154.07
129.51	39157.02
129.56	39161.95
129.6	39165.9
129.64	39169.84
129.68	39173.78
129.72	39177.73
129.76	39181.67
129.8	39185.61
129.84	39189.55
129.88	39193.5
129.92	39197.44
129.96	39201.38
130	39205.33
130.04	39209.27
130.08	39213.21
130.12	39217.15
130.16	39221.1
130.2	39225.04
130.24	39228.98
130.28	39232.93
130.32	39236.87
130.36	39240.81
130.4	39244.75
130.44	39248.7
130.48	39252.64
130.52	39256.58
130.56	39260.53
130.6	39264.47
130.64	39268.41
130.68	39272.35
130.72	39276.3
130.76	39280.24
130.8	39284.18
130.84	39288.13
130.88	39292.07
130.92	39296.01
130.96	39299.96
131	39303.9
131.04	39307.84
131.08	39311.78
131.12	39315.73
131.16	39319.67
131.2	39323.61
131.24	39327.56
131.28	39331.5
131.32	39335.44
131.36	39339.38
131.4	39343.33
131.44	39347.27
131.48	39351.21
131.52	39355.16
131.56	39359.1
131.6	39363.04
131.64	39366.99
131.68	39370.93
131.72	39374.87
131.76	39378.81
131.8	39382.76
131.84	39386.7
131.88	39390.64
131.92	39394.59
131.96	39398.53
132	39402.47
132.04	39406.41
132.08	39410.36
132.08	39410.36
132.12	39414.3
132.121	39414.4
132.16	39418.24
132.161	39418.34
132.2	39422.19
132.24	39426.13
132.28	39430.07
132.32	39434.02
132.36	39438.95
132.4	39444.21
132.44	39449.47
132.48	39454.74
132.52	39460
132.56	39465.26
132.6	39470.53
132.64	39475.79
132.68	39481.05
132.72	39486.32
132.76	39491.58
132.8	39496.84
132.84	39502.11
132.88	39507.37
132.92	39512.63
132.96	39517.9
133	39523.16
133.04	39528.42
133.08	39533.68
133.12	39538.25
133.16	39542.57
133.2	39546.9
133.24	39551.23
133.28	39555.56
133.32	39559.89
133.36	39564.22
133.4	39568.54
133.44	39572.87
133.47	39576.12
133.52	39581.53
133.56	39585.86
133.6	39590.19
133.64	39594.51
133.68	39598.84
133.72	39603.17
133.76	39607.5
133.8	39611.83
133.84	39616.16
133.88	39620.49
133.92	39624.81
133.96	39629.14
134	39633.47
134.04	39637.8
134.08	39642.13
134.094	39643.641
134.12	39646.455
134.16	39650.784
134.2	39655.112
134.24	39659.441
134.268	39662.471
134.28	39663.769
134.32	39668.098
134.36	39672.425
134.4	39676.753
134.423	39679.243
134.44	39681.082
134.48	39685.41
134.52	39689.739
134.56	39694.067
134.576	39695.799
134.6	39698.397
134.64	39702.724
134.68	39707.051
134.72	39711.381
134.73	39712.463
134.75	39714.627
134.76	39715.708
134.8	39720.037
134.84	39724.366
134.88	39728.694
134.91	39731.94
134.92	39733.022
134.96	39737.352
135	39741.679
135.04	39746.006
135.08	39750.336
135.094	39751.85
135.12	39754.664
135.16	39758.993
135.2	39763.321
135.232	39766.783
135.24	39767.65
135.263	39770.138
135.28	39771.978
135.32	39776.307
135.36	39780.634
135.4	39784.962
135.418	39786.91
135.44	39789.291
135.48	39793.619
135.52	39797.948
135.57	39803.359
135.61	39807.687
135.65	39812.014
135.65	39812.014
135.69	39816.343
