Depth	d18O
332.41	-0.32
332.42	-0.257
332.44	-0.34
332.47	-0.31
332.487	-0.15
332.5	-0.28
332.511	-0.13
332.53	-0.24
332.536	-0.16
332.56	-0.14
332.56	-0.23
332.584	-0.19
332.59	-0.19
332.608	-0.25
332.62	-0.14
332.632	-0.26
332.65	-0.22
332.656	-0.27
332.68	-0.19
332.68	-0.31
332.702	-0.33
332.71	-0.26
332.724	-0.33
332.74	-0.29
332.746	-0.32
332.77	-0.28
332.79	-0.25
332.8	-0.26
332.812	-0.29
332.83	-0.34
332.834	-0.28
332.86	-0.31
332.878	-0.38
332.89	-0.35
332.9	-0.32
332.92	-0.3
332.922	-0.34
332.944	-0.32
332.95	-0.35
332.966	-0.29
332.98	-0.3
333.01	-0.31
333.01	-0.28
333.032	-0.1
333.04	-0.26
333.054	-0.02
333.07	-0.28
333.076	-0.05
333.098	-0.26
333.1	-0.37
333.12	-0.17
333.13	-0.23
333.142	-0.26
333.16	-0.35
333.163	-0.23
333.185	-0.27
333.19	-0.37
333.207	-0.25
333.22	-0.33
333.229	-0.28
333.25	-0.3
333.28	-0.36
333.31	-0.32
333.34	-0.5
333.37	-0.42
333.46	-0.35
333.52	-0.32
333.55	-0.37
333.58	-0.47
333.61	-0.43
333.64	-0.43
333.67	-0.4
333.7	-0.38
333.73	-0.47
333.76	-0.44
333.79	-0.44
333.86	-0.464
333.91	-0.341
333.96	-0.401
333.96	-0.398
334.01	-0.565
334.06	-0.421
334.11	-0.418
334.16	-0.286
334.21	-0.473
334.26	-0.534
334.31	-0.836
334.36	-1.178
334.36	-1.436
334.41	-1.257
334.46	-1.386
334.46	-1.543
334.51	-1.456
334.53	-1.675
334.55	-1.639
334.55	-1.496
334.57	-1.494
334.59	-1.444
334.61	-1.597
334.63	-1.793
334.63	-1.558
334.65	-1.882
334.67	-1.867
334.71	-1.957
334.73	-1.866
334.75	-2.052
334.77	-2.145
334.79	-2.023
334.81	-2.078
334.83	-2.137
334.85	-2.159
334.87	-2.14
334.89	-2.249
334.91	-2.266
334.93	-2.176
334.95	-2.188
334.97	-2.054
334.99	-2.034
335.01	-2
335.03	-1.796
335.05	-1.599
335.07	-1.655
335.07	-1.553
335.09	-1.475
335.11	-1.407
335.13	-1.63
335.15	-1.888
335.17	-1.791
335.17	-1.785
335.19	-1.486
335.21	-1.553
335.21	-1.382
335.228	-1.415
335.248	-1.783
335.288	-1.56
335.308	-0.805
335.328	-1.186
335.348	-0.705
335.368	-0.711
335.388	-0.918
335.408	-0.858
335.428	-0.847
335.448	-0.697
335.468	-0.739
335.488	-0.712
335.508	-0.71
335.518	-0.493
335.538	-0.637
335.558	-0.759
335.578	-0.68
335.598	-0.577
335.618	-0.682
