Depth	d18O
49.45	0.42
49.48	0.44
49.52	0.74
49.55	0.4
49.58	0.52
49.61	0.44
49.64	0.47
49.67	0.59
49.7	0.61
49.73	0.57
49.76	0.58
49.79	0.4
49.82	0.64
49.85	0.63
49.87	0.33
49.88	0.54
49.9	0.43
49.91	0.63
49.93	0.34
49.94	0.42
49.96	0.35
49.97	0.57
49.99	0.31
50	0.43
50.02	0.4
50.03	0.31
50.05	0.38
50.06	0.48
50.08	0.23
50.09	0.28
50.11	0.34
50.12	0.61
50.14	0.41
50.15	0.55
50.17	0.39
50.2	0.37
50.23	0.4
50.26	0.24
50.29	0.31
50.32	0.38
50.35	0.4
50.38	0.35
50.41	0.29
50.44	0.37
50.47	0.08
50.5	0.32
50.53	0.24
50.56	0.3
50.59	0.37
50.62	0.35
50.65	0.41
50.68	0.48
50.71	0.42
50.74	0.48
50.77	0.6
50.8	0.53
50.83	0.54
50.86	0.53
50.89	0.66
50.92	0.54
50.95	0.55
50.98	0.63
51.01	0.62
51.04	0.64
51.07	0.58
51.1	0.57
51.13	0.58
51.16	0.31
51.19	0.53
51.22	0.54
51.25	0.52
51.28	0.52
51.31	0.46
51.34	0.44
51.37	0.44
51.4	0.32
51.43	0.47
51.46	0.36
51.49	0.39
51.52	0.42
51.55	0.43
51.58	0.37
51.61	0.46
51.64	0.29
51.67	0.31
51.7	0.42
51.73	0.3
51.76	0.42
51.79	0.33
51.82	0.26
51.85	0.42
51.88	0.59
51.91	0.37
51.94	0.45
51.97	0.4
52	0.39
52.03	0.36
52.06	0.24
52.09	0.04
52.12	0.16
52.15	0.12
52.18	0.11
52.21	0.07
52.24	0.24
52.27	0.05
52.3	0.21
52.33	0.25
52.36	0.31
52.39	0.29
52.42	0.36
52.45	0.41
52.48	0.47
52.51	0.22
52.54	0.56
52.57	0.47
52.6	0.46
52.63	0.55
52.66	0.56
52.69	0.51
52.72	0.5
52.75	0.37
52.78	0.57
52.81	0.48
52.84	0.49
52.87	0.55
52.9	0.5
52.93	0.41
52.96	0.43
52.99	0.47
53.02	0.39
53.05	0.55
53.08	0.44
53.11	0.41
53.14	0.57
53.17	0.44
53.2	0.51
53.23	0.4
53.26	0.53
53.29	0.48
53.32	0.57
53.35	0.45
53.38	0.49
53.41	0.52
53.44	0.51
53.47	0.5
53.5	0.5
53.53	0.44
53.56	0.56
53.59	0.52
53.62	0.42
53.65	0.4
53.68	0.55
53.71	0.47
53.74	0.48
53.77	0.31
53.8	0.42
53.83	0.42
53.86	0.48
53.89	0.43
53.92	0.4
53.95	0.37
53.98	0.52
54.01	0.38
54.04	0.38
54.07	0.34
54.1	0.35
54.13	0.51
54.16	0.39
54.19	0.32
54.22	0.42
54.25	0.43
54.28	0.36
54.31	0.41
54.34	0.24
54.37	0.05
54.4	0.31
54.43	0.31
54.46	0.36
54.49	0.37
54.52	0.37
54.55	0.34
54.58	0.32
