depth(m)	initial_age(kiloyear)
49.45	39467.59
49.48	39468.41
49.52	39469.23
49.55	39470.05
49.58	39470.88
49.61	39471.7
49.64	39472.52
49.67	39473.34
49.7	39474.17
49.73	39474.99
49.76	39475.81
49.79	39476.63
49.82	39477.4
49.85	39478.39
49.87	39479.05
49.88	39479.37
49.9	39480.03
49.91	39480.36
49.93	39481.02
49.94	39481.35
49.96	39482.01
49.97	39482.34
49.99	39482.99
50	39483.32
50.02	39483.98
50.03	39484.31
50.05	39484.97
50.06	39485.3
50.08	39485.95
50.09	39486.28
50.11	39486.94
50.12	39487.27
50.14	39487.93
50.15	39488.26
50.17	39488.91
50.2	39489.9
50.23	39490.89
50.26	39491.88
50.29	39492.86
50.32	39493.85
50.35	39494.84
50.38	39495.82
50.41	39496.81
50.44	39497.8
50.47	39498.78
50.5	39499.77
50.53	39500.76
50.56	39501.75
50.59	39502.73
50.62	39503.72
50.65	39504.71
50.68	39505.69
50.71	39506.68
50.74	39507.67
50.77	39508.65
50.8	39509.64
50.83	39510.63
50.86	39511.61
50.89	39512.6
50.92	39513.59
50.95	39514.58
50.98	39515.56
51.01	39516.55
51.04	39517.54
51.07	39518.52
51.1	39519.51
51.13	39520.5
51.16	39521.48
51.19	39522.47
51.22	39523.46
51.25	39524.44
51.28	39525.43
51.31	39526.42
51.34	39527.41
51.37	39528.39
51.4	39529.38
51.43	39530.37
51.46	39531.35
51.49	39532.34
51.52	39533.33
51.55	39534.31
51.58	39535.3
51.61	39536.29
51.64	39537.27
51.67	39538.26
51.7	39539.25
51.73	39540.24
51.76	39541.22
51.79	39542.21
51.82	39543.2
51.85	39544.18
51.88	39545.17
51.91	39546.16
51.94	39547.14
51.97	39548.13
52	39549.12
52.03	39550.1
52.06	39551.09
52.09	39552.08
52.12	39553.07
52.15	39554.05
52.18	39555.04
52.21	39556.03
52.24	39557.01
52.27	39558
52.3	39558.99
52.33	39559.97
52.36	39560.96
52.39	39561.95
52.42	39562.93
52.45	39563.92
52.48	39564.91
52.51	39565.9
52.54	39566.88
52.57	39567.87
52.6	39568.86
52.63	39569.84
52.66	39570.83
52.69	39571.82
52.72	39572.8
52.75	39573.79
52.78	39574.78
52.81	39575.76
52.84	39576.75
52.87	39577.74
52.9	39578.73
52.93	39579.71
52.96	39580.7
52.99	39581.69
53.02	39582.67
53.05	39583.66
53.08	39584.65
53.11	39585.63
53.14	39586.62
53.17	39587.61
53.2	39588.59
53.23	39589.58
53.26	39590.57
53.29	39591.56
53.32	39592.54
53.35	39593.53
53.38	39594.52
53.41	39595.5
53.44	39596.49
53.47	39597.48
53.5	39598.46
53.53	39599.45
53.56	39600.44
53.59	39601.42
53.62	39602.41
53.65	39603.4
53.68	39604.39
53.71	39605.37
53.74	39606.36
53.77	39607.35
53.8	39608.33
53.83	39609.32
53.86	39610.31
53.89	39611.29
53.92	39612.28
53.95	39613.27
53.98	39614.25
54.01	39615.24
54.04	39616.23
54.07	39617.22
54.1	39618.2
54.13	39619.19
54.16	39620.18
54.19	39621.16
54.22	39622.15
54.25	39623.14
54.28	39624.12
54.31	39625.11
54.34	39626.1
54.37	39627.09
54.4	39628.07
54.43	39629.06
54.46	39630.05
54.49	39631.03
54.52	39632.02
54.55	39633.01
54.58	39633.99
54.61	39634.98
54.64	39635.97
54.67	39636.95
54.7	39637.94
54.73	39638.93
54.76	39639.92
54.79	39640.9
54.82	39641.89
54.85	39642.88
54.88	39643.86
54.91	39644.85
54.94	39645.84
54.97	39646.82
55	39647.81
55.03	39648.8
55.06	39649.78
55.09	39650.77
55.12	39651.76
55.15	39652.75
55.18	39653.73
55.21	39654.72
55.24	39655.71
55.27	39656.69
55.3	39657.68
55.33	39658.67
55.36	39659.65
55.39	39660.64
55.42	39661.63
55.45	39662.61
55.48	39663.6
55.51	39664.59
55.54	39665.58
55.57	39666.56
55.6	39667.55
55.63	39668.54
55.66	39669.52
55.69	39670.51
55.72	39671.5
55.75	39672.48
55.78	39673.47
55.809	39674.43
55.81	39674.46
55.837	39675.35
55.84	39675.44
55.865	39676.27
55.87	39676.43
55.893	39677.18
55.9	39677.42
55.921	39678.1
55.93	39678.41
55.95	39679.06
55.966	39679.59
55.98	39680.05
56.002	39680.78
56.01	39681.04
56.038	39681.97
56.04	39682.02
56.074	39683.15
56.1	39684
56.13	39684.98
56.16	39685.97
56.19	39686.96
56.22	39687.95
56.28	39689.92
56.31	39690.91
56.34	39691.89
56.37	39692.88
56.4	39693.87
56.43	39694.85
56.46	39695.84
56.49	39696.83
56.52	39697.82
56.58	39699.79
56.61	39700.78
56.64	39701.76
56.67	39702.75
56.7	39703.74
56.73	39704.72
56.76	39705.71
56.79	39706.7
56.82	39707.68
56.85	39708.67
56.88	39709.66
56.91	39710.65
56.94	39711.63
56.97	39712.62
57	39713.61
57.03	39714.59
57.06	39715.58
57.09	39716.57
57.12	39717.55
57.15	39718.54
57.18	39719.53
57.21	39720.51
57.24	39721.5
57.27	39722.49
57.3	39723.48
57.33	39724.46
57.36	39725.45
57.39	39726.44
57.42	39727.42
57.45	39728.41
57.48	39729.4
57.51	39730.38
57.54	39731.37
57.57	39732.36
57.6	39733.34
57.63	39734.33
57.66	39735.32
57.69	39736.31
57.72	39737.29
57.75	39738.28
57.78	39739.27
57.81	39740.25
57.84	39741.24
57.87	39742.23
57.9	39743.21
57.93	39744.2
57.96	39745.19
57.99	39746.17
58.02	39747.16
58.05	39748.15
58.08	39749.14
58.11	39750.12
58.14	39751.11
58.17	39752.1
58.2	39753.08
58.23	39754.07
58.26	39755.06
58.29	39756.04
58.32	39757.03
58.35	39758.02
58.38	39759
58.41	39759.99
58.44	39760.98
58.47	39761.97
58.5	39762.95
58.53	39763.94
58.56	39764.93
58.59	39765.91
58.62	39766.9
58.65	39767.89
58.68	39768.87
58.71	39769.86
58.74	39770.85
58.77	39771.83
58.8	39772.82
58.83	39773.81
58.86	39774.8
58.89	39775.78
58.92	39776.77
58.95	39777.76
58.98	39778.74
59.01	39779.73
59.04	39780.72
59.07	39781.7
59.1	39782.69
59.13	39783.68
59.16	39784.66
59.19	39785.65
59.22	39786.64
59.25	39787.63
59.28	39788.61
59.31	39789.6
59.34	39790.59
59.37	39791.57
59.4	39792.56
59.43	39793.55
59.46	39794.53
59.49	39795.52
59.52	39796.51
59.55	39797.49
59.58	39798.48
59.61	39799.47
59.64	39800.46
59.67	39801.44
59.7	39802.43
59.73	39803.42
59.76	39804.4
59.79	39805.39
59.82	39806.38
59.85	39807.36
59.88	39808.35
59.91	39809.34
59.94	39810.33
59.97	39811.31
60	39812.3
60.03	39813.29
60.06	39814.27
60.09	39815.26
60.12	39816.25
60.15	39817.23
60.18	39818.22
60.21	39819.21
60.24	39820.19
60.27	39821.18
60.3	39822.17
60.33	39823.16
60.36	39824.14
60.39	39825.13
60.42	39826.12
60.45	39827.1
60.48	39828.09
60.51	39829.08
60.54	39830.06
60.57	39831.05
60.6	39832.04
60.63	39833.02
60.66	39834.01
60.69	39835
60.72	39835.99
60.75	39836.97
60.78	39837.96
60.81	39838.95
60.84	39839.93
60.87	39840.92
60.9	39841.91
60.93	39842.89
60.96	39843.88
60.99	39844.87
61.02	39845.85
61.05	39846.84
61.08	39847.83
61.11	39848.82
61.14	39849.8
61.17	39850.79
61.2	39851.78
61.23	39852.76
61.26	39853.75
61.29	39854.74
61.32	39855.72
61.35	39856.71
61.38	39857.7
61.405	39858.53
61.41	39858.68
61.433	39859.46
61.44	39859.67
61.462	39860.39
61.47	39860.66
61.49	39861.32
61.506	39861.84
61.52	39862.3
61.55	39863.29
61.554	39863.42
61.58	39864.28
61.602	39865
61.61	39865.26
61.64	39866.25
61.65	39866.58
61.67	39867.24
61.7	39868.22
61.73	39869.21
61.76	39870.2
61.79	39871.19
61.82	39872.17
61.85	39873.16
61.88	39874.15
61.91	39875.13
61.94	39876.12
61.97	39877.11
62	39878.09
62.03	39879.08
62.06	39880.07
62.09	39881.06
62.12	39882.04
62.15	39883.03
62.18	39884.02
62.21	39885
62.24	39885.99
62.27	39886.98
62.3	39887.96
62.33	39888.95
62.36	39889.94
62.39	39890.92
62.42	39891.91
62.45	39892.9
62.48	39893.89
62.51	39894.87
62.54	39895.86
62.57	39896.85
62.6	39897.83
62.63	39898.82
62.66	39899.81
62.69	39900.79
62.72	39901.78
62.75	39902.77
62.78	39903.75
62.81	39904.74
62.84	39905.73
62.87	39906.72
62.9	39907.7
62.93	39908.69
62.96	39909.68
62.99	39910.66
63.02	39911.65
63.05	39912.64
63.08	39913.62
63.11	39914.61
63.14	39915.6
63.17	39916.58
63.2	39917.57
63.23	39918.56
63.26	39919.55
63.29	39920.53
63.32	39921.52
63.35	39922.51
63.38	39923.49
63.41	39924.48
63.44	39925.47
63.47	39926.45
63.5	39927.51
63.53	39928.79
63.56	39930.07
63.59	39931.34
63.62	39932.62
63.65	39933.89
63.68	39935.17
63.71	39936.44
63.74	39937.72
63.77	39939
63.8	39940.27
63.83	39941.55
63.86	39942.82
63.89	39944.1
63.92	39945.37
63.95	39946.65
63.98	39947.93
64.01	39949.2
64.04	39950.48
64.07	39951.75
64.1	39953.03
64.13	39954.3
64.16	39955.58
64.185	39956.63
64.206	39957.56
64.228	39958.49
64.25	39959.42
64.272	39960.35
64.294	39961.28
64.316	39962.21
64.338	39963.14
64.36	39964.08
64.382	39965.01
64.404	39965.94
64.425	39966.87
64.447	39967.8
64.469	39968.73
64.491	39969.66
64.513	39970.59
64.535	39971.53
64.557	39972.46
64.579	39973.39
64.601	39974.32
64.623	39975.25
64.645	39976.18
64.65	39976.42
64.666	39977.11
64.68	39977.69
64.688	39978.04
64.71	39978.97
64.71	39978.98
64.732	39979.91
64.74	39980.24
64.754	39980.84
64.77	39981.52
64.776	39981.77
64.798	39982.7
64.8	39982.79
64.82	39983.63
64.83	39984.07
64.842	39984.56
64.86	39985.35
64.864	39985.49
64.885	39986.43
64.89	39986.62
64.92	39987.9
64.94	39988.75
64.98	39990.45
65.01	39991.72
65.04	39993
65.07	39994.27
65.1	39995.55
65.16	39998.1
65.19	39999.38
65.22	40000.65
65.25	40001.93
65.28	40003.2
65.31	40004.48
65.34	40005.76
65.38	40007.46
65.4	40008.31
65.43	40009.58
65.46	40010.86
65.48	40011.55
65.49	40012.13
65.5	40012.58
65.52	40013.41
65.52	40013.61
65.55	40014.65
65.55	40014.69
65.58	40016.02
65.6	40016.81
65.61	40017.06
65.62	40017.66
65.63	40018.09
65.644	40018.69
65.686	40020.48
65.69	40020.64
65.72	40021.91
65.729	40022.28
65.75	40023.19
65.771	40024.08
65.78	40024.47
65.81	40025.74
65.813	40025.87
65.84	40027.02
65.9	40029.57
65.92	40030.42
65.94	40031.27
65.97	40032.54
66	40033.82
66.03	40035.1
66.07	40036.8
66.1	40038.07
66.16	40040.62
66.19	40041.9
66.22	40043.18
66.25	40044.45
66.28	40045.73
66.31	40047
66.34	40048.28
66.38	40049.98
66.41	40051.25
66.44	40052.53
66.47	40053.81
66.5	40055.08
66.53	40056.36
66.57	40058.06
66.6	40059.33
66.63	40060.61
66.66	40061.89
66.69	40063.16
66.72	40064.44
66.75	40065.71
66.81	40068.26
66.84	40069.54
66.88	40071.24
66.91	40072.52
66.94	40073.79
66.97	40075.07
67	40076.34
67.03	40077.62
67.1	40080.6
67.13	40081.87
67.16	40083.15
67.19	40084.42
67.22	40085.7
67.25	40086.97
67.31	40089.38
67.34	40090.32
67.38	40091.56
67.41	40092.5
67.44	40093.44
67.47	40094.37
67.57	40097.49
67.6	40098.43
67.63	40099.37
67.66	40100.3
67.72	40102.17
67.78	40104.05
67.81	40104.98
67.91	40108.1
67.97	40109.98
68	40110.91
68.03	40111.85
68.07	40113.1
68.1	40114.03
68.13	40114.97
68.16	40115.91
68.19	40116.84
68.25	40118.71
68.28	40119.65
68.31	40120.59
68.34	40121.52
68.38	40122.77
68.44	40124.64
68.47	40125.58
68.53	40127.45
68.66	40131.51
68.69	40132.44
68.72	40133.38
68.75	40134.32
68.78	40135.25
68.81	40136.19
68.84	40137.13
68.88	40138.37
68.91	40139.31
68.94	40140.25
68.97	40141.18
69	40142.12
69.03	40143.06
69.07	40144.3
69.1	40145.24
69.13	40146.18
69.16	40147.11
69.19	40148.05
69.22	40148.98
69.25	40149.92
69.28	40150.86
69.31	40151.79
69.34	40152.73
69.38	40153.98
69.41	40154.91
69.44	40155.85
69.47	40156.79
69.5	40157.72
69.53	40158.66
69.57	40159.91
69.6	40160.84
69.63	40161.78
69.66	40162.72
69.69	40163.65
69.72	40164.59
69.78	40166.46
69.81	40167.4
69.84	40168.33
69.88	40169.58
69.91	40170.52
69.94	40171.45
69.97	40172.39
70	40173.33
70.03	40174.26
70.1	40176.45
70.13	40177.38
70.16	40178.32
70.19	40179.25
70.22	40180.19
70.25	40181.13
70.28	40182.06
70.31	40183
70.34	40183.97
70.38	40185.29
70.41	40186.28
70.44	40187.27
70.47	40188.27
70.5	40189.26
70.53	40190.25
70.57	40191.57
70.6	40192.56
70.66	40194.55
70.69	40195.54
70.75	40197.52
70.78	40198.51
70.81	40199.5
70.84	40200.5
70.88	40201.82
70.91	40202.81
70.94	40203.8
70.97	40204.79
71.03	40206.78
71.07	40208.1
71.1	40209.09
71.13	40210.08
71.16	40211.07
71.19	40212.06
71.22	40213.05
71.25	40214.05
71.31	40216.03
71.41	40219.33
71.44	40220.33
71.47	40221.32
71.5	40222.31
71.53	40223.3
71.57	40224.62
71.619	40226.25
71.644	40227.06
71.668	40227.88
71.693	40228.69
71.711	40229.3
71.718	40229.5
71.742	40230.32
71.749	40230.55
71.787	40231.8
71.792	40231.94
71.824	40233.03
71.825	40233.06
71.849	40233.84
71.863	40234.31
71.874	40234.66
71.901	40235.57
71.939	40236.82
71.977	40238.07
72.005	40239
72.015	40239.33
72.053	40240.58
72.054	40240.62
72.079	40241.44
72.091	40241.84
72.103	40242.25
72.129	40243.09
72.144	40243.61
72.167	40244.35
72.194	40245.23
72.205	40245.6
72.24	40246.77
72.263	40247.52
72.27	40247.76
72.29	40248.42
72.3	40248.75
72.33	40249.74
72.36	40250.73
72.39	40251.72
72.42	40252.72
72.45	40253.71
72.48	40254.7
72.51	40255.69
72.54	40256.68
72.57	40257.67
72.6	40258.67
72.63	40259.66
72.66	40260.65
72.69	40261.64
72.72	40262.63
72.75	40263.62
72.78	40264.61
72.81	40265.61
72.84	40266.6
72.87	40267.59
72.93	40269.57
72.99	40271.56
73.05	40273.54
73.08	40274.53
73.14	40276.51
73.17	40277.5
73.2	40278.5
73.29	40281.47
73.32	40282.46
73.35	40283.45
73.38	40284.45
73.41	40285.44
73.44	40286.43
73.47	40287.42
73.5	40288.41
73.53	40289.4
73.56	40290.39
73.59	40291.39
73.62	40292.38
