depth(m)	initial_age(kiloyear)
0.0725	5.26
0.115	8.35
0.18	13.2
0.235	17.36
0.275	19.37
0.295	20.15
0.3075	20.64
0.335	21.71
0.3725	23.17
0.395	24.05
0.445	25.99
0.465	26.77
0.525	29.11
0.565	32.1
0.625	37.29
0.67	41.18
0.7	43.77
0.725	45.94
0.765	49.4
0.8175	53.94
0.855	58.3
0.87	60.44
0.905	65.42
0.945	71.12
0.995	73.37
1.025	74.73
1.0675	76.65
1.113	78.71
1.135	80.27
1.175	84.34
1.2125	88.15
1.25	91.79
1.275	93.9
1.315	97.28
1.365	101.5
1.425	106.57
1.475	110.79
1.545	114.99
1.565	116.19
1.615	119.19
1.665	122.19
1.715	124.78
1.765	127.38
1.8125	129.84
1.865	132.66
1.915	135.34
1.965	138.51
