Depth	d18O
8.19	4.25
8.22	3.95
8.25	3.96
8.28	3.42
8.31	4.13
8.34	3.65
8.4	3.46
8.43	3.51
8.49	4.38
8.52	4.57
8.55	4.05
8.58	4.86
8.61	4.89
8.64	4.81
8.67	5.01
8.7	4.88
8.73	4.86
8.76	4.57
8.79	4.87
8.82	5.21
8.85	4.61
8.88	4.55
8.94	4.43
8.97	4.35
9.03	4.62
9.06	4.48
9.09	4.67
9.14	4.62
9.18	4.36
9.24	3.93
9.27	4.04
9.3	3.92
9.33	3.95
9.36	4.3
9.39	4.11
9.42	3.87
9.45	3.93
9.46	3.94
9.48	3.77
9.51	3.8
9.53	3.79
9.54	3.64
9.57	3.27
9.6	3.35
9.63	3.19
9.66	3.14
9.69	3.26
9.72	3.1
9.75	3.13
9.78	3.0
9.81	3.22
9.84	3.29
9.87	3.29
9.9	3.72
9.93	3.73
9.96	3.87
9.99	4.1
10.02	4.13
10.03	4.49
10.05	4.55
10.08	4.84
10.1	4.8
10.11	5.04
10.14	5.11
10.17	5.18
10.2	5.11
10.23	5.23
10.26	5.09
10.29	5.07
10.32	5.03
10.35	5.01
10.37	5.21
10.38	5.08
10.41	4.87
10.44	4.89
10.47	4.88
10.5	4.69
10.52	4.8
10.53	4.84
10.59	4.61
10.62	4.77
10.65	4.32
10.68	4.78
10.71	4.71
10.74	4.65
10.77	4.61
10.8	4.38
10.85	4.44
10.89	4.37
10.92	4.31
10.95	4.46
10.98	4.57
11.01	4.41
11.04	4.33
11.07	4.18
11.1	3.77
11.13	3.79
11.18	3.58
11.22	3.54
11.25	3.46
11.28	3.09
11.31	3.81
11.34	3.6
11.37	4.02
11.4	3.88
11.43	3.88
11.46	3.79
11.49	3.73
11.52	4.07
11.55	4.17
11.58	4.3
11.61	4.41
11.64	4.06
11.67	4.16
11.7	3.33
11.73	3.95
11.74	4.02
11.79	3.95
