Depth	d18O
4.85	4.02
4.9	4.12
4.95	4.03
5.0	3.96
5.05	4.03
5.1	4.01
5.15	4.05
5.2	3.86
5.25	3.59
5.3	3.76
5.35	4.54
5.4	4.57
5.45	4.83
5.5	4.71
5.55	4.8
5.6	4.75
5.65	4.19
5.7	4.71
5.75	4.38
5.8	4.51
5.85	4.41
5.9	4.5
5.95	4.36
6.0	4.42
6.05	4.17
6.1	4.14
6.15	4.1
6.2	3.85
6.25	4.16
6.3	3.41
6.35	3.46
6.4	3.96
6.45	3.91
6.5	5.14
6.55	5.03
6.6	4.96
6.65	4.81
6.7	4.67
6.75	4.77
6.8	4.64
6.85	4.55
6.9	4.57
6.95	4.53
7.0	4.48
7.05	4.33
7.1	4.04
7.15	4.03
7.2	3.71
7.25	3.72
7.3	3.81
7.35	4.02
7.4	3.98
7.45	4.06
7.5	4.28
7.55	4.16
7.6	4.19
7.65	4.51
7.7	4.66
7.75	4.44
7.8	4.47
7.85	3.98
7.9	4.04
7.95	4.1
8.0	3.79
8.05	4.04
8.1	4.18
8.15	4.08
8.2	3.98
8.25	4.07
8.3	4.06
8.35	4.05
8.4	4.65
8.45	5.0
8.5	4.7
8.55	4.8
8.6	4.88
8.65	4.84
8.7	4.75
8.75	4.67
