Depth	d18O
0.02	3.15
0.02	3.16
0.02	3.32
0.02	2.96
0.02	3.23
0.02	3.61
0.02	3.37
0.02	2.8
0.04	3.41
0.04	3.37
0.06	3.4
0.06	3.4
0.08	3.23
0.08	3.45
0.1	3.39
0.1	3.31
0.1	3.46
0.1	3.38
0.1	3.82
0.1	3.38
0.1	3.3
0.1	3.47
0.14	3.57
0.14	3.31
0.2	3.11
0.2	2.91
0.2	3.31
0.2	3.51
0.2	3.7
0.2	3.56
0.25	3.65
0.25	3.49
0.25	3.68
0.3	3.28
0.3	3.21
0.3	3.35
0.3	3.7
0.3	3.66
0.3	3.6
0.31	3.84
0.31	3.84
0.31	3.94
0.35	4.15
0.35	4.12
0.35	4.25
0.4	4.05
0.4	4.46
0.4	3.64
0.4	4.5
0.4	4.29
0.41	4.8
0.41	4.36
0.45	5.03
0.45	5.0
0.45	4.96
0.45	4.9
0.5	4.94
0.5	5.1
0.5	4.53
0.5	5.19
0.5	5.08
0.5	4.67
0.55	4.53
0.55	4.44
0.55	4.71
0.6	4.86
0.6	4.98
0.6	4.73
0.6	5.0
0.6	5.06
0.6	5.03
0.6	4.93
0.6	4.84
0.6	4.95
0.6	4.89
0.65	4.99
0.65	4.88
0.7	4.93
0.7	4.91
0.7	4.95
0.7	4.69
0.71	4.52
0.71	4.87
0.71	4.8
0.75	4.71
0.75	4.91
0.75	4.85
0.8	4.96
0.8	5.02
0.8	4.9
0.8	4.97
0.8	4.99
0.8	4.79
0.9	4.93
0.9	4.95
0.9	4.91
0.9	4.46
0.9	4.55
0.9	4.68
1.0	4.46
1.0	4.45
1.0	4.46
1.0	4.58
1.0	4.47
1.0	4.67
