depth(m)	initial_age(kiloyear)
0.005	0.3
0.015	0.9
0.025	1.5
0.035	2.1
0.045	2.6
0.055	3.2
0.065	3.6
0.075	3.9
0.085	4.3
0.095	4.7
0.105	5.0
0.115	5.4
0.125	5.8
0.135	6.2
0.145	6.6
0.155	7.0
0.165	7.4
0.175	7.7
0.185	7.9
0.195	8.2
0.205	8.4
0.215	8.6
0.225	8.9
0.235	9.3
0.245	9.7
0.255	10.1
0.265	10.4
0.275	10.8
0.285	11.2
0.295	11.6
0.305	12.0
0.315	12.4
0.325	12.8
0.335	13.1
0.345	13.4
0.355	13.8
0.365	14.1
0.375	14.4
0.385	14.8
0.395	15.1
0.405	15.4
0.415	15.6
0.425	15.8
0.435	15.9
0.445	16.0
0.455	16.3
0.465	16.6
0.475	16.9
0.485	17.3
0.495	17.6
0.505	18.0
0.515	18.4
0.525	18.7
0.535	19.1
0.545	19.4
0.555	19.8
0.565	20.1
0.575	20.5
0.585	20.8
0.595	21.2
0.605	21.5
0.615	21.9
0.625	22.2
0.635	22.6
0.645	22.9
0.655	23.3
0.665	23.7
0.675	24.2
0.685	24.6
0.695	25.1
0.705	25.5
0.715	26.0
0.725	26.4
0.735	26.9
0.745	27.3
0.755	27.7
0.765	27.9
0.775	28.1
0.785	28.2
0.795	28.4
0.805	28.5
0.815	28.6
0.825	28.8
0.835	28.9
0.845	29.1
0.855	29.3
0.865	29.6
0.875	29.9
0.885	30.3
0.895	30.6
0.905	30.9
0.915	31.2
0.925	31.5
0.935	31.8
0.945	32.1
0.955	32.5
0.965	33.1
0.975	33.9
0.985	34.7
0.995	35.5
1.005	36.2
1.015	37.0
1.025	37.8
1.035	38.5
1.045	39.3
1.055	40.0
1.065	40.5
1.075	41.0
1.085	41.4
1.095	41.8
1.105	42.2
1.115	42.6
1.125	43.0
1.135	43.4
1.145	43.8
1.155	44.2
1.165	44.5
1.175	44.9
1.185	45.3
1.195	45.7
1.205	46.1
1.215	46.5
1.225	46.9
1.235	47.3
1.245	47.7
1.255	48.1
1.265	48.5
1.275	48.9
1.285	49.3
1.295	49.7
1.305	50.1
1.315	50.5
1.325	50.9
1.335	51.3
1.345	51.7
1.355	52.1
1.365	52.5
1.375	53.0
1.385	53.4
1.395	53.8
1.405	54.2
1.415	54.6
1.425	55.0
1.435	55.4
1.445	55.8
1.455	56.3
1.465	56.7
1.475	57.1
1.485	57.5
1.495	57.9
1.505	58.3
1.515	58.7
1.525	59.2
1.535	59.6
1.545	60.0
1.555	60.4
1.565	60.8
1.575	61.2
1.585	61.6
1.595	62.0
1.605	62.4
1.615	62.8
1.625	63.2
1.635	63.6
1.645	63.9
1.655	64.3
1.665	64.6
1.675	65.0
1.685	65.3
1.695	65.7
1.705	66.0
1.715	66.3
1.725	66.7
1.735	67.0
1.745	67.3
1.755	67.6
1.765	67.9
1.775	68.2
1.785	68.6
1.795	68.9
1.805	69.2
1.815	69.5
1.825	69.8
1.835	70.1
1.845	70.4
1.855	70.7
1.865	71.0
1.875	71.3
1.885	71.6
1.895	71.9
1.905	72.2
1.915	72.5
1.925	72.8
1.935	73.1
1.945	73.4
1.955	73.7
1.965	73.9
1.975	74.2
1.985	74.5
1.995	74.8
2.005	75.1
2.015	75.4
2.025	75.7
2.035	76.0
2.045	76.3
2.055	76.6
2.065	76.9
2.075	77.2
2.085	77.5
2.095	77.8
2.105	78.1
2.115	78.4
2.125	78.7
2.135	78.9
2.145	79.2
2.155	79.5
2.165	79.8
2.175	80.1
2.185	80.4
2.195	80.7
2.205	81.0
2.215	81.3
2.225	81.6
2.235	81.9
2.245	82.2
2.255	82.4
2.265	82.7
2.275	83.0
2.285	83.3
2.295	83.6
2.305	83.9
2.315	84.2
2.325	84.4
2.335	84.7
2.345	85.0
2.355	85.3
2.365	85.6
2.375	85.9
2.385	86.2
2.395	86.5
2.405	86.7
2.415	87.0
2.425	87.3
2.435	87.6
2.445	87.9
2.455	88.2
2.465	88.5
2.475	88.8
2.485	89.0
2.495	89.3
2.505	89.6
2.515	89.9
2.525	90.2
2.535	90.5
2.545	90.8
2.555	91.1
2.565	91.3
2.575	91.6
2.585	91.9
2.595	92.2
2.605	92.5
2.615	92.8
2.625	93.1
2.635	93.4
2.645	93.6
2.655	93.9
2.665	94.2
2.675	94.5
2.685	94.8
2.695	95.1
2.705	95.4
2.715	95.7
2.725	96.0
2.735	96.3
2.745	96.5
2.755	96.8
2.765	97.1
2.775	97.4
2.785	97.7
2.795	98.0
2.805	98.3
2.815	98.6
2.825	98.9
2.835	99.2
2.845	99.5
2.855	99.8
2.865	100.0
2.875	100.3
2.885	100.6
2.895	100.9
2.905	101.2
2.915	101.5
2.925	101.8
2.935	102.1
2.945	102.4
2.955	102.7
2.965	103.0
2.975	103.3
2.985	103.6
2.995	103.8
3.005	104.1
3.015	104.4
3.025	104.7
3.035	105.0
3.045	105.3
3.055	105.6
3.065	105.9
3.075	106.2
3.085	106.5
3.095	106.8
3.105	107.1
3.115	107.4
3.125	107.7
3.135	108.0
3.145	108.3
3.155	108.6
3.165	108.9
3.175	109.2
3.185	109.5
3.195	109.8
3.205	110.1
3.215	110.4
3.225	110.7
3.235	111.0
3.245	111.3
3.255	111.6
3.265	111.9
3.275	112.2
3.285	112.5
3.295	112.8
3.305	113.1
3.315	113.4
3.325	113.7
3.335	114.0
3.345	114.3
3.355	114.6
3.365	114.9
3.375	115.2
3.385	115.5
3.395	115.8
3.405	116.1
3.415	116.4
3.425	116.7
3.435	117.0
3.445	117.3
3.455	117.5
3.465	117.8
3.475	118.1
3.485	118.4
3.495	118.6
3.505	118.9
3.515	119.1
3.525	119.4
3.535	119.7
3.545	119.9
3.555	120.2
3.565	120.4
3.575	120.7
3.585	121.0
3.595	121.2
3.605	121.4
3.615	121.7
3.625	121.9
3.635	122.2
3.645	122.4
3.655	122.6
3.665	122.9
3.675	123.1
3.685	123.3
3.695	123.6
3.705	123.8
3.715	124.0
3.725	124.3
3.735	124.5
3.745	124.7
3.755	125.0
3.765	125.2
3.775	125.5
3.785	125.7
3.795	126.0
3.805	126.3
3.815	126.5
3.825	126.8
3.835	127.0
3.845	127.3
3.855	127.6
3.865	127.8
3.875	128.1
3.885	128.4
3.895	128.7
3.905	129.0
3.915	129.3
