depth(m)	initial_age(kiloyear)
0.01	0.05282
0.1	0.6009
0.17	0.9663
0.26	1.5144
0.76	4.4375
0.83	4.8029
0.86	4.9856
0.95	5.5337
0.98	5.7164
1.01	5.899
1.11	6.4472
1.16	6.7755
1.18	6.8459
1.21	7.0584
1.25	7.2702
1.26	7.3413
1.27	7.4117
1.29	7.4827
1.31	7.6241
1.36	7.907
1.38	8.0484
1.42	8.2609
1.43	8.3319
1.46	8.4733
1.47	8.5437
1.5	8.7562
1.53	8.8976
1.54	8.9686
1.55	9.0391
1.57	9.1101
1.59	9.2515
1.6	9.3219
1.64	9.5629
1.66	9.6764
1.68	9.7899
1.72	10.017
1.76	10.244
1.8	10.455
1.83	10.665
1.98	11.506
3.17	18.912
3.29	19.601
3.32	19.803
3.66	21.149
3.73	21.448
4.17	23.249
4.22	23.422
4.3	23.767
4.47	24.458
4.52	24.631
4.86	26.013
4.96	26.445
4.99	26.532
5.03	26.708
5.25	27.605
5.43	28.323
5.49	28.592
5.52	28.681
5.56	28.861
5.61	29.04
5.74	29.571
5.79	29.806
5.85	30.04
5.97	30.509
6.03	30.743
6.06	30.861
6.08	30.978
6.08	30.978
6.11	31.095
6.14	31.212
6.17	31.33
6.17	31.33
6.2	31.447
6.23	31.564
6.26	31.682
6.29	31.799
6.35	32.033
6.58	32.971
6.61	33.089
6.63	33.206
6.69	33.44
6.75	33.675
6.81	33.909
6.84	34.026
6.87	34.144
6.9	34.261
6.95	34.495
6.98	34.613
7.01	34.73
7.04	34.847
7.07	34.964
7.1	35.082
7.39	36.278
7.46	36.541
7.49	36.672
7.52	36.804
7.56	36.935
7.59	37.067
7.62	37.198
7.72	37.593
7.78	37.856
7.82	37.988
7.85	38.119
8.04	38.908
8.14	39.303
8.27	39.829
8.57	41.019
8.61	41.18
8.69	41.503
8.73	41.664
8.77	41.825
9.04	42.953
9.12	43.276
9.16	43.432
9.27	43.87
9.41	44.454
9.56	45.039
9.78	45.916
9.81	46.062
9.88	46.354
9.96	46.646
9.97	46.695
10.0	46.839
10.04	46.989
10.08	47.135
10.11	47.28
10.15	47.426
10.19	47.572
10.22	47.717
10.26	47.863
10.29	48.009
10.33	48.154
10.37	48.3
10.4	48.45
10.67	49.534
10.74	49.809
10.77	49.951
10.81	50.089
10.84	50.226
10.88	50.364
10.91	50.501
10.94	50.643
10.98	50.781
11.01	50.918
11.05	51.056
11.12	51.335
11.18	51.61
11.22	51.748
11.25	51.889
11.29	52.027
11.32	52.165
11.42	52.581
11.49	52.857
11.59	53.273
11.63	53.411
11.7	53.686
11.73	53.828
11.77	53.965
11.8	54.103
11.87	54.378
12.08	55.232
12.15	55.523
12.19	55.669
12.26	55.961
12.37	56.402
12.4	56.551
12.44	56.701
12.48	56.851
12.52	57.001
12.55	57.15
12.59	57.3
12.63	57.45
12.66	57.604
12.7	57.753
12.74	57.903
12.81	58.202
12.85	58.352
12.85	58.352
12.89	58.502
12.92	58.652
13.05	59.157
13.09	59.34
13.14	59.518
13.31	60.234
13.76	62.023
13.8	62.201
13.88	62.504
13.9	62.605
13.98	62.913
14.1	64.023
14.14	64.444
14.17	64.695
14.19	64.946
14.27	65.748
14.31	66.119
14.35	66.49
14.38	66.871
14.42	67.252
14.5	67.994
14.54	68.375
14.57	68.756
14.72	70.2
14.76	70.632
14.8	71.073
14.85	71.504
14.89	71.935
15.25	75.576
15.36	76.629
15.43	77.331
15.46	77.682
15.57	78.735
15.6	79.086
15.64	79.437
15.67	79.788
15.71	80.139
15.74	80.49
15.78	80.841
15.81	81.192
15.85	81.543
15.88	81.894
15.92	82.245
15.95	82.596
15.99	82.947
16.02	83.298
16.06	83.649
16.09	84.0
16.13	84.351
16.23	85.344
16.29	86.006
16.36	86.667
16.62	89.003
16.67	89.346
16.71	89.69
16.75	90.033
16.79	90.376
16.84	90.728
16.88	91.071
16.92	91.415
16.96	91.758
17.0	92.102
17.13	93.132
17.17	93.475
17.21	93.819
17.25	94.162
17.3	94.514
17.38	95.2
