depth(m)	initial_age(kiloyear)
3.35	151.4
3.4	153.7
3.45	156.0
3.5	158.3
3.55	160.6
3.6	162.9
3.65	165.2
3.7	167.5
3.75	169.8
3.8	172.1
3.85	174.4
3.9	176.7
3.95	179.0
4.0	181.3
4.05	183.6
4.1	185.9
4.15	188.2
4.2	190.5
4.25	192.8
4.3	195.1
4.35	197.4
4.4	199.7
4.5	204.3
4.55	206.6
4.6	208.9
4.65	211.2
4.7	213.5
4.75	215.8
4.8	218.1
4.85	220.4
4.9	222.7
4.95	225.0
5.0	227.3
5.05	229.6
5.1	231.9
5.15	234.2
5.2	236.5
5.25	238.8
5.3	241.1
5.35	243.4
5.4	245.7
5.45	248.0
5.5	250.3
5.55	252.6
5.6	254.9
5.65	257.2
5.85	266.4
5.9	268.7
5.95	271.0
6.05	275.6
6.1	277.9
