depth(m)	initial_age(kiloyear)
6.9	157.1
7.0	162.8
7.1	164.47
7.2	166.13
7.3	167.8
7.6	171.33
7.7	172.5
7.8	173.75
7.9	175.0
8.0	176.25
8.1	177.5
8.2	178.75
8.4	181.64
8.6	184.91
8.7	186.55
8.8	188.19
8.9	189.83
9.0	191.46
9.1	193.1
9.2	196.85
9.3	200.6
9.5	208.0
9.6	209.5
9.7	211.0
9.8	212.5
9.9	214.0
10.0	215.5
10.1	217.25
10.3	220.75
10.4	222.5
10.5	224.25
10.6	226.0
10.8	232.0
10.9	235.0
11.0	238.0
11.1	241.0
11.2	242.32
11.3	243.64
11.5	246.28
11.6	247.6
11.7	249.05
11.8	250.5
11.9	251.95
12.0	253.4
12.1	254.97
12.4	259.67
12.7	264.37
13.5	294.68
13.6	296.84
13.7	299.0
