Depth	d18O
8.45	3.98
8.48	3.91
8.51	3.88
8.54	3.91
8.57	3.85
8.6	3.79
8.63	3.63
8.65	3.74
8.68	3.68
8.71	3.74
8.74	3.55
8.76	3.43
8.79	3.4
8.82	3.29
8.85	3.31
8.88	3.36
8.91	3.21
8.94	3.24
8.97	3.5
9.0	3.64
9.03	3.76
9.06	3.76
9.09	3.61
9.12	4.06
9.15	4.41
9.18	4.64
9.3	4.94
9.33	4.89
9.36	4.93
9.39	4.9
9.42	4.88
9.45	4.76
9.48	4.75
9.51	4.77
9.57	4.35
9.6	4.67
9.75	4.58
9.78	4.45
9.81	4.44
9.84	4.36
9.9	4.5
9.93	4.52
9.96	4.33
9.99	4.53
10.02	4.6
10.05	4.65
10.08	4.58
10.11	4.52
10.14	4.5
10.17	4.4
10.2	4.49
10.23	4.42
10.26	4.45
10.29	4.26
10.38	4.24
10.44	4.4
10.5	4.18
10.53	4.2
10.56	4.24
10.59	4.3
10.68	4.33
10.71	4.28
10.77	4.19
10.98	3.81
11.04	3.8
11.13	4.09
11.16	4.01
11.19	3.99
11.25	4.11
11.28	3.91
11.31	4.19
11.34	3.94
11.37	3.92
11.4	3.83
11.43	3.63
11.46	3.65
11.47	3.6
11.5	3.43
11.53	3.57
11.56	3.44
11.59	3.58
11.62	3.45
11.68	3.37
11.71	3.33
11.74	3.49
11.77	3.35
11.83	3.4
11.86	3.35
11.89	3.25
11.92	3.29
11.95	3.39
12.01	3.51
12.04	3.41
12.76	3.77
12.81	3.78
12.85	3.8
12.91	4.06
12.95	4.53
13.06	3.82
13.11	4.88
13.15	4.93
13.21	5.01
13.31	5.09
13.35	4.95
13.41	5.05
13.45	4.99
13.51	5.0
13.56	4.95
13.61	4.91
13.65	4.85
13.71	4.71
13.76	4.66
13.81	4.62
13.85	4.7
13.91	4.51
13.95	4.54
14.01	4.63
14.07	4.61
14.11	4.6
14.15	4.61
14.21	4.6
14.26	4.63
14.31	4.54
14.35	4.54
14.41	4.42
14.45	4.5
14.51	4.45
14.56	4.38
14.65	3.98
14.71	4.2
14.76	4.22
14.81	4.0
14.85	3.95
14.91	3.98
14.95	4.1
15.01	3.96
15.07	3.86
15.11	3.79
15.15	3.7
15.21	3.75
15.26	3.75
15.31	3.77
15.36	3.77
15.41	3.6
15.46	3.92
15.56	4.44
15.71	4.32
15.76	4.16
15.86	4.2
15.91	4.24
16.01	3.86
16.06	4.06
16.11	3.74
16.16	4.37
16.21	4.35
16.26	4.47
16.31	4.28
16.36	4.5
16.41	4.33
16.46	4.43
16.51	4.51
16.56	4.52
16.61	4.56
16.66	4.51
16.76	4.51
16.82	4.42
16.87	4.52
16.91	4.44
17.01	4.38
17.06	4.23
17.11	4.0
17.16	4.23
17.26	3.89
17.31	3.84
17.36	3.68
17.41	3.77
17.51	4.44
17.56	4.32
17.66	4.17
17.71	4.26
17.76	3.96
17.86	3.99
17.91	4.01
17.96	4.01
18.01	3.94
18.07	3.75
18.11	3.98
18.21	4.71
18.26	4.26
18.31	4.12
18.41	4.59
18.46	4.89
18.51	4.99
18.56	4.89
18.61	5.07
18.66	5.13
18.71	5.07
18.81	5.13
18.86	5.11
18.91	4.9
18.96	5.07
19.01	5.04
19.06	4.93
19.11	4.99
19.16	4.87
19.21	4.93
19.26	4.92
19.31	4.81
19.36	4.96
19.46	4.92
19.51	4.92
19.56	4.95
19.61	4.94
19.66	4.94
19.71	4.93
19.76	4.91
19.81	4.88
19.86	4.88
19.91	4.72
19.96	4.73
20.01	4.75
20.06	4.79
20.11	4.81
20.16	4.81
20.21	4.76
20.26	4.72
20.31	4.65
20.36	4.4
20.41	4.85
20.46	4.43
20.51	4.6
20.56	4.65
20.61	4.61
20.66	4.63
20.71	4.52
20.76	4.73
20.81	4.63
20.86	4.56
20.91	4.4
20.96	4.52
21.01	4.43
21.06	4.61
21.11	4.49
21.16	4.62
21.21	4.4
21.26	4.34
21.31	4.27
21.36	4.36
21.41	4.24
21.46	4.38
21.51	4.26
21.56	4.34
21.61	4.77
21.66	4.43
21.76	4.71
21.81	3.88
21.86	3.9
21.91	3.68
21.96	3.83
22.01	3.69
22.11	3.76
