depth(m)	initial_age(kiloyear)
0.1	1.9
0.2	4.19
0.3	6.48
0.31	6.71
0.4	8.77
0.45	14.91
0.55	17.2
0.6	18.35
0.7	20.63
0.78	22.47
0.8	22.92
0.88	24.75
0.9	25.21
1.0	27.5
1.05	28.65
1.1	29.79
1.2	32.08
1.28	33.91
1.45	37.8
1.55	40.09
1.65	42.38
1.75	44.67
1.82	46.27
1.9	48.1
2.0	50.39
2.1	52.68
2.15	53.83
2.22	64.43
2.37	67.43
2.47	70.15
2.67	74.73
2.77	77.02
2.87	79.31
3.09	86.31
3.19	88.81
3.4	92.81
3.55	94.31
3.75	99.5
3.82	99.7
3.98	100.5
4.08	103.31
4.18	107.81
4.28	114.31
4.38	118.0
4.48	119.75
4.58	120.0
4.65	121.81
4.81	127.31
4.91	131.81
5.01	135.31
5.21	137.81
5.31	139.31
5.41	140.81
5.71	144.31
5.88	146.81
5.96	149.31
6.06	151.81
6.16	154.31
6.36	159.31
6.68	164.31
6.78	166.81
6.88	169.31
6.98	171.81
7.08	174.31
7.28	179.31
7.33	181.81
7.5	184.31
7.6	186.81
7.7	189.31
7.8	191.81
7.9	194.31
