depth(m)	initial_age(kiloyear)
0.01	2.26
0.04	2.4
0.06	2.49
0.09	2.63
0.1	2.67
0.11	2.72
0.14	2.85
0.16	2.95
0.19	3.08
0.2	3.13
0.21	3.18
0.26	3.4
0.31	3.63
0.34	3.77
0.35	3.84
0.36	3.9
0.39	4.1
0.4	4.16
0.41	4.23
0.44	4.43
0.45	4.49
0.47	4.86
0.67	8.57
0.72	9.5
0.77	10.42
0.82	11.35
0.86	12.09
0.87	12.3
0.92	13.31
0.97	14.33
1.02	15.35
1.07	16.37
1.11	17.19
1.15	18.0
1.22	20.67
1.27	22.57
1.32	24.48
1.36	26.0
1.47	30.27
1.52	32.98
1.57	35.7
1.62	38.41
1.67	41.12
1.7	42.75
1.71	43.29
1.72	43.83
1.77	46.54
1.82	49.26
1.87	51.97
1.92	54.68
1.97	57.39
2.07	62.82
2.12	65.53
2.17	67.42
2.22	69.23
2.27	71.03
2.32	72.84
2.37	74.64
2.4	75.73
2.45	77.53
2.5	79.33
2.55	81.14
2.6	82.94
2.63	84.03
2.64	84.39
2.65	84.75
2.68	85.83
2.7	86.55
2.73	87.64
2.75	88.36
2.8	90.31
2.85	92.88
2.88	94.41
2.92	96.47
2.95	98.0
2.97	99.03
3.02	101.59
3.07	104.15
3.12	106.72
3.15	108.11
3.2	109.19
3.25	110.28
3.3	111.36
3.35	112.45
3.4	113.53
3.45	114.62
3.5	115.7
3.55	116.79
3.6	117.87
3.65	118.71
3.67	119.0
3.72	119.73
3.77	120.46
3.82	121.19
3.87	121.92
3.92	122.65
3.97	123.38
4.0	123.82
4.01	123.97
4.07	124.84
4.1	125.28
4.11	125.43
4.16	126.16
4.17	126.3
4.22	127.03
4.27	127.76
4.32	128.49
4.33	128.64
4.37	129.22
4.42	129.95
4.47	130.68
4.48	130.83
4.52	131.41
4.57	132.14
4.62	132.87
4.67	133.6
4.72	135.12
4.77	136.63
4.82	138.15
4.87	139.67
4.92	141.18
5.02	144.22
5.07	145.73
5.12	147.25
5.17	148.77
5.22	150.29
5.27	151.8
5.38	155.14
5.41	156.05
5.43	156.66
5.47	157.87
5.53	159.69
5.57	161.02
5.58	161.44
5.68	165.64
5.78	169.83
5.83	171.93
5.88	174.03
5.98	178.23
6.03	180.32
6.08	182.42
6.17	186.2
6.22	187.94
6.27	189.67
6.32	191.41
6.37	193.14
6.4	194.18
6.42	194.88
6.47	196.61
6.52	198.55
6.55	200.2
6.6	202.95
6.61	203.5
6.62	204.05
6.67	206.8
6.72	208.09
6.77	209.39
6.82	210.68
6.87	211.97
6.92	213.26
6.97	214.56
7.02	215.85
7.07	217.14
7.12	218.92
7.17	220.82
7.22	222.72
7.27	224.63
7.32	226.53
7.37	228.43
7.42	230.14
7.47	231.78
7.52	233.41
7.57	235.04
7.62	236.68
7.67	238.31
7.72	239.94
7.77	241.57
7.82	243.21
7.85	244.19
7.87	244.84
7.92	246.47
7.95	248.35
7.97	249.91
8.05	256.12
8.06	256.89
8.11	260.27
8.12	260.54
8.17	261.9
8.22	263.25
8.27	264.6
8.3	265.42
8.31	265.69
8.42	268.66
8.47	270.67
8.52	272.74
8.57	274.82
8.62	276.89
8.66	278.55
8.67	278.97
8.71	280.63
8.75	282.29
8.81	284.78
8.82	285.19
8.87	287.82
8.9	289.43
8.92	290.51
8.98	293.74
9.02	295.89
9.07	298.58
