depth(m)	initial_age(kiloyear)
0.0	2.87
0.05	3.83
0.06	4.02
0.08	4.44
0.1	5.7
0.12	6.96
0.14	8.22
0.16	9.48
0.18	11.24
0.2	12.99
0.22	14.66
0.24	15.18
0.26	15.7
0.28	16.22
0.3	16.75
0.32	17.27
0.34	17.79
0.36	18.31
0.38	18.83
0.4	19.35
0.42	19.87
0.44	20.39
0.46	20.91
0.48	21.43
0.5	21.96
0.52	22.48
0.54	23.0
0.56	23.52
0.58	24.04
0.6	24.56
0.62	25.08
0.64	25.6
0.66	26.12
0.68	26.64
0.7	27.16
0.72	27.69
0.74	28.21
0.76	28.73
0.78	29.25
0.8	29.77
0.82	30.29
0.84	30.81
0.86	31.33
0.88	31.85
0.9	32.37
0.92	32.9
0.94	33.42
0.96	33.94
0.98	34.46
1.0	34.98
1.02	35.5
1.04	36.02
1.06	36.54
1.08	37.06
1.1	37.58
1.12	38.1
1.14	38.63
1.16	39.15
1.18	39.67
1.2	40.19
1.22	40.71
1.24	41.23
1.26	41.75
1.28	42.27
1.29	42.53
1.3	42.79
1.32	43.31
1.34	43.84
1.36	44.36
1.38	44.88
1.4	45.4
1.42	45.92
1.44	46.44
1.46	47.93
1.48	49.43
1.5	50.94
1.52	52.45
1.54	53.96
1.56	56.47
1.58	58.97
1.6	60.27
1.62	61.2
1.64	62.13
1.66	62.87
1.68	63.36
1.7	63.85
1.72	64.35
1.74	64.84
1.76	65.34
1.8	66.32
1.82	66.82
1.84	67.09
