depth(m)	initial_age(kiloyear)
0.02	0.58
0.05	1.45
0.1	2.9
0.15	4.36
0.2	5.81
0.25	7.26
0.3	8.71
0.35	10.57
0.413	14.44
0.475	18.3
0.525	19.25
0.575	20.19
0.625	21.14
0.675	22.08
0.725	23.03
0.775	23.98
0.975	28.07
1.025	29.09
1.075	30.25
1.125	31.5
1.375	37.73
1.575	42.72
1.675	45.22
1.775	47.71
1.875	50.21
1.975	51.96
2.075	53.7
2.125	54.58
2.175	55.45
2.275	59.44
2.375	61.74
2.525	64.35
2.575	65.22
2.675	66.61
2.775	68.0
2.825	68.69
2.875	69.38
2.925	70.08
2.975	70.77
3.025	72.92
3.075	76.51
3.125	78.88
3.175	80.04
3.225	81.2
3.275	82.37
3.375	84.69
3.425	85.85
3.475	87.01
3.575	89.34
3.625	90.5
3.675	91.55
3.775	93.66
3.825	94.72
3.875	95.77
3.925	96.96
3.975	98.28
4.025	99.6
4.075	100.91
4.175	103.55
4.275	105.67
4.325	106.74
4.375	107.8
4.425	108.86
4.475	109.92
4.575	112.03
4.675	114.13
4.725	115.19
4.775	116.24
4.875	118.35
4.975	120.45
5.075	122.56
5.175	124.16
5.275	125.76
5.325	126.55
5.4	127.75
5.535	129.91
5.675	132.15
5.775	133.74
5.875	135.34
5.975	136.54
6.175	138.93
6.275	140.13
6.375	141.33
6.475	143.1
6.575	144.87
6.675	146.64
6.775	148.41
7.175	155.5
7.275	157.27
7.375	159.04
7.575	162.58
7.675	164.35
7.775	166.12
7.875	167.89
7.975	169.67
8.075	171.44
8.175	173.21
8.275	174.98
8.375	176.75
8.475	178.52
8.675	182.06
8.775	183.83
8.935	186.67
9.075	189.15
9.175	190.92
9.275	192.69
9.375	195.09
9.475	197.7
9.575	200.31
9.675	202.92
9.775	205.53
9.875	206.96
9.975	208.39
10.075	209.82
10.175	211.25
10.275	212.68
10.375	214.11
10.475	215.54
10.575	219.48
10.675	223.43
10.775	227.51
10.875	231.72
11.075	240.14
11.175	242.32
11.275	243.82
11.375	245.33
11.475	247.83
11.575	248.95
11.675	250.06
11.775	251.17
11.875	252.29
12.075	254.41
12.175	255.41
12.275	256.42
12.375	257.42
12.475	258.43
12.675	260.44
12.875	262.45
12.975	263.46
13.175	265.47
13.475	274.38
13.575	281.27
13.675	288.17
13.775	290.5
13.875	292.82
13.975	295.15
14.075	297.47
14.175	299.8
14.275	301.26
14.375	302.71
14.475	304.17
14.575	305.63
14.675	307.09
14.775	308.54
14.875	310.0
15.075	324.4
15.175	331.6
