depth(m)	initial_age(kiloyear)
0.02	0.36
0.03	0.54
0.04	0.72
0.05	0.9
0.06	1.08
0.07	1.26
0.08	1.44
0.1	1.8
0.12	2.16
0.13	2.34
0.14	2.52
0.15	2.7
0.17	3.06
0.18	3.24
0.2	3.6
0.21	3.78
0.22	3.96
0.23	4.14
0.24	4.32
0.25	4.5
0.26	4.68
0.27	4.86
0.28	5.04
0.29	5.22
0.3	5.4
0.31	5.58
0.32	5.76
0.33	5.94
0.34	6.12
0.35	6.3
0.36	6.48
0.37	6.66
0.38	6.84
0.39	7.02
0.4	7.2
0.41	7.38
0.42	7.56
0.43	7.74
0.44	7.92
0.45	8.1
0.46	8.28
0.47	8.46
0.48	8.64
0.49	8.82
0.5	9.0
0.51	9.18
0.52	9.36
0.53	9.54
0.54	9.72
0.55	9.9
0.56	10.08
0.57	10.26
0.58	10.44
0.6	10.8
0.61	10.98
0.62	11.16
0.63	11.34
0.64	11.52
0.65	11.7
0.66	11.88
0.67	12.06
0.68	12.24
0.7	12.6
0.71	12.78
0.72	12.96
0.73	13.14
0.74	13.32
0.75	13.5
0.76	13.68
0.77	13.86
0.78	14.04
0.8	14.4
0.81	14.58
0.82	14.76
0.83	14.94
0.84	15.12
0.85	15.3
0.86	15.48
0.87	15.66
0.88	15.84
0.9	16.2
0.91	16.38
0.92	16.56
0.93	16.74
0.94	16.92
0.95	17.1
0.96	17.28
0.97	17.46
0.98	17.64
0.99	17.82
1.0	18.0
1.01	18.14
1.02	18.29
1.03	18.43
1.04	18.57
1.05	18.71
1.06	18.86
1.07	19.0
1.08	19.14
1.1	19.43
1.11	19.57
1.12	19.71
1.13	19.86
1.14	20.0
1.15	20.14
1.16	20.29
1.17	20.43
1.18	20.57
1.19	20.71
1.2	20.86
1.21	21.0
1.22	21.14
1.23	21.29
1.24	21.43
1.25	21.57
1.26	21.71
1.27	21.86
1.28	22.0
1.29	22.14
1.3	22.29
1.31	22.43
1.32	22.57
1.33	22.71
1.34	22.86
1.35	23.0
1.36	23.14
1.37	23.29
1.38	23.43
1.39	23.57
1.4	23.71
1.41	23.86
1.42	24.0
1.43	24.14
1.44	24.29
1.45	24.43
1.46	24.57
1.47	24.71
1.48	24.86
1.49	25.0
1.5	25.14
1.51	25.29
1.52	25.43
1.53	25.57
1.54	25.71
1.55	25.86
1.56	26.0
1.57	26.14
1.59	26.43
1.6	26.57
1.61	26.71
1.62	26.86
1.63	27.0
1.64	27.14
1.65	27.29
1.66	27.43
1.67	27.57
1.68	27.71
1.69	27.86
1.7	28.0
1.73	28.43
1.74	28.57
1.75	28.71
1.77	29.0
1.78	29.14
1.79	29.29
1.8	29.43
1.81	29.57
1.82	29.71
1.83	29.86
1.84	30.0
1.85	30.14
1.86	30.29
1.87	30.43
1.88	30.57
1.9	30.86
1.91	31.0
1.92	31.14
1.93	31.29
1.94	31.43
1.95	31.57
1.96	31.71
1.97	31.86
1.98	32.0
2.0	32.29
2.01	32.43
2.02	32.57
2.03	32.71
2.04	32.86
2.06	33.14
2.07	33.29
2.08	33.43
2.09	33.57
2.11	33.86
2.12	34.0
2.13	34.14
2.14	34.29
2.15	34.43
2.16	34.57
2.17	34.71
2.18	34.86
2.2	35.14
2.21	35.29
2.22	35.43
