Depth	d18O
12.01	3.991442
12.26	3.270918
12.47	3.388875
12.81	3.690024
13.21	3.731071
13.63	3.693219
13.89	3.27
14.74	4.204103
14.8	3.21
14.8	4.010478
14.9	2.58
14.9	4.377685
14.95	4.203507
15.01	4.282695
15.1	3.7
15.1	3.967335
15.16	4.060918
15.19	4.099416
15.22	4.194559
15.28	4.116899
15.33	2.72
15.33	3.415291
15.39	3.428747
15.45	3.947309
15.51	3.809719
15.57	3.1
15.57	3.736207
15.68	2.45
15.68	3.756063
15.78	3.219066
15.83	3.214598
15.88	2.63
15.88	3.074083
15.93	3.513937
15.98	3.52
15.98	3.371185
16.01	4.093198
16.04	3.552482
16.09	3.894793
16.1	2.77
16.1	4.261927
16.3	4.27
16.3	4.259429
16.35	4.333848
16.4	4.09
16.4	4.084664
16.5	4.09
16.5	4.229638
16.6	4.32
16.7	4.141636
16.8	2.94
16.8	4.204967
16.9	3.18
17.0	3.16
17.0	3.780886
17.09	3.1
17.09	3.720782
17.13	3.756973
17.17	4.013631
17.26	3.55
17.26	3.530317
17.38	3.656909
17.44	3.660484
17.5	3.71
17.5	4.026289
17.59	3.755133
17.68	3.293897
17.7	2.8
17.8	2.84
17.8	4.087195
17.85	3.76432
17.9	3.51
17.9	4.244181
17.98	4.205111
18.0	3.62
18.06	4.268032
18.1	3.97
18.12	4.202553
18.15	4.283233
18.17	3.94514
18.22	4.085056
18.3	3.56
18.3	4.115499
18.35	3.659918
18.4	2.69
18.46	3.28
18.46	3.758033
18.51	3.918115
18.56	3.93
18.56	4.055787
18.61	3.938392
18.67	3.840031
18.78	3.833677
18.88	3.91
19.0	2.91
19.07	3.73
19.18	3.907578
19.2	2.15
19.31	2.62
19.4	2.92
19.4	3.456052
19.5	2.6
19.5	3.572953
19.59	3.44246
19.6	2.48
19.68	3.8765
19.76	2.48
19.76	3.71407
19.9	3.687218
19.91	2.92
20.01	3.02
20.01	3.951496
20.11	3.818871
20.12	3.4
20.2	3.0
20.2	3.664815
20.3	2.79
20.3	3.913751
20.4	2.53
20.4	3.55268
20.48	3.36
20.48	3.915067
20.6	2.9
20.6	3.72108
20.67	2.75
20.81	2.05
20.9	2.28
20.9	3.635059
21.1	3.32
21.1	4.004856
21.2	4.043896
21.34	3.42
21.34	3.940497
21.39	3.644115
21.54	2.36
21.6	3.08
21.6	3.641461
21.64	3.50062
21.7	4.17
21.7	3.721642
21.74	3.734219
21.8	2.6
21.8	3.749626
21.84	3.520147
21.88	3.78
21.88	3.403868
21.92	3.366739
21.97	3.297506
22.01	3.476596
22.07	3.12
22.16	3.327372
22.3	3.71
22.3	3.331188
22.4	3.54
22.5	3.74
22.5	3.990746
22.6	3.73
22.6	4.032337
22.66	4.18
22.66	3.905539
22.8	3.45
22.8	3.973097
22.86	3.501356
22.92	3.877334
22.98	3.901858
23.04	3.788109
23.1	3.562307
23.16	3.723078
23.2	2.3
23.3	2.28
23.3	3.418254
23.5	2.74
23.5	2.848026
23.57	2.44
24.4	2.12
24.41	3.266336
24.5	2.61
24.61	2.37
24.7	3.25
24.7	3.326148
24.8	3.63
24.87	3.07
24.87	3.720852
25.0	3.56
25.0	3.787788
25.22	3.67
25.22	4.062233
25.32	3.67
25.32	3.611087
25.4	3.76
25.4	3.80217
25.5	3.21
25.5	3.829686
25.59	2.56
25.7	2.84
25.7	3.758389
25.78	2.64
25.78	3.572173
25.9	2.81
25.9	4.181388
26.01	3.33
26.01	3.982924
26.11	3.36
26.11	4.002208
26.21	3.37
26.32	3.02
26.32	3.755815
26.51	3.11
26.51	3.679065
26.72	2.99
26.81	2.93
26.81	3.762343
26.9	2.86
27.0	3.47
27.0	3.522989
27.09	3.14
27.2	3.516416
27.21	2.52
27.28	3.09
27.41	3.25
27.51	3.21
27.51	3.717579
27.61	2.93
27.78	3.07
27.87	2.9
27.87	3.701359
28.11	3.24
28.11	3.787848
28.21	3.48
28.31	3.39
28.41	2.91
28.41	3.484232
28.58	3.326722
28.66	3.695802
28.91	2.7
28.91	3.376049
29.21	2.99
29.21	3.706776
29.3	3.12
29.3	3.732872
29.37	3.34
29.37	3.930486
29.51	2.57
