Depth	d18O
53.78	3.491
53.8	3.519
54.05	3.388
54.3	3.387
54.55	3.395
54.8	3.316
55.05	3.279
55.3	3.348
55.55	3.261
56.05	3.199
56.3	3.194
56.55	3.064
56.8	3.053
57.05	3.012
57.55	2.831
58.3	2.47
58.55	2.614
58.8	2.719
59.05	2.79
59.3	2.853
59.55	3.126
60.05	3.345
60.08	3.402
60.3	3.296
60.33	3.14
60.55	3.12
60.58	3.314
60.8	2.964
60.83	2.932
61.05	2.858
61.08	2.939
61.33	2.983
61.58	3.245
61.62	3.066
61.83	3.212
61.87	3.148
63.12	2.862
63.61	2.343
63.86	2.384
65.11	3.413
65.36	3.26
65.61	3.18
66.11	2.431
66.36	2.979
66.61	2.904
68.11	2.76
68.36	2.691
69.11	2.405
69.61	2.356
69.86	2.315
70.64	3.41
70.89	3.455
71.19	3.525
71.39	3.464
71.64	3.36
71.65	3.393
71.9	3.374
72.14	3.381
72.39	3.35
72.64	3.31
72.89	3.243
73.39	3.109
73.64	3.013
74.14	3.033
74.39	3.175
