Depth	d18O
12.91	4.52
12.94	4.62
12.94	4.73
13.01	4.46
13.04	4.56
13.11	4.35
13.14	4.82
13.21	4.34
13.25	4.4
13.25	4.61
13.31	4.29
13.34	4.44
13.34	4.5
13.41	4.36
13.44	4.4
13.45	4.4
13.51	4.05
13.61	4.04
13.64	3.93
13.71	3.57
13.74	3.69
13.81	3.52
13.84	3.59
13.91	3.58
13.94	3.77
14.01	4.47
14.04	3.98
14.11	4.74
14.21	5.17
14.24	4.49
14.31	5.07
14.34	4.6
14.41	5.0
14.44	4.27
14.51	4.34
14.54	4.01
14.61	4.14
14.64	4.07
14.71	4.11
14.74	4.21
14.81	4.06
14.84	4.27
14.91	4.23
14.94	4.36
15.01	4.51
15.05	4.31
15.11	4.55
15.14	4.32
15.14	4.23
15.21	4.25
15.24	4.09
15.31	4.0
15.41	4.07
15.44	4.01
