age(kyr)	mean(permil)	
0	3.160064	0.22
1	3.177996	0.22
2	3.197148	0.22
3	3.193568	0.22
4	3.193959	0.22
5	3.235269	0.22
6	3.30555	0.22
7	3.396123	0.22
8	3.498477	0.22
9	3.598308	0.22
10	3.70507	0.22
11	3.804044	0.22
12	3.915129	0.22
13	4.024021	0.22
14	4.157084	0.22
15	4.330865	0.22
16	4.491702	0.22
17	4.635912	0.22
18	4.73688	0.22
19	4.755224	0.22
20	4.741267	0.22
21	4.731372	0.22
22	4.726143	0.22
23	4.701173	0.22
24	4.680083	0.22
25	4.670054	0.22
26	4.662431	0.22
27	4.632937	0.22
28	4.59006	0.22
29	4.552767	0.22
30	4.518339	0.22
31	4.504292	0.22
32	4.496458	0.22
33	4.47791	0.22
34	4.436355	0.22
35	4.409103	0.22
36	4.386937	0.22
37	4.367666	0.22
38	4.361379	0.22
39	4.367448	0.22
40	4.35373	0.22
41	4.327909	0.22
42	4.335523	0.22
43	4.340345	0.22
44	4.330009	0.22
45	4.321362	0.22
46	4.311999	0.22
47	4.30017	0.22
48	4.28187	0.22
49	4.292149	0.22
50	4.300157	0.22
51	4.269451	0.22
52	4.225831	0.22
53	4.18885	0.22
54	4.184616	0.22
55	4.205392	0.22
56	4.208427	0.22
57	4.195485	0.22
58	4.185418	0.22
59	4.207212	0.22
60	4.251982	0.22
61	4.28634	0.22
62	4.326852	0.22
63	4.380085	0.22
64	4.404907	0.22
65	4.423858	0.22
66	4.431278	0.22
67	4.422709	0.22
68	4.416097	0.22
69	4.412649	0.22
70	4.386124	0.22
71	4.341513	0.22
72	4.288177	0.22
73	4.210269	0.22
74	4.127679	0.22
75	4.07839	0.22
76	4.042193	0.22
77	4.007604	0.22
78	3.978953	0.22
79	3.955207	0.22
80	3.912402	0.22
81	3.851464	0.22
82	3.777976	0.22
83	3.723223	0.22
84	3.68153	0.22
85	3.688682	0.22
86	3.756843	0.22
87	3.850604	0.22
88	3.930072	0.22
89	3.993558	0.22
90	4.026782	0.22
91	4.010747	0.22
92	3.976603	0.22
93	3.940075	0.22
94	3.9038	0.22
95	3.87272	0.22
96	3.844851	0.22
97	3.812623	0.22
98	3.792757	0.22
99	3.776969	0.22
100	3.758668	0.22
101	3.742844	0.22
102	3.73865	0.22
103	3.741422	0.22
104	3.750457	0.22
105	3.781399	0.22
106	3.812331	0.22
107	3.827959	0.22
108	3.838826	0.22
109	3.867022	0.22
110	3.923827	0.22
