Depth	d18O
0.05	3.576
0.05	4.24
0.06	3.385
0.07	3.229
0.08	4.752
0.12	3.224
0.13	5.158
0.13	3.181
0.15	3.322
0.16	4.388
0.17	5.015
0.18	3.223
0.2	3.209
0.22	3.008
0.23	3.276
0.23	4.124
0.25	5.03
0.26	5.152
0.27	5.182
0.28	4.906
0.28	5.085
0.29	3.333
0.35	4.835
0.38	4.678
0.39	4.908
0.42	4.84
0.43	4.7
0.46	5.17
0.48	4.961
0.48	4.795
0.5	4.648
0.52	4.944
0.53	5.088
0.54	4.9
0.57	4.596
0.58	4.919
0.6	5.001
0.62	4.543
0.64	4.803
0.65	4.683
0.66	4.726
0.68	4.831
0.71	3.388
0.72	4.659
0.74	4.812
0.75	4.305
0.81	4.737
0.89	5.233
0.91	3.158
0.93	5.115
0.95	4.543
0.95	3.709
0.97	4.083
1.01	4.789
1.01	4.52
1.03	4.736
1.03	2.78
1.05	4.675
1.05	4.011
1.07	4.806
1.07	4.68
1.07	4.518
1.09	4.701
1.11	5.052
1.13	4.537
1.15	4.77
1.17	4.504
1.17	3.767
1.17	3.642
1.17	4.016
1.2	3.645
1.2	4.262
1.2	4.263
1.22	4.066
1.22	4.595
1.22	4.33
1.22	4.24
1.22	4.255
1.24	4.263
1.24	4.491
1.24	4.76
1.24	3.842
1.26	4.145
1.28	3.282
1.28	4.108
1.28	4.024
1.3	3.004
1.3	4.093
1.3	4.089
1.32	4.237
1.32	4.092
1.32	3.874
1.34	3.749
1.36	3.747
1.38	3.859
1.38	3.82
1.41	4.49
1.41	4.02
1.41	3.976
1.41	5.224
1.42	3.987
1.44	4.083
1.44	4.103
1.48	3.58
1.51	4.021
1.51	3.886
1.53	3.309
1.53	3.74
1.55	4.035
1.57	4.248
1.57	3.346
1.61	4.813
1.61	3.336
1.61	4.022
1.63	3.547
1.63	4.63
1.65	4.302
1.68	3.759
1.68	4.639
1.71	4.241
1.71	3.941
1.73	4.053
1.73	3.782
1.75	4.042
1.78	3.246
1.78	3.151
1.8	3.085
1.8	3.195
1.8	3.478
1.82	3.107
1.82	3.317
1.84	3.161
1.84	3.254
1.87	3.018
1.87	3.131
1.89	3.176
1.91	3.165
1.92	3.178
1.93	3.235
1.95	3.208
1.95	3.158
1.97	3.172
2	4.558
2	5.036
2.02	5.075
2.04	3.765
2.04	4.912
2.06	4.591
2.09	5.088
2.09	4.655
2.11	5.129
2.17	4.7
