Depth	d18O
0.25	-0.26
0.4	0.02
0.45	-0.02
0.5	0.05
0.55	0.07
0.6	-0.68
0.65	-0.95
0.7	-0.57
0.75	-0.67
0.8	-0.99
0.85	-0.88
0.9	-1.47
0.95	-0.93
1	-1.37
1.05	-0.9
1.1	-0.53
1.15	-1.41
1.2	-1
1.25	-0.52
1.3	-0.54
1.35	0.55
1.4	-0.8
1.45	-0.06
1.5	-0.05
1.55	-0.09
1.6	0.17
1.65	-0.23
1.7	-0.4
1.75	0.15
1.8	-0.06
1.95	0.68
2	0.37
2.05	0.39
2.1	0.43
2.1	0.6
2.25	0.03
2.3	0.58
2.4	0.5
2.45	-0.09
2.5	0.5
2.55	1.05
2.65	1.14
2.75	0.87
2.8	0.91
2.95	1.33
3.05	1.26
3.1	1.19
3.2	1
3.25	1.21
3.3	0.69
3.35	0.55
3.4	0.92
3.5	1.21
3.55	0.49
3.6	1.03
3.7	1.06
3.8	1.02
3.9	0.74
3.95	0.61
4	1.13
4.05	0.42
4.2	0.64
4.25	0.98
4.3	1.06
4.35	1.25
4.4	0.93
4.45	0.77
4.5	0.82
4.55	0.73
4.6	0.51
4.65	0.8
4.7	0.87
4.75	1.21
4.8	0.72
4.9	1.19
4.95	0.63
5	1.09
5.05	0.96
5.1	0.97
5.15	1.24
5.25	1.54
5.3	0.99
5.35	1.24
5.4	1.11
5.45	0.97
5.5	1.23
5.55	1.06
5.6	1.03
5.62	1.05
5.7	0.62
5.75	1.47
5.8	0.82
5.85	1.07
5.9	0.41
5.95	0.88
6	1.04
6.05	1.07
5.15	1.32
5.2	0.53
5.3	0.88
5.35	0.86
5.4	1.44
5.45	0.85
5.5	1.35
5.55	1.19
5.6	1.12
5.65	0.49
5.7	1.36
5.75	0.81
5.8	1.09
5.85	1.28
5.9	0.9
5.95	0.67
6	1.03
6.05	0.78
6.1	0.44
6.15	0.5
6.2	1.05
6.25	0.99
6.3	1.07
6.35	1.25
6.5	1.38
6.55	1
6.6	0.61
6.64	0.85
6.69	0.8
6.74	1.02
6.79	0.55
6.84	1.59
6.89	1.14
7.09	1.11
7.19	1.25
7.24	0.72
7.29	0.74
7.39	0.91
7.49	0.92
7.54	1.43
7.59	1.2
7.64	0.85
7.69	0.87
7.74	1
7.84	0.72
7.89	1.34
7.94	0.97
7.99	0.92
8.04	1.01
8.19	1.18
8.29	1.52
8.34	1.3
8.44	1.02
8.54	1.02
8.69	1.19
8.74	1.21
8.79	0.97
8.84	0.48
8.89	0.88
8.94	0.73
8.99	0.83
9.04	0.85
9.09	0.63
9.14	0.81
9.19	0.56
9.34	0.93
9.44	0.93
9.49	0.82
9.54	1.22
9.59	0.83
9.64	1.12
9.69	0.69
9.89	0.88
10.09	0.42
10.39	1.08
10.49	0.78
10.54	0.42
10.59	0.56
10.64	0.72
10.69	0.82
10.74	0.68
10.79	0.53
10.84	1.1
10.89	0.98
10.94	0.79
11.04	-0.05
11.14	0.85
11.24	0.8
11.29	0.98
11.39	0.98
11.49	1.33
11.59	0.69
11.69	1.16
11.74	1.39
11.99	0.96
12.04	0.92
12.09	1.49
12.14	1.21
12.19	1.32
12.24	0.84
12.29	1
12.39	0.8
12.44	0.43
12.49	0.81
12.54	1.09
12.59	0.92
10.91	1.02
11.01	0.83
11.06	1.05
11.16	0.94
11.26	1.23
11.36	0.9
11.56	1.02
11.81	0.84
11.86	1.03
11.91	0.83
12.01	1.17
12.16	1.33
12.21	0.64
12.26	1.08
12.31	0.66
12.36	1.06
12.41	0.9
12.46	0.67
12.51	0.92
12.56	0.63
12.61	0.92
12.66	0.52
12.71	1.07
12.76	0.87
12.86	1.17
12.91	1.05
12.96	0.72
13.01	0.85
13.06	0.77
13.11	0.81
13.16	0.77
13.21	0.61
13.26	0.74
13.31	0.5
13.36	0.62
13.41	0.85
13.46	0.19
13.61	0.86
13.66	0.5
13.71	0.55
13.76	1.19
13.81	1.17
13.86	1.42
13.91	1.03
13.96	0.38
14.01	0.38
14.06	0.23
14.11	0.08
14.16	0.3
14.21	0.15
14.31	0.84
14.36	0.61
14.41	0.81
14.46	0.76
14.56	0.74
14.61	0.45
14.66	1.02
14.71	1.22
14.76	0.23
14.81	0.99
14.57	0.55
13.72	0.62
13.77	0.82
13.82	1.04
13.87	1.07
13.92	0.9
13.97	0.59
14.02	0.76
14.07	0.64
14.12	0.36
14.17	0.49
14.22	0.49
14.47	0.91
14.52	0.56
14.62	1.07
14.67	0.56
14.72	0.86
14.77	0.65
14.82	0.66
14.92	0.55
14.97	0.34
15.02	1.07
15.07	0.14
14.82	0.74
14.92	0.81
14.97	0.63
15.02	0.13
15.07	-0.07
15.12	0.77
15.17	1.03
15.27	1.02
15.32	0.79
15.37	0.44
15.42	0.64
15.47	0.07
15.52	0.4
15.57	0.77
15.72	0.41
15.77	0.64
15.82	0.47
15.87	0.33
15.92	-0.2
16.07	0.38
16.22	0.58
16.27	0.79
16.32	0.42
16.37	0.28
16.42	0.36
16.47	0.33
16.52	0.42
16.57	-0.04
16.62	0.25
16.67	0.48
16.72	0.38
16.82	0.77
16.87	0.67
16.92	1.19
16.97	0.19
17.02	0.13
17.07	0.45
17.12	-0.02
17.17	0.17
17.22	0.4
17.27	0.19
17.32	-0.01
17.37	0.25
17.42	0.41
17.47	0.56
17.57	0.07
17.62	0.26
17.67	0.45
17.72	0.62
17.77	0.65
17.87	-0.16
17.92	0.59
17.97	0.55
18.02	0.71
18.07	0.87
18.22	0.47
18.27	0.01
18.32	0.02
18.42	0.52
18.47	0.03
18.52	0.2
18.57	0.43
18.67	0.11
18.72	0.35
18.87	0.53
18.92	0.82
19.02	0.62
19.12	0.28
19.17	0.28
19.22	-0.01
19.32	-0.12
19.42	-0.23
19.62	0.47
19.77	0.43
19.82	0.38
19.87	0.4
19.92	0.71
19.97	0.16
20.02	0.24
20.07	0
20.12	-0.27
20.17	0.02
20.22	0.1
20.27	0.43
20.37	0.38
20.47	0.82
20.52	0.92
20.77	0.1
20.92	0.41
20.97	0.01
21.02	0.51
21.07	0.85
21.12	0.82
21.17	1.07
21.22	0.87
21.27	0.51
21.32	0.35
21.37	0.49
21.42	0.02
21.47	0.3
21.52	0.63
21.57	0.65
21.62	0.53
21.67	0.27
21.72	-0.01
21.77	0.32
21.82	0.01
21.87	0.47
21.92	0.07
21.97	-0.05
22.02	1.08
22.07	0.17
22.12	0.32
22.17	0.22
21.02	-0.09
21.07	0.24
21.12	0.69
21.17	-0.13
21.22	0.86
21.27	0.68
21.32	0.61
21.37	0.47
21.42	0.38
21.47	0.56
21.52	0.16
21.57	-0.35
21.62	0.57
21.67	0.22
21.72	0.11
21.77	0.21
21.82	-0.57
21.87	-0.04
21.92	0.49
21.97	-0.33
22.02	-0.01
22.12	0.83
22.22	0.73
22.27	0.55
22.32	0.29
22.37	0.52
22.42	0.95
22.52	0.61
22.57	0.75
22.62	0.24
22.67	0.75
22.72	1.08
22.77	0.65
22.82	-0.02
22.87	0.53
22.92	0.31
22.97	0.67
23.02	0.49
23.07	0.11
23.12	0.19
23.17	0.32
23.27	0.66
23.32	0.58
23.37	0.38
23.47	0.09
23.57	0.17
23.62	0.38
23.67	0.57
23.82	1.03
23.87	0.2
24.23	0.79
24.27	0.78
24.37	1.23
24.47	1.48
24.67	0.84
24.77	1.33
24.82	1.18
24.97	0.82
25.02	0.04
25.37	0.85
25.52	0.39
25.57	0.62
26.82	0.58
27.82	1.06
27.92	0.15
28.07	-0.06
28.12	0.34
28.17	0.06
28.22	-0.19
28.27	0.08
28.32	0.15
28.37	-0.34
27.83	0.82
27.88	0.55
27.98	0.4
28.03	0.13
28.13	0.35
28.18	0.26
28.23	0.14
28.28	-0.05
28.88	0.5
28.98	0.37
29.03	0.54
29.08	0.39
29.13	0.3
29.18	-0.1
29.23	0.12
29.28	0.24
29.33	0.17
29.38	-0.13
29.43	-0.11
29.53	0.17
29.68	1
29.73	0.57
29.78	0.26
29.83	0.22
29.88	0.05
29.93	0.44
29.98	0.48
30.03	0.05
30.08	0.25
30.13	0
30.18	0.03
30.23	0.17
30.28	-0.04
30.33	0
30.38	-0.88
30.43	0.07
30.48	-0.47
30.53	-0.23
30.58	-0.01
30.63	0.1
30.68	-0.17
30.73	-0.1
30.78	-0.59
30.88	0.68
30.93	0.58
31.03	0.99
31.28	0.82
31.53	0.2
31.58	0.01
31.63	0.07
31.68	0.18
31.73	0
31.78	0.17
31.83	-0.17
31.88	0.2
31.93	0.06
31.98	0.02
32.03	-0.16
32.08	0.35
32.13	0.03
32.18	0.16
32.28	0.31
32.33	-0.24
32.38	0.37
32.43	-0.21
32.48	-0.21
32.53	0.03
32.58	0.12
32.63	0.37
32.68	0.15
32.73	0.32
32.78	0.46
32.83	0.47
32.88	-0.17
32.93	0.18
32.98	0.17
33.03	0.31
33.08	0.37
33.13	-0.15
33.18	-0.01
33.23	0.09
33.28	0.09
33.33	0.15
32.68	0.13
32.73	-0.35
32.78	0.38
32.83	0.23
32.88	0.29
32.93	0.25
32.98	0.05
33.03	0.24
33.08	0.2
33.13	0.01
33.18	0.24
33.23	-0.13
33.28	-0.13
33.33	-0.14
33.38	-0.28
33.43	-0.03
33.48	0.03
33.53	-0.35
33.58	0.25
33.63	0.05
33.68	0.33
33.73	0.24
33.78	0.02
33.83	-0.01
33.88	0.08
33.93	0.24
33.98	0.46
34.03	0.32
34.08	0.29
34.13	0.3
34.18	-0.2
34.23	0.15
34.28	0.06
34.33	-0.21
34.38	-0.43
34.43	-1.06
34.68	1.16
34.73	0.54
34.78	0.45
34.83	0.33
34.88	0.46
34.93	0
34.98	0.06
35.03	-0.09
35.08	-0.02
35.13	0.28
35.18	0.37
35.23	0.55
35.28	0.44
35.38	0.41
35.43	0.27
35.48	-0.12
35.53	0.22
35.58	-0.04
35.63	-0.01
35.73	-0.07
35.78	-0.18
35.83	0
35.88	-0.22
35.93	-0.22
35.98	-0.41
36.03	-1.28
36.08	-0.43
36.13	-0.72
36.18	-0.33
36.23	-0.36
36.28	-1.11
36.33	-0.96
36.38	-0.84
36.43	-0.24
36.48	0.02
36.53	1.08
36.58	1.52
36.63	0.79
36.68	0.56
36.73	0.65
36.78	0.95
36.83	1.71
