Depth	d18O
0	2.24
0.2	2.13
0.4	2.49
0.6	2.01
0.8	2.59
1	1.8
1.2	2.4
1.45	2.7
1.6	3.32
1.95	4.3
2.15	3.55
2.3	3.95
2.5	4.42
2.7	4.15
2.95	4.08
3.15	3.93
3.4	3.45
3.55	3.6
3.75	3.72
4	3.75
4.2	3.65
4.3	3.7
4.48	3.45
4.7	3.67
4.9	3.77
5.14	3.41
5.35	3.32
5.6	3.4
5.75	3.72
5.95	3.68
6.17	3.75
6.38	3.82
6.55	3.4
6.75	3.55
6.95	3.45
7.12	4.04
7.32	3.41
7.53	4.6
7.71	3.46
7.9	3.49
8.1	3.39
8.32	3.41
8.5	3.57
8.55	3.31
8.71	2.93
8.92	2.86
9.2	2.38
9.4	2.98
9.6	2.28
9.8	2.08
10.01	2.03
10.21	2.29
10.4	2.44
10.54	2.57
10.72	1.9
10.91	3.51
11.12	3.57
11.32	3.97
11.51	2.87
11.72	4.49
11.91	4.44
12.1	4.34
12.3	4.77
