depth(m)	initial_age(kiloyear)
114.12	2413.84
114.22	2415.81
114.32	2417.78
114.42	2419.75
114.52	2421.72
114.62	2423.69
114.72	2425.66
114.82	2427.63
114.92	2429.61
115.02	2431.58
115.12	2433.55
115.22	2435.52
115.32	2437.49
115.42	2439.46
115.52	2441.43
115.62	2443.4
115.72	2445.37
115.82	2447.35
115.92	2449.32
116.04	2451.68
116.14	2453.53
116.24	2455.21
116.34	2456.9
116.44	2458.58
116.54	2460.27
116.62	2461.62
116.72	2463.3
116.82	2464.99
116.92	2466.67
117.02	2468.36
117.12	2470.04
117.22	2471.73
117.32	2473.42
117.42	2475.1
117.52	2476.79
117.62	2478.47
117.72	2480.69
117.82	2483.02
117.92	2485.36
118.02	2487.69
118.12	2490.02
118.22	2492.36
118.32	2494.68
118.42	2496.44
118.52	2498.2
118.62	2499.97
118.72	2501.73
118.92	2505.25
119.02	2507.01
119.12	2508.78
119.22	2510.54
119.32	2512.73
119.42	2515.05
119.52	2517.37
119.62	2519.7
119.72	2522.02
119.82	2524.34
119.92	2526.66
120.02	2528.99
120.12	2531.31
120.22	2533.63
120.32	2535.95
120.42	2538.27
120.44	2538.74
120.54	2540.88
120.64	2542.87
120.74	2544.87
120.84	2546.86
120.94	2548.85
121.04	2550.85
121.14	2552.84
121.24	2554.84
121.34	2556.83
121.46	2559.1
121.56	2560.75
121.66	2562.4
121.76	2564.05
121.86	2565.69
121.96	2567.34
122.06	2568.99
122.16	2570.63
122.26	2572.28
122.36	2573.93
122.46	2575.57
122.56	2577.22
122.66	2579.45
122.74	2581.27
122.8	2582.63
122.84	2583.54
122.94	2585.81
123.04	2588.08
123.14	2590.35
123.24	2592.63
123.34	2595.07
123.44	2597.59
123.54	2600.11
123.64	2602.63
123.74	2605.15
123.84	2607.67
123.94	2610.19
124.04	2612.71
124.14	2615.05
124.24	2617.24
124.36	2619.86
124.46	2622.05
124.56	2624.24
124.74	2628.17
124.84	2630.36
124.94	2632.55
125.04	2634.73
125.14	2636.92
125.24	2638.71
125.34	2640.49
125.44	2642.28
125.55	2644.24
125.65	2646.02
125.76	2647.98
125.86	2649.77
125.96	2651.63
126.06	2654.09
126.16	2656.55
126.26	2659.01
126.36	2661.47
126.46	2663.93
126.56	2666.39
126.66	2668.85
126.76	2671.31
126.86	2673.77
126.96	2676.23
127.06	2678.7
127.16	2680.81
127.26	2682.42
127.36	2684.04
127.46	2685.65
127.56	2687.26
127.66	2688.88
127.76	2690.63
127.86	2692.7
127.96	2694.76
128.06	2696.83
128.16	2698.89
