Depth	d18O
7.77	3.693
7.79	3.956
7.89	3.726
8.01	3.818
8.03	3.563
8.05	3.623
8.07	3.714
8.11	3.694
8.13	3.917
8.15	4.103
8.17	3.839
8.21	3.954
8.23	3.771
8.25	4.066
8.27	3.569
8.29	3.584
8.33	3.698
8.35	3.837
8.37	3.853
8.46	3.654
8.49	3.653
8.54	3.702
8.77	3.484
8.8	3.464
8.97	3.435
9.07	3.723
9.09	3.312
9.11	3.606
9.13	3.637
9.14	3.255
9.15	3.718
9.16	3.719
9.16	3.597
9.17	3.539
9.18	3.245
9.19	3.452
9.2	3.771
9.2	3.374
9.21	3.501
9.23	3.075
9.25	3.343
9.26	3.392
9.28	3.225
9.295	3.346
9.315	3.304
9.335	3.49
9.355	3.303
9.375	3.251
9.415	3.018
9.435	3.496
9.455	3.053
9.475	3.215
9.495	3.082
9.515	3.676
9.615	3.878
9.635	3.703
9.655	3.749
9.7	3.745
9.715	3.694
9.735	3.917
9.755	3.878
9.855	3.617
9.915	3.697
9.935	3.639
9.935	3.447
10.015	3.661
10.035	3.54
10.055	3.457
10.075	3.715
10.075	3.519
10.135	3.603
10.135	3.561
10.155	3.465
10.175	3.729
10.2	3.4535
10.215	3.473
10.235	3.302
10.255	3.43
10.275	3.443
10.315	3.459
10.4	3.4535
10.5	3.242
10.515	3.308
10.6	3.2345
10.755	3.434
10.775	3.147
10.9	3.487
11.04	3.325
11.06	3.388
11.08	3.505
11.14	3.757
11.16	3.7155
11.18	3.499
11.22	3.611
11.24	3.143
11.26	3.581
11.28	3.514
11.32	3.458
11.34	3.506
11.36	3.406
11.38	3.4
11.42	3.23
11.44	3.3105
11.48	3.339
11.52	3.299
11.62	2.981
11.64	3.148
11.68	2.919
11.72	2.816
11.78	2.815
11.81	2.635
11.82	2.707
11.84	2.66
11.86	2.811
11.88	2.782
11.92	2.736
11.94	2.5445
11.96	2.784
11.98	2.702
12	2.47
12	2.673
12.02	2.652
12.04	2.364
12.04	2.641
12.06	2.745
12.06	3.058
12.08	2.472
12.08	2.973
12.1	2.44
12.12	2.394
12.12	2.319
12.12	2.622
12.18	2.438
12.22	2.62
12.3	2.287
12.32	2.45
12.35	2.602
12.41	3.359
12.45	2.509
12.53	2.625
12.55	2.697
12.57	2.646
12.59	2.468
12.6	2.633
12.68	3.59
12.74	3.175
12.75	2.693
12.84	3.182
12.94	4.067
13.1	4.34
13.3	4.14
