Depth	d18O
0.0725	3.46
0.115	3.43
0.18	4.07
0.235	5.11
0.275	5.15
0.295	5.23
0.3075	5.22
0.335	5.0
0.3725	5.01
0.395	4.93
0.445	4.92
0.465	4.86
0.525	4.85
0.565	4.73
0.625	4.7
0.67	4.73
0.7	4.79
0.725	4.7
0.765	4.65
0.8175	4.61
0.855	4.7
0.87	4.71
0.905	4.75
0.945	4.76
0.995	4.38
1.025	4.4
1.0675	4.27
1.113	4.1
1.135	4.09
1.175	4.17
1.2125	4.29
1.25	4.33
1.275	4.05
1.315	4.03
1.365	4.01
1.425	3.97
1.475	4.14
1.545	3.72
1.565	3.78
1.615	3.62
1.665	3.37
1.715	3.58
1.765	4.47
1.8125	4.81
1.865	4.7
1.915	5.13
1.965	5.13
