Depth	d18O
0.005	3.05
0.055	3.15
0.105	3.1
0.16	3.3
0.205	3.31
0.23	3.35
0.25	3.61
0.27	3.74
0.29	4.0
0.33	3.95
0.35	4.06
0.37	4.0
0.39	3.84
0.43	3.28
0.45	4.58
0.47	4.86
0.49	4.91
0.51	5.09
0.51	5.35
0.53	5.17
0.55	5.07
0.57	5.14
0.59	5.23
0.605	5.08
0.605	4.98
0.63	4.99
0.67	5.04
0.705	4.97
0.73	4.95
0.75	5.0
0.77	4.57
0.83	4.93
0.87	5.04
0.89	4.99
0.908	4.88
0.908	4.64
0.95	5.01
0.97	4.94
0.985	4.97
1.005	5.08
1.005	5.05
1.04	4.84
1.07	4.77
1.105	4.82
1.14	4.59
1.17	4.62
1.205	4.75
1.205	4.96
1.24	4.8
1.27	4.68
1.305	4.58
1.305	4.9
1.34	4.63
1.37	4.6
1.405	4.37
1.405	4.69
1.505	4.49
1.505	4.82
1.54	4.67
1.57	4.65
1.605	4.85
1.605	5.06
1.64	4.68
1.67	4.64
1.705	4.61
1.705	4.73
1.74	4.57
1.77	4.35
1.805	4.32
1.805	4.18
1.84	4.82
1.87	4.68
1.905	4.79
1.94	4.74
1.97	4.6
2.005	4.32
2.005	4.75
2.105	4.94
2.205	4.59
2.205	4.54
2.305	4.59
2.505	4.84
2.605	4.47
2.705	4.01
2.805	4.14
2.905	3.31
3.005	3.64
3.105	4.23
3.205	3.82
3.405	3.26
3.505	3.9
3.605	3.45
3.605	3.68
3.705	4.09
3.705	4.16
3.805	3.55
3.905	4.03
3.905	4.24
4.005	3.8
4.075	3.18
4.175	3.04
4.275	3.02
4.275	3.76
4.405	4.48
4.505	5.31
4.605	5.17
4.705	5.07
4.805	4.51
4.905	5.07
4.94	4.79
