depth(m)	initial_age(kiloyear)
0.03	0.21
0.08	2.11
0.13	4.0
0.18	5.9
0.23	7.79
0.28	8.99
0.33	10.18
0.43	12.58
0.48	13.78
0.53	15.12
0.58	16.46
0.63	17.81
0.73	20.5
0.78	21.84
0.83	23.19
0.88	24.53
0.93	25.87
0.98	27.22
1.03	28.56
1.08	29.91
1.13	31.25
1.18	32.59
1.23	33.94
1.28	35.28
1.33	36.63
1.38	40.33
1.43	44.03
1.48	47.73
1.53	51.44
1.58	55.14
1.63	58.84
1.68	61.35
1.73	63.87
1.78	66.38
1.88	71.4
1.93	73.91
1.98	76.42
2.03	77.51
2.08	78.6
2.13	79.69
2.18	80.78
2.23	81.87
2.28	82.95
2.33	84.04
2.38	85.13
2.43	86.22
2.48	87.31
2.53	88.4
2.58	89.48
2.63	90.57
2.68	91.66
2.73	92.36
2.78	93.06
2.83	93.76
2.88	94.46
2.93	95.15
2.98	95.85
3.03	96.55
3.08	97.25
3.13	97.95
3.18	98.65
3.23	99.34
3.28	100.04
3.33	100.74
3.38	101.44
3.43	102.14
3.48	102.84
3.53	103.54
3.63	108.43
3.68	110.87
3.78	115.76
3.88	117.51
3.93	119.42
3.98	121.33
4.03	123.24
4.08	125.16
4.13	127.07
4.18	128.98
4.23	130.9
4.28	132.84
4.33	134.78
4.38	136.72
4.43	140.79
4.48	144.87
4.53	148.95
4.58	153.02
4.63	157.1
4.73	160.58
4.78	162.32
4.83	164.07
4.93	167.55
4.98	169.29
5.03	171.03
5.08	172.77
5.13	174.51
5.18	176.25
