depth(m)	initial_age(kiloyear)
0.02	22.7
0.07	26.7
0.12	30.7
0.17	34.7
0.22	38.7
0.27	42.7
0.32	46.7
0.37	50.7
0.42	54.7
0.47	58.7
0.52	62.7
0.57	66.7
0.62	70.7
0.67	74.7
0.72	78.7
0.77	82.7
0.82	86.7
0.87	90.7
0.92	94.7
0.97	98.7
1.02	102.7
1.07	106.7
1.12	110.7
1.17	114.7
1.22	118.7
1.27	122.7
1.32	126.7
1.37	130.7
1.42	134.7
1.47	138.7
1.52	142.7
1.57	146.7
1.62	150.7
1.67	154.7
1.72	158.7
1.77	162.7
1.82	166.7
1.87	170.7
1.92	174.7
1.97	178.7
2.02	182.7
2.07	186.7
2.12	190.7
2.17	194.7
2.22	198.7
2.27	202.7
2.32	206.7
2.37	210.7
