depth(m)	initial_age(kiloyear)
0.14	0.1
0.19	3.75
0.24	7.4
0.29	10.7
0.34	13.45
0.39	16.11
0.44	18.67
0.49	21.17
0.54	23.54
0.59	25.64
0.64	27.56
0.69	29.47
0.74	31.39
0.79	33.31
0.84	35.23
0.89	37.14
0.94	39.06
0.99	40.98
1.04	42.9
1.14	46.73
1.19	48.65
1.24	50.57
1.29	52.48
1.34	54.4
1.39	56.32
1.44	58.24
1.49	60.32
1.59	65.22
1.64	67.88
1.69	71.12
1.74	74.95
1.79	79.12
1.84	83.91
1.89	89.24
1.94	94.57
1.99	99.89
2.04	105.01
2.09	109.39
2.14	113.44
2.19	117.35
2.24	121.18
2.34	126.93
2.39	129.71
2.44	132.37
2.49	135.03
2.54	137.7
2.62	141.96
2.67	144.62
2.72	147.29
2.77	149.95
2.82	152.61
2.87	155.28
2.92	157.94
2.97	160.6
3.02	163.27
3.07	165.93
3.12	168.59
3.17	171.19
3.22	173.75
3.27	176.31
3.32	178.86
3.37	181.42
3.42	183.98
3.47	186.54
3.52	189.09
3.57	191.65
3.62	194.21
3.67	196.76
3.72	199.32
3.77	201.88
3.82	204.53
3.87	207.19
3.92	209.86
3.97	212.54
4.02	215.33
4.05	217.01
4.12	220.93
4.17	223.72
4.22	226.55
4.28	230.38
4.32	232.94
4.37	236.14
4.42	239.33
4.47	242.53
4.52	245.72
4.57	248.92
4.62	252.11
4.72	258.27
4.77	261.07
4.82	263.86
4.92	269.46
4.97	272.25
5.02	275.05
5.07	277.85
5.12	281.04
5.17	284.24
5.22	287.44
5.27	290.63
5.32	293.83
5.37	297.02
5.42	300.22
5.47	303.42
5.5	305.33
5.63	313.2
5.67	315.44
5.73	318.8
5.77	321.03
5.83	324.39
5.87	326.63
5.97	332.22
6.03	335.57
6.08	338.37
6.13	341.72
6.17	344.64
6.23	349.03
6.27	351.95
6.33	356.33
6.37	359.25
6.43	363.64
6.47	366.32
6.53	370.1
6.57	372.34
6.63	375.7
6.67	377.88
6.73	381.08
6.77	383.21
6.83	386.4
6.87	388.53
6.93	391.73
6.97	393.86
7.01	395.99
7.07	399.19
7.16	403.98
7.21	406.64
7.26	409.31
7.31	411.97
7.36	414.63
7.41	417.29
7.46	419.85
7.51	422.4
7.56	424.96
7.61	427.52
7.66	430.07
7.71	432.63
7.76	435.19
7.86	440.3
7.96	445.41
8.01	447.97
8.11	452.86
8.16	455.26
8.21	457.66
8.26	460.05
8.31	462.45
8.36	464.85
8.41	467.24
8.46	469.64
8.51	472.04
8.56	474.43
8.61	476.83
8.66	479.23
8.71	481.62
8.76	484.02
8.81	486.46
8.86	489.01
8.91	491.64
9.01	496.96
9.06	499.63
9.11	502.29
9.21	507.75
9.26	510.54
9.31	513.51
9.36	517.08
9.41	520.73
9.46	524.38
9.56	531.69
9.61	535.34
9.66	538.99
9.71	542.64
9.76	546.3
9.81	549.95
9.86	553.6
9.91	556.91
10.07	566.45
10.12	569.24
10.17	572.04
10.22	574.84
10.27	577.63
10.32	580.43
10.37	583.23
10.42	586.02
10.47	588.82
10.52	591.62
10.57	594.41
10.62	597.25
10.67	600.44
10.72	603.64
10.77	606.83
10.82	610.03
10.87	613.22
10.92	616.42
10.97	619.68
11.02	623.33
11.07	626.99
11.12	630.64
11.17	634.29
11.22	637.94
11.27	641.59
11.37	648.9
11.42	652.55
11.47	656.2
11.51	659.13
11.61	665.57
11.66	668.63
11.71	671.42
11.76	674.22
11.91	682.61
11.96	685.41
12.01	688.2
12.06	691.0
12.11	693.8
12.21	699.39
