Depth	d18O
0.075	4.12
0.085	3.54
0.125	3.48
0.225	3.6
0.275	3.54
0.325	4.4
0.375	4.0
0.425	4.58
0.525	4.48
0.618	4.57
0.633	3.91
0.875	5.42
0.925	5.4
0.975	5.39
1.025	5.4
1.075	5.4
1.125	5.34
1.175	5.4
1.225	5.43
1.275	5.32
1.325	5.3
1.375	5.13
1.575	5.08
1.775	5.26
1.825	5.22
1.875	5.2
1.975	5.07
2.175	4.9
2.225	5.19
2.275	4.93
2.325	5.01
2.375	5.05
2.425	5.06
2.475	4.87
2.525	4.96
2.575	4.93
2.625	5.01
2.925	4.76
3.025	5.05
3.075	4.99
3.125	4.75
3.175	4.87
3.225	4.81
3.275	4.53
3.375	4.99
3.425	5.03
3.475	4.7
3.525	4.9
3.575	4.7
3.625	4.6
3.675	4.57
3.725	4.66
3.775	4.8
3.825	4.65
3.855	4.79
3.875	4.73
3.925	4.68
3.975	4.54
4.025	4.63
4.075	4.73
4.175	4.64
4.425	5.09
4.475	5.09
4.525	4.99
4.575	4.94
4.625	5.11
4.675	5.0
4.725	5.03
4.775	4.99
4.825	4.8
4.875	4.65
4.925	4.69
4.975	4.75
5.045	4.52
5.075	4.25
5.125	4.05
5.155	4.07
5.175	3.99
5.225	3.76
5.275	3.89
5.325	3.73
5.375	3.7
5.425	3.89
5.575	4.29
5.625	4.18
5.675	4.0
5.725	3.84
5.775	3.82
5.825	3.79
5.875	3.85
5.925	3.96
5.975	3.95
6.005	4.08
6.075	3.94
6.105	4.03
6.185	3.59
6.225	3.39
6.325	3.06
6.475	3.67
6.575	4.48
6.625	5.33
6.675	5.38
6.725	5.3
6.775	5.35
6.825	5.42
6.875	5.25
6.925	5.17
6.975	5.13
7.025	5.13
7.075	5.09
7.125	5.14
7.175	4.95
7.225	4.21
7.375	4.67
7.475	4.77
