depth(m)	initial_age(kiloyear)
12.83	301.26
12.88	302.79
12.93	304.32
12.98	305.59
13.03	306.89
13.08	308.04
13.13	309.09
13.18	310.13
13.23	311.18
13.28	312.23
13.33	313.27
13.38	314.32
13.43	315.36
13.48	316.41
13.53	317.45
13.58	318.5
13.63	319.61
13.68	320.91
13.73	322.24
13.78	323.61
13.83	324.97
13.88	326.34
13.93	327.71
13.98	329.22
14.03	330.93
14.08	332.64
14.13	334.4
14.18	336.22
14.23	337.8
14.28	339.37
14.33	340.94
14.38	342.51
14.43	344.01
14.48	345.48
14.53	346.95
14.58	348.41
14.63	349.88
14.68	351.34
14.73	352.71
14.78	354.09
14.83	355.46
14.88	356.84
14.93	358.21
14.98	359.59
15.03	360.96
15.08	362.34
15.13	363.71
