depth(m)	initial_age(kiloyear)
28.1	300.296
28.15	301.481
28.2	302.667
28.25	303.852
28.3	305.037
28.35	306.222
28.4	307.407
28.45	308.593
28.48	309.304
28.52	310.252
28.55	310.963
28.6	312.148
28.65	313.333
28.7	314.519
28.75	315.704
28.85	318.074
28.9	319.259
28.95	320.444
29.05	322.815
29.1	324.0
29.15	324.7
29.2	325.4
29.25	326.1
29.3	326.8
29.35	327.5
29.4	328.2
29.45	328.9
29.5	329.6
29.6	331.0
29.7	332.333
29.8	333.667
29.85	334.333
29.9	335.0
29.95	335.667
29.98	336.067
30.02	336.6
30.05	337.0
30.1	337.667
30.15	338.333
30.2	339.0
30.25	339.667
30.3	340.333
30.35	341.0
30.4	341.677
30.45	342.354
30.5	343.031
30.55	343.708
30.6	344.385
30.65	345.062
30.7	345.738
30.75	346.415
30.8	347.092
30.85	347.769
30.9	348.446
30.95	349.123
31.0	349.8
31.05	350.477
31.1	351.154
31.15	351.831
31.2	352.508
31.25	353.185
31.3	353.862
31.35	354.538
31.4	355.215
31.45	355.892
31.48	356.298
31.52	356.84
31.55	357.246
31.6	357.923
31.65	358.6
31.7	359.277
31.75	359.954
31.8	360.631
31.85	361.308
31.9	361.985
31.95	362.662
32.0	363.338
32.05	364.015
32.1	364.692
32.15	365.369
32.2	366.046
32.25	366.723
32.3	367.4
32.35	368.077
32.4	368.754
32.45	369.431
32.5	370.108
32.55	370.785
32.6	371.462
32.65	372.138
32.7	372.815
32.75	373.492
32.8	374.169
32.85	374.846
32.9	375.523
32.95	376.2
32.98	376.606
33.02	377.148
33.05	377.554
33.1	378.231
33.15	378.908
33.2	379.585
33.25	380.262
33.3	380.938
33.35	381.615
33.4	382.292
33.45	382.969
33.5	383.646
33.55	384.323
33.6	385.0
33.65	386.333
33.7	387.667
33.75	389.0
33.8	390.333
33.85	391.667
33.9	393.0
33.95	394.333
34.0	395.667
34.05	397.0
34.1	398.333
34.15	399.667
