depth(m)	initial_age(kiloyear)
0.06	4.235
0.1	7.059
0.14	9.882
0.17	12.0
0.2	14.33
0.23	16.67
0.26	19.0
0.29	24.67
0.32	30.33
0.35	36.0
0.38	41.67
0.41	47.33
0.44	53.0
0.47	56.6
0.5	60.2
0.54	65.0
0.57	68.75
0.59	71.25
0.62	75.0
0.66	80.0
0.69	87.0
0.72	93.0
0.75	99.0
0.78	102.3
0.81	105.7
0.84	109.0
0.87	114.2
0.91	118.7
0.94	122.1
0.97	125.4
1.0	130.7
1.03	140.9
1.06	151.0
1.09	154.1
1.13	158.3
1.16	161.4
1.19	164.6
1.22	167.7
1.25	172.8
1.28	177.9
1.31	183.0
1.34	188.5
1.37	194.0
1.4	203.4
1.43	210.5
1.46	216.0
1.51	219.5
1.54	221.6
1.57	223.8
1.6	225.9
1.63	228.0
1.66	238.0
1.69	240.7
1.72	243.5
1.75	246.2
1.78	249.0
1.81	259.0
1.84	269.0
1.87	278.0
1.9	287.0
1.93	294.4
