depth(m)	initial_age(kiloyear)
0.15	1.89
0.2	3.79
0.25	5.45
0.3	6.96
0.35	8.48
0.4	9.99
0.45	11.51
0.5	13.02
0.55	14.54
0.6	16.05
0.65	17.57
0.7	19.08
0.75	20.6
0.8	22.11
0.85	23.62
0.9	25.14
0.95	26.65
1.0	28.17
1.05	29.68
1.1	31.2
1.15	32.71
1.2	34.23
1.25	35.74
1.3	37.26
1.35	38.62
1.4	39.83
1.45	41.04
1.5	42.25
1.55	43.47
1.6	44.68
1.65	45.89
1.7	47.1
1.75	48.31
1.8	49.52
1.85	50.74
1.9	51.95
1.95	53.16
2.0	54.37
2.05	55.58
2.1	56.79
2.15	58.01
2.2	59.22
2.25	60.6
2.3	62.49
2.35	64.38
2.4	66.28
2.45	68.17
2.5	70.06
2.55	71.96
2.6	73.85
2.65	75.44
2.7	76.95
2.75	78.47
2.8	79.98
2.85	81.5
2.9	83.01
2.95	84.52
3.0	86.06
3.05	87.95
3.1	89.84
3.15	91.74
3.2	93.63
3.25	95.52
3.3	97.42
3.35	99.31
3.4	101.2
3.45	103.1
3.5	104.99
3.55	106.88
3.6	108.78
3.65	110.67
3.7	112.56
3.75	114.46
3.8	116.35
3.85	118.24
3.9	120.14
3.95	122.03
4.0	123.92
4.05	125.82
4.1	127.71
4.15	129.6
4.2	131.44
4.25	132.96
4.3	134.18
4.35	135.39
4.4	136.61
4.45	137.75
4.5	138.88
4.55	139.95
4.6	140.96
4.65	141.89
4.7	142.8
4.75	143.7
4.8	144.61
4.85	145.52
4.9	146.43
4.95	147.34
5.0	148.25
5.05	149.16
5.95	165.52
6.0	166.42
6.05	167.33
6.1	168.24
6.15	169.15
6.2	170.06
6.25	170.97
6.3	171.88
6.35	172.79
6.4	173.69
6.45	174.6
6.5	175.51
6.55	176.42
6.6	177.33
6.65	178.24
6.7	179.15
6.75	180.06
6.8	180.96
6.85	181.87
6.9	182.78
7.2	188.33
7.25	189.38
7.3	190.6
7.35	191.81
7.4	193.08
7.45	194.83
7.5	196.72
7.55	198.53
7.6	200.05
7.65	201.56
7.7	203.08
7.75	204.83
7.8	206.73
7.85	208.62
7.9	210.51
7.95	212.41
8.0	214.3
8.05	216.19
8.1	218.09
8.15	219.98
8.2	221.87
8.25	223.77
8.3	225.66
8.35	227.29
8.4	228.81
8.45	230.32
8.5	231.84
8.55	233.35
8.6	234.86
8.65	236.38
8.7	237.89
8.75	239.41
8.8	240.92
8.85	242.44
8.9	243.95
8.95	245.47
9.0	246.98
9.05	248.5
9.1	250.01
9.15	251.53
9.2	253.04
9.25	254.55
9.3	256.07
9.35	257.95
9.4	259.84
9.45	261.74
9.5	263.63
9.55	265.52
9.6	267.42
9.65	269.31
9.7	271.2
9.75	273.1
9.8	274.99
9.85	276.88
9.9	278.77
9.95	280.28
10.0	281.8
10.05	283.31
10.1	284.83
10.15	286.34
10.2	288.1
10.25	289.99
10.3	291.89
10.35	293.78
10.4	295.67
10.45	297.57
10.5	299.46
