depth(m)	initial_age(kiloyear)
0.04	4.0
0.09	9.0
0.19	19.0
0.29	20.92
0.59	28.0
0.69	31.22
0.79	34.44
0.89	37.67
0.99	40.9
1.09	44.13
1.19	47.35
1.29	50.58
1.39	53.8
1.49	56.51
1.59	58.68
1.69	60.85
1.79	63.02
2.09	77.38
2.19	87.38
2.235	91.88
2.335	101.88
2.435	111.88
2.535	121.88
2.635	129.57
2.69	133.8
2.835	144.95
3.09	164.57
3.19	171.9
3.235	175.73
3.39	186.62
3.49	193.29
3.59	199.96
3.635	202.96
3.735	209.62
3.835	216.29
3.935	222.96
3.98	225.96
4.09	233.29
4.135	236.29
4.235	243.42
4.335	251.11
4.435	258.81
4.535	266.5
4.635	274.19
4.735	281.89
4.835	289.58
4.935	297.27
