Depth	d18O
0.005	3.04
0.015	3.63
0.025	2.93
0.045	2.71
0.055	3.18
0.065	2.81
0.075	2.96
0.085	2.74
0.095	2.75
0.105	2.72
0.115	3.0
0.125	2.85
0.135	2.8
0.145	3.04
0.155	3.02
0.165	2.98
0.175	3.01
0.185	3.07
0.195	3.0
0.205	2.75
0.215	3.18
0.225	3.14
0.235	3.15
0.245	3.24
0.255	3.25
0.265	3.37
0.275	3.32
0.295	3.55
0.305	3.57
0.315	3.66
0.325	3.37
0.335	3.59
0.345	3.58
0.355	3.71
0.365	3.69
0.375	3.73
0.385	3.77
0.395	4.02
0.405	3.84
0.415	4.06
0.425	3.71
0.435	4.25
0.445	4.03
0.455	4.2
0.465	4.37
0.475	4.44
0.485	4.42
0.495	4.55
0.505	4.46
0.515	4.53
0.525	4.51
0.535	4.52
0.545	4.55
0.555	4.46
0.565	4.4
0.575	4.47
0.585	4.48
0.595	4.5
0.605	4.45
0.615	4.52
0.625	4.49
0.635	4.44
0.645	4.45
0.655	4.37
0.665	4.33
0.675	4.38
0.685	4.42
0.695	4.33
0.705	4.29
0.715	4.41
0.725	4.11
0.735	4.3
0.745	4.39
0.755	4.39
0.765	4.26
0.775	4.33
0.785	4.38
0.795	4.37
0.805	4.28
0.815	4.31
0.825	4.23
0.835	4.31
0.845	4.29
0.855	4.3
0.865	4.28
0.875	4.38
0.885	4.28
0.895	4.32
0.905	4.27
0.915	4.2
0.925	4.22
0.935	4.17
0.945	4.24
0.955	4.25
0.965	4.34
0.975	4.11
0.985	4.16
0.995	4.04
1.005	4.11
1.015	4.03
1.025	4.06
1.035	4.03
1.045	4.06
1.055	3.98
1.065	4.08
1.075	3.95
1.085	4.11
1.095	4.03
1.105	4.1
1.115	4.06
1.125	4.05
1.135	3.91
1.145	3.96
1.155	4.12
1.165	3.96
1.175	3.98
1.185	4.01
1.195	3.99
1.205	4.0
1.215	3.94
1.225	3.96
1.235	3.9
1.245	3.9
1.255	3.85
1.265	3.97
1.275	3.99
1.285	4.1
1.295	4.07
1.305	3.98
1.315	4.1
1.325	4.0
1.335	3.95
1.345	3.96
1.355	4.05
1.365	4.07
1.375	4.04
1.385	3.97
1.395	3.93
1.405	3.89
