Depth	d18O
0.13	3.91
0.18	4.03
0.23	4.3
0.28	4.67
0.33	5.09
0.43	5.41
0.48	5.44
0.53	5.38
0.58	5.22
0.63	5.19
0.68	4.95
0.73	5.09
0.78	5.07
0.83	5.16
0.88	5.12
0.93	5.1
0.98	4.92
1.09	4.7
1.14	4.82
1.19	4.76
1.24	4.81
1.29	4.81
1.34	4.93
1.39	4.93
1.44	4.71
1.49	4.89
1.54	4.64
1.59	4.36
1.64	4.69
1.69	4.86
1.79	4.3
1.84	4.59
1.89	4.58
1.94	4.23
1.99	4.23
2.04	4.63
2.09	4.74
2.14	5.46
2.19	5.31
2.24	5.34
2.29	5.21
2.34	5.17
2.39	4.97
2.44	5.41
2.49	5.53
2.59	5.39
2.64	5.29
2.69	5.26
2.79	5.15
2.84	5.01
2.94	5.41
2.99	5.44
3.04	5.37
3.09	4.94
3.14	4.8
3.19	4.33
3.24	4.82
3.29	4.33
3.34	4.57
3.39	4.98
3.49	5.15
3.54	5.18
3.59	4.46
3.64	3.93
3.74	4.97
3.79	5.14
3.84	4.98
3.89	4.87
3.94	4.94
3.99	4.94
4.14	5.0
4.19	4.88
4.24	4.95
4.29	4.82
4.39	4.62
4.44	4.73
4.49	4.54
4.54	4.36
4.59	4.6
4.64	4.12
