depth(m)	initial_age(kiloyear)
160.24	1400.06159
160.34	1401.240033
160.44	1402.429941
160.54	1403.941748
160.64	1405.389845
160.74	1407.025033
160.785	1407.903611
160.885	1409.482213
160.985	1410.972116
161.085	1412.357606
161.185	1413.923361
161.285	1415.893578
161.385	1417.281914
161.485	1418.788639
161.585	1420.550638
161.685	1422.78883
161.785	1424.712982
161.885	1427.469884
161.985	1429.991041
162.085	1432.172414
162.185	1434.004985
162.285	1435.685107
162.385	1436.883974
162.485	1438.125102
162.585	1439.417192
162.685	1440.850294
162.785	1441.968705
162.885	1443.090153
162.985	1444.381223
163.085	1446.044147
163.185	1447.7195
163.285	1450.099929
163.385	1452.657216
163.485	1454.484127
163.585	1456.032768
163.685	1457.355187
163.785	1458.516646
163.885	1459.680145
163.985	1460.995424
164.085	1462.707524
164.185	1464.55814
164.285	1466.895439
164.385	1468.618357
164.485	1470.583405
164.585	1472.390291
164.685	1474.002996
164.785	1475.544892
164.885	1476.847214
164.985	1478.094454
165.085	1479.390504
165.185	1480.461071
165.285	1481.879966
165.385	1483.242444
165.485	1484.829827
165.585	1486.381967
165.685	1488.2923
165.785	1490.735736
165.8875	1493.791075
165.99	1496.456626
166.09	1498.190063
166.19	1499.818524
166.29	1501.405709
166.39	1503.248397
166.49	1504.739
166.62	1507.000315
166.69	1508.289948
166.785	1510.298189
166.885	1512.715124
166.985	1515.420923
167.085	1518.173973
167.185	1520.32988
167.285	1522.40981
167.385	1524.589504
167.485	1526.254304
167.585	1527.833426
167.685	1529.170092
167.785	1530.457553
167.885	1531.257921
167.985	1532.105735
168.085	1532.932428
168.185	1533.732194
168.285	1534.584927
168.385	1535.400543
168.485	1536.17182
168.585	1536.856724
168.685	1537.678406
168.785	1538.528056
168.885	1539.282806
168.985	1540.114019
169.085	1540.987381
169.185	1542.084062
169.285	1543.005918
169.385	1543.899695
169.485	1544.789199
169.585	1546.131071
169.685	1547.53237
169.785	1549.177736
169.885	1551.020789
169.985	1552.562579
170.085	1554.046015
170.185	1555.271898
170.285	1556.43742
170.385	1557.729532
170.485	1559.52604
170.585	1560.825055
170.685	1562.176034
170.785	1563.708722
170.885	1565.133274
170.985	1566.410698
171.085	1568.317625
171.185	1570.459964
171.285	1572.7705
171.385	1575.312954
171.485	1577.727573
171.585	1579.658581
171.685	1581.954431
171.785	1584.438655
171.885	1588.351929
171.985	1590.942724
172.085	1593.159333
172.185	1595.223006
172.285	1597.854172
172.385	1599.267815
172.485	1600.786463
172.585	1602.393118
172.685	1604.206859
172.785	1606.578555
172.885	1608.304538
172.985	1610.146785
173.085	1611.673811
173.185	1613.31416
173.285	1614.970122
173.385	1616.681276
173.485	1618.017888
173.585	1619.317594
173.685	1620.836983
173.785	1622.617107
173.885	1624.059722
173.985	1625.353455
174.085	1626.835002
174.185	1628.378427
174.285	1630.103102
174.385	1632.191028
174.485	1634.060844
174.585	1635.820981
174.685	1637.747131
174.785	1639.771421
174.885	1642.156875
174.985	1644.185308
175.085	1646.315463
175.185	1648.215617
175.285	1649.683249
175.385	1651.312674
175.485	1652.696436
175.585	1653.999519
175.685	1655.316267
175.785	1656.76992
175.885	1658.182868
175.985	1659.255009
176.085	1660.47965
176.185	1661.809761
176.285	1663.378734
176.385	1665.056946
176.485	1667.08504
176.585	1669.461366
176.685	1671.189049
176.785	1673.43005
176.885	1675.563008
176.985	1677.265428
177.085	1679.388958
177.185	1681.569616
177.285	1683.255066
177.385	1685.366047
177.485	1687.50977
177.585	1689.431752
177.685	1692.191188
177.785	1694.358844
177.885	1697.001619
177.985	1698.8424
178.085	1700.596247
178.185	1702.449949
178.285	1704.035321
178.385	1705.426051
178.485	1706.619394
178.585	1708.069409
178.685	1709.45181
178.785	1710.825552
178.885	1712.511169
178.985	1714.15549
179.085	1715.842173
179.185	1717.528435
179.285	1719.066583
179.385	1720.321439
179.485	1721.534335
179.585	1722.695517
179.685	1724.118217
179.785	1725.896707
179.885	1727.201394
179.985	1729.05234
180.085	1730.77321
180.185	1732.506899
180.285	1734.033809
180.385	1735.95833
180.485	1737.435748
180.585	1739.183731
180.685	1740.691048
180.785	1742.535437
180.885	1744.357447
180.985	1746.205488
181.085	1748.156765
181.185	1750.020904
181.285	1751.862215
181.385	1753.781626
181.485	1755.913408
181.585	1757.583135
181.685	1759.342841
181.785	1761.149162
181.885	1763.003488
181.985	1764.663921
182.085	1766.276972
182.185	1767.921389
182.285	1768.994043
182.385	1770.511873
182.485	1772.027294
182.585	1773.496782
182.685	1774.958496
182.785	1776.478503
182.885	1778.938868
182.985	1780.680924
183.085	1783.149416
183.185	1784.91858
183.285	1787.417141
183.385	1788.793838
183.485	1790.496175
183.585	1791.937949
183.685	1793.351853
183.785	1794.760691
183.885	1796.017309
183.985	1797.281979
184.085	1798.731996
184.185	1800.145082
184.285	1801.952277
184.385	1803.872644
184.485	1805.639318
184.585	1807.357755
184.685	1809.017156
184.785	1810.421645
184.885	1812.032973
184.985	1813.635982
