depth(m)	initial_age(kiloyear)
187.535	1815.473416
187.635	1816.789663
187.735	1818.248143
187.835	1819.58326
187.935	1821.153114
188.035	1822.653904
188.135	1824.579679
188.235	1825.74407
188.335	1827.371026
188.475	1829.965599
188.615	1832.136078
188.755	1834.936554
188.895	1838.178792
189.035	1840.449762
189.135	1842.788662
189.235	1845.122476
189.335	1848.438935
189.435	1851.275751
189.535	1854.328419
189.635	1857.956935
189.735	1860.432622
189.835	1861.989125
189.935	1863.624957
190.035	1865.067442
190.135	1866.418146
190.235	1867.760051
190.335	1868.735064
190.435	1870.169907
190.535	1871.698328
190.635	1872.853072
190.685	1873.419228
190.785	1874.864941
190.885	1876.13214
190.985	1877.71753
191.085	1879.428713
191.185	1880.889664
191.285	1882.676314
191.385	1884.244938
191.485	1885.846837
191.585	1887.540295
191.685	1888.928716
191.785	1890.158094
191.885	1892.097337
191.985	1893.883425
192.085	1895.56652
192.185	1897.646358
192.285	1899.139327
192.385	1901.071491
192.485	1903.011676
192.585	1904.66147
192.685	1906.736537
192.785	1908.609457
192.885	1910.533901
192.985	1912.562396
193.085	1914.410413
193.185	1917.744497
193.285	1920.292196
193.385	1923.289373
193.485	1925.244488
193.585	1927.785215
193.685	1930.18938
193.785	1932.543587
193.885	1934.048305
193.985	1936.036814
194.085	1937.86059
194.185	1939.732369
194.285	1942.003427
194.385	1944.892731
194.485	1947.629867
194.585	1949.994406
194.685	1952.338962
194.785	1954.531949
194.885	1956.506181
194.985	1959.256792
195.085	1961.842252
195.185	1964.295518
195.285	1966.617625
195.385	1968.924392
195.485	1971.766346
195.585	1974.416901
195.685	1976.423619
195.785	1978.249279
195.885	1980.205157
195.985	1982.04479
196.085	1983.913887
196.185	1985.620336
196.285	1987.348793
196.385	1989.993596
196.485	1992.245637
196.585	1994.708571
196.685	1997.202401
196.785	2000.198461
196.885	2002.929009
196.985	2005.793044
197.085	2008.788198
197.185	2011.965075
197.285	2016.830848
197.385	2022.726251
197.485	2029.640424
197.585	2034.314748
197.685	2040.242279
197.785	2045.521455
197.885	2051.440517
197.9975	2058.893857
198.11	2063.487881
198.21	2066.436921
198.31	2069.011051
198.41	2070.854992
198.51	2072.665967
198.61	2074.330746
198.71	2076.156141
198.843333	2078.310665
198.976667	2080.103723
199.11	2081.777405
199.21	2083.590001
199.335	2085.41974
199.435	2086.953651
199.535	2088.871482
199.635	2090.355589
199.735	2092.019396
199.835	2094.33746
199.935	2095.970772
200.035	2097.994236
200.135	2099.773029
200.235	2102.291052
200.335	2103.68229
200.435	2105.637512
200.535	2107.481243
200.635	2109.273731
200.735	2111.728707
200.835	2113.895889
200.935	2116.312352
201.035	2118.503991
201.135	2120.664949
201.235	2123.074497
201.335	2125.470592
201.435	2127.959317
201.535	2129.66872
201.635	2131.346191
201.735	2133.234577
201.835	2134.907354
201.935	2136.835397
202.035	2138.441607
202.135	2140.524024
202.235	2143.415273
202.335	2146.07204
202.435	2149.566575
202.535	2151.748661
202.635	2153.247851
202.735	2155.095567
202.835	2156.873723
202.935	2158.515801
203.035	2160.566185
203.135	2162.400239
203.235	2164.232592
203.335	2166.660926
203.435	2169.005446
203.535	2171.411191
203.635	2174.156251
203.735	2176.507288
203.835	2178.70684
203.935	2181.071335
204.035	2182.851195
204.135	2184.477477
204.235	2186.183595
204.335	2188.204141
204.435	2190.008259
204.535	2191.906935
204.635	2193.544874
204.735	2195.18117
204.835	2197.210007
204.935	2199.471956
205.035	2201.361598
205.135	2204.456636
205.268333	2207.317589
205.401667	2210.387139
205.535	2213.340838
205.635	2215.908748
205.735	2218.857356
205.835	2220.86429
205.935	2223.313575
206.035	2225.065465
206.135	2226.772785
206.235	2229.268932
206.335	2231.494418
206.435	2234.601764
206.535	2236.904733
206.635	2239.261309
206.735	2240.909731
206.835	2242.863427
206.935	2244.652003
207.035	2247.506758
207.135	2250.078917
207.235	2253.304705
207.335	2255.67549
207.435	2257.509086
207.56	2259.946292
207.685	2261.805922
207.785	2263.507197
207.885	2265.810979
207.985	2268.464719
208.085	2271.683977
208.185	2274.504769
208.285	2277.001159
208.385	2279.533509
208.485	2281.071036
208.585	2283.188037
208.685	2284.988311
208.785	2287.000856
208.885	2289.097252
208.985	2291.138143
209.085	2293.614569
209.185	2295.806712
209.285	2297.831916
209.385	2299.884884
209.485	2301.426183
209.585	2303.035574
209.685	2304.934111
209.785	2306.394389
209.885	2307.832197
209.985	2309.5845
210.085	2311.181204
210.185	2312.778555
210.285	2314.427005
210.385	2315.64256
210.485	2317.04166
210.585	2319.120709
210.685	2320.748042
210.785	2322.412174
210.885	2324.042608
210.985	2326.623162
211.085	2328.714777
211.185	2331.387364
211.285	2333.562933
211.385	2335.878985
211.485	2338.21286
211.585	2340.315272
211.685	2342.677535
211.785	2345.486518
211.885	2347.621307
211.985	2350.893577
212.085	2354.132382
212.185	2356.605395
212.285	2358.400547
212.385	2360.321198
212.485	2362.478464
212.585	2364.373135
212.685	2366.390352
212.785	2368.429249
212.885	2370.497717
212.985	2372.412663
213.085	2374.46422
213.185	2376.979597
213.285	2379.499527
213.385	2381.713871
213.485	2384.238812
213.585	2386.239431
213.685	2389.104915
213.785	2391.41078
213.885	2394.158081
213.985	2396.77467
214.085	2400.637122
214.185	2403.508716
214.285	2405.535131
214.385	2407.704187
214.485	2409.706533
214.585	2412.244592
214.685	2414.335987
214.785	2416.764812
214.885	2418.852142
215.01	2422.457364
215.135	2425.263041
215.26	2428.506415
215.385	2432.009666
215.485	2434.52728
215.585	2436.258304
215.685	2438.190098
215.785	2439.507908
215.885	2440.935776
215.985	2442.508874
216.085	2444.109473
216.185	2445.997586
216.285	2448.056327
216.385	2450.466664
216.485	2452.597681
216.585	2454.996701
216.685	2457.247782
216.785	2459.711168
216.885	2462.583268
216.985	2465.497128
217.118333	2468.638781
217.251667	2472.449786
217.385	2475.948349
217.485	2477.948666
217.585	2479.784964
217.685	2481.514786
217.785	2483.265059
