Depth	d18O
2.71	3.87
2.76	3.93
2.96	3.2
3.01	3.78
3.11	3.73
3.16	3.43
3.21	3.17
3.31	4.69
3.36	4.77
3.41	4.66
3.46	4.84
3.51	4.94
3.56	4.95
3.61	4.86
3.66	5.1
3.71	4.8
3.76	4.74
3.81	4.6
3.86	4.82
3.91	4.6
3.96	4.68
4.01	4.81
4.06	4.81
4.11	4.69
4.16	4.64
4.26	4.5
4.31	4.63
4.36	4.42
4.41	4.29
4.46	4.42
4.51	4.36
4.56	4.83
4.61	4.37
4.66	4.39
4.71	4.59
4.76	4.52
4.81	4.41
4.86	4.62
4.91	4.3
4.96	4.29
5.01	4.29
5.06	3.82
5.16	3.71
5.21	3.63
5.26	3.69
5.31	4.45
5.36	4.64
5.41	4.6
5.51	4.6
5.56	4.53
5.61	4.64
5.66	4.46
5.71	4.57
5.76	4.54
5.96	4.64
6.11	4.26
6.16	4.21
6.21	4.28
6.26	3.99
6.31	3.85
6.36	4.24
6.41	4.46
