Depth	d18O
2.04	3.65
2.09	3.76
2.14	3.82
2.19	3.15
2.24	3.21
2.34	3.63
2.39	4.07
2.44	3.93
2.49	4.61
2.54	4.77
2.62	4.57
2.67	4.31
2.72	4.47
2.77	4.47
2.82	4.52
2.87	4.36
2.92	4.35
2.97	4.45
3.02	4.45
3.07	4.28
3.12	4.41
3.17	4.49
3.22	4.19
3.27	4.31
3.32	4.23
3.37	4.33
3.42	4.09
3.47	4.29
3.52	4.35
3.57	3.68
3.62	4.11
3.67	4.2
3.72	3.91
3.77	3.37
3.82	3.51
3.87	3.49
3.92	3.56
3.97	3.74
4.02	3.93
4.05	3.59
4.12	4.24
4.17	4.33
4.22	4.38
4.28	4.4
4.32	3.85
4.37	3.82
4.42	4.02
4.47	3.71
4.52	4.64
4.57	4.44
4.62	4.42
4.72	4.59
4.77	4.47
4.82	4.5
4.92	4.59
4.97	4.43
5.02	4.25
5.07	4.48
5.12	4.15
5.17	3.94
5.22	3.69
5.27	4.11
5.32	4.34
5.37	4.16
